Name,TAX ID,KEGG ID,Domain
Renibacterium salmoninarum ATCC 33209,288705,rsa,bacteria
Rothia dentocariosa ATCC 17931,762948,rdn,bacteria
Rothia mucilaginosa DY-18,680646,rmu,bacteria
Isoptericola variabilis 225,743718,iva,bacteria
Xylanimonas cellulosilytica DSM 15894,446471,xce,bacteria
Sanguibacter keddieii DSM 10542,446469,ske,bacteria
Tropheryma whipplei TW08/27,218496,tws,bacteria
Tropheryma whipplei str. Twist,203267,twh,bacteria
Micromonospora aurantiaca ATCC 27029,644283,mau,bacteria
Micromonospora sp. L5,648999,mil,bacteria
Salinispora arenicola CNS-205,391037,saq,bacteria
Salinispora tropica CNB-440,369723,stp,bacteria
Verrucosispora maris AB-18-032,263358,vma,bacteria
Kribbella flavida DSM 17836,479435,kfl,bacteria
Nocardioides sp. JS614,196162,nca,bacteria
Microlunatus phosphovorus NM-1,1032480,mph,bacteria
Propionibacterium acnes KPA171202,267747,pac,bacteria
Propionibacterium acnes SK137,553199,pak,bacteria
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,754252,pfr,bacteria
Actinosynnema mirum DSM 43827,446462,ami,bacteria
Amycolatopsis mediterranei U32,749927,amd,bacteria
Pseudonocardia dioxanivorans CB1190,675635,pdx,bacteria
Saccharomonospora viridis DSM 43017,471857,svi,bacteria
Saccharopolyspora erythraea NRRL 2338,405948,sen,bacteria
Thermobispora bispora DSM 43833,469371,tbi,bacteria
Streptomyces avermitilis MA-4680,227882,sma,bacteria
Streptomyces coelicolor A3(2),100226,sco,bacteria
Streptomyces griseus subsp. griseus NBRC 13350,455632,sgr,bacteria
Streptomyces scabiei 87.22,680198,scb,bacteria
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,446468,nda,bacteria
Thermobifida fusca YX,269800,tfu,bacteria
Streptosporangium roseum DSM 43021,479432,sro,bacteria
Thermomonospora curvata DSM 43183,471852,tcu,bacteria
Bifidobacterium adolescentis ATCC 15703,367928,bad,bacteria
Bifidobacterium animalis subsp. lactis AD011,442563,bla,bacteria
Bifidobacterium animalis subsp. lactis Bl-04,580050,blc,bacteria
Bifidobacterium animalis subsp. lactis DSM 10140,555970,blt,bacteria
Bifidobacterium bifidum PRL2010,702459,bbp,bacteria
Bifidobacterium bifidum S17,883062,bbi,bacteria
Bifidobacterium dentium Bd1,401473,bde,bacteria
Bifidobacterium longum DJO10A,205913,blj,bacteria
Bifidobacterium longum NCC2705,206672,blo,bacteria
Bifidobacterium longum subsp. infantis 157F,565040,blf,bacteria
Bifidobacterium longum subsp. infantis ATCC 15697,391904,bln,bacteria
Bifidobacterium longum subsp. longum BBMN68,890402,blb,bacteria
Bifidobacterium longum subsp. longum JCM 1217,565042,blm,bacteria
Bifidobacterium longum subsp. longum JDM301,759350,bll,bacteria
Gardnerella vaginalis 409-05,553190,gva,bacteria
Gardnerella vaginalis ATCC 14019,525284,gvg,bacteria
Atopobium parvulum DSM 20469,521095,apv,bacteria
Coriobacterium glomerans PW2,700015,cgo,bacteria
Cryptobacterium curtum DSM 15641,469378,ccu,bacteria
Eggerthella lenta DSM 2243,479437,ele,bacteria
Eggerthella sp. YY7918,502558,eyy,bacteria
Olsenella uli DSM 7084,633147,ols,bacteria
Slackia heliotrinireducens DSM 20476,471855,shi,bacteria
Rubrobacter xylanophilus DSM 9941,266117,rxy,bacteria
Conexibacter woesei DSM 14684,469383,cwo,bacteria
Aquifex aeolicus VF5,224324,aae,bacteria
Hydrogenobacter thermophilus TK-6,608538,hth,bacteria
Hydrogenobaculum sp. 3684,547143,hyd,bacteria
Hydrogenobaculum sp. SHO,547145,hys,bacteria
Hydrogenobaculum sp. Y04AAS1,380749,hya,bacteria
Thermocrinis albus DSM 14484,638303,tal,bacteria
Desulfurobacterium thermolithotrophum DSM 11699,868864,dte,bacteria
Thermovibrio ammonificans HB-1,648996,tam,bacteria
Persephonella marina EX-H1,123214,pmx,bacteria
Sulfurihydrogenibium azorense Az-Fu1,204536,saf,bacteria
Sulfurihydrogenibium sp. YO3AOP1,436114,sul,bacteria
Bacteroides fragilis NCTC 9343,272559,bfs,bacteria
Bacteroides fragilis YCH46,295405,bfr,bacteria
Bacteroides helcogenes P 36-108,693979,bhl,bacteria
Bacteroides salanitronis DSM 18170,667015,bsa,bacteria
Bacteroides thetaiotaomicron VPI-5482,226186,bth,bacteria
Bacteroides vulgatus ATCC 8482,435590,bvu,bacteria
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,511995,aps,bacteria
Odoribacter splanchnicus DSM 20712,709991,osp,bacteria
Paludibacter propionicigenes WB4,694427,ppn,bacteria
Parabacteroides distasonis ATCC 8503,435591,pdi,bacteria
Porphyromonas asaccharolytica DSM 20707,879243,pah,bacteria
Porphyromonas gingivalis ATCC 33277,431947,pgn,bacteria
Porphyromonas gingivalis TDC60,1030843,pgt,bacteria
Porphyromonas gingivalis W83,242619,pgi,bacteria
Prevotella denticola F0289,767031,pdn,bacteria
Prevotella melaninogenica ATCC 25845,553174,pmz,bacteria
Prevotella ruminicola 23,264731,pru,bacteria
Candidatus Amoebophilus asiaticus 5a2,452471,aas,bacteria
Cyclobacterium marinum DSM 745,880070,cmr,bacteria
Cytophaga hutchinsonii ATCC 33406,269798,chu,bacteria
Dyadobacter fermentans DSM 18053,471854,dfe,bacteria
Leadbetterella byssophila DSM 17132,649349,lby,bacteria
Runella slithyformis DSM 19594,761193,rsi,bacteria
Spirosoma linguale DSM 74,504472,sli,bacteria
Marivirga tractuosa DSM 4126,643867,mtt,bacteria
Blattabacterium sp. (Blattella germanica) str. Bge,331104,bbl,bacteria
Blattabacterium sp. (Periplaneta americana) str. BPLAN,600809,bpi,bacteria
Candidatus Sulcia muelleri CARI,706194,sum,bacteria
Candidatus Sulcia muelleri DMIN,641892,smh,bacteria
Candidatus Sulcia muelleri GWSS,444179,smg,bacteria
Candidatus Sulcia muelleri SMDSEM,595499,sms,bacteria
Fluviicola taffensis DSM 16823,755732,fte,bacteria
Capnocytophaga canimorsus Cc5,860228,ccm,bacteria
Capnocytophaga ochracea DSM 7271,521097,coc,bacteria
Cellulophaga algicola DSM 14237,688270,cao,bacteria
Cellulophaga lytica DSM 7489,867900,cly,bacteria
Croceibacter atlanticus HTCC2559,216432,cat,bacteria
Flavobacteriaceae bacterium 3519-10,531844,fba,bacteria
Flavobacterium johnsoniae UW101,376686,fjo,bacteria
Flavobacterium psychrophilum JIP02/86,402612,fps,bacteria
Gramella forsetii KT0803,411154,gfo,bacteria
Krokinobacter sp. 4H-3-7-5,983548,kdi,bacteria
Lacinutrix sp. 5H-3-7-4,983544,lan,bacteria
Maribacter sp. HTCC2170,313603,fbc,bacteria
Riemerella anatipestifer DSM 15868,693978,ran,bacteria
Robiginitalea biformata HTCC2501,313596,rbi,bacteria
Weeksella virosa DSM 16922,865938,wvi,bacteria
Zobellia galactanivorans,63186,zga,bacteria
Zunongwangia profunda SM-A87,655815,zpr,bacteria
Chitinophaga pinensis DSM 2588,485918,cpi,bacteria
Rhodothermus marinus DSM 4252,518766,rmr,bacteria
Salinibacter ruber,146919,srm,bacteria
Salinibacter ruber DSM 13855,309807,sru,bacteria
Haliscomenobacter hydrossis DSM 1100,760192,hhy,bacteria
Pedobacter heparinus DSM 2366,485917,phe,bacteria
Pedobacter saltans DSM 12145,762903,psn,bacteria
Sphingobacterium sp. 21,743722,shg,bacteria
Chlamydia muridarum Nigg,243161,cmu,bacteria
Chlamydia trachomatis 434/Bu,471472,ctb,bacteria
Chlamydia trachomatis A/HAR-13,315277,cta,bacteria
Chlamydia trachomatis B/Jali20/OT,580049,ctj,bacteria
Chlamydia trachomatis B/TZ1A828/OT,672161,ctz,bacteria
Chlamydia trachomatis D/UW-3/CX,272561,ctr,bacteria
Chlamydia trachomatis L2b/UCH-1/proctitis,471473,ctl,bacteria
Chlamydia trachomatis L2c,887712,cto,bacteria
Chlamydophila abortus S26/3,218497,cab,bacteria
Chlamydophila caviae GPIC,227941,cca,bacteria
Chlamydophila felis Fe/C-56,264202,cfe,bacteria
Chlamydophila pecorum E58,331635,cpm,bacteria
Chlamydophila pneumoniae AR39,115711,cpa,bacteria
Chlamydophila pneumoniae CWL029,115713,cpn,bacteria
Chlamydophila pneumoniae J138,138677,cpj,bacteria
Chlamydophila pneumoniae TW-183,182082,cpt,bacteria
Chlamydophila psittaci 6BC,331636,chp,bacteria
Candidatus Protochlamydia amoebophila UWE25,264201,pcu,bacteria
Parachlamydia acanthamoebae UV7,765952,puv,bacteria
Simkania negevensis Z,331113,sng,bacteria
Waddlia chondrophila WSU 86-1044,716544,wch,bacteria
Chlorobaculum parvum NCIB 8327,517417,cpc,bacteria
Chlorobium tepidum TLS,194439,cte,bacteria
Chlorobium chlorochromatii CaD3,340177,cch,bacteria
Chlorobium limicola DSM 245,290315,cli,bacteria
Chlorobium phaeobacteroides BS1,331678,cpb,bacteria
Chlorobium phaeobacteroides DSM 266,290317,cph,bacteria
Chlorobium phaeovibrioides DSM 265,290318,pvi,bacteria
Chlorobium luteolum DSM 273,319225,plt,bacteria
Pelodictyon phaeoclathratiforme BU-1,324925,pph,bacteria
Chloroherpeton thalassium ATCC 35110,517418,cts,bacteria
Prosthecochloris aestuarii DSM 271,290512,paa,bacteria
Anaerolinea thermophila UNI-1,926569,atm,bacteria
Chloroflexus aggregans DSM 9485,326427,cag,bacteria
Chloroflexus aurantiacus J-10-fl,324602,cau,bacteria
Chloroflexus sp. Y-400-fl,480224,chl,bacteria
Roseiflexus castenholzii DSM 13941,383372,rca,bacteria
Roseiflexus sp. RS-1,357808,rrs,bacteria
Dehalococcoides ethenogenes 195,243164,det,bacteria
Dehalococcoides sp. BAV1,216389,deb,bacteria
Dehalococcoides sp. CBDB1,255470,deh,bacteria
Dehalococcoides sp. GT,633145,deg,bacteria
Dehalococcoides sp. VS,311424,dev,bacteria
Dehalogenimonas lykanthroporepellens BL-DC-9,552811,dly,bacteria
Herpetosiphon aurantiacus DSM 785,316274,hau,bacteria
Sphaerobacter thermophilus DSM 20745,479434,sti,bacteria
Thermomicrobium roseum DSM 5159,309801,tro,bacteria
Desulfurispirillum indicum S5,653733,din,bacteria
Acaryochloris marina MBIC11017,329726,amr,bacteria
Cyanothece sp. ATCC 51142,43989,cyt,bacteria
Cyanothece sp. PCC 7424,65393,cyc,bacteria
Cyanothece sp. PCC 7425,395961,cyn,bacteria
Cyanothece sp. PCC 7822,497965,cyj,bacteria
Cyanothece sp. PCC 8801,41431,cyp,bacteria
Cyanothece sp. PCC 8802,395962,cyh,bacteria
Microcystis aeruginosa NIES-843,449447,mar,bacteria
Synechococcus elongatus PCC 6301,269084,syc,bacteria
Synechococcus elongatus PCC 7942,1140,syf,bacteria
Synechococcus sp. CC9311,64471,syg,bacteria
Synechococcus sp. CC9605,110662,syd,bacteria
Synechococcus sp. CC9902,316279,sye,bacteria
Synechococcus sp. JA-2-3B'a(2-13),321332,cyb,bacteria
Synechococcus sp. JA-3-3Ab,321327,cya,bacteria
Synechococcus sp. PCC 7002,32049,syp,bacteria
Synechococcus sp. RCC307,316278,syr,bacteria
Synechococcus sp. WH 7803,32051,syx,bacteria
Synechococcus sp. WH 8102,84588,syw,bacteria
Synechocystis sp. PCC 6803,1148,syn,bacteria
Thermosynechococcus elongatus BP-1,197221,tel,bacteria
cyanobacterium UCYN-A,713887,cyu,bacteria
Gloeobacter violaceus PCC 7421,251221,gvi,bacteria
Anabaena variabilis ATCC 29413,240292,ava,bacteria
Nostoc punctiforme PCC 73102,63737,npu,bacteria
Nostoc sp. PCC 7120,103690,ana,bacteria
'Nostoc azollae' 0708,551115,naz,bacteria
Trichodesmium erythraeum IMS101,203124,ter,bacteria
Prochlorococcus marinus str. AS9601,146891,pmb,bacteria
Prochlorococcus marinus str. MIT 9211,93059,pmj,bacteria
Prochlorococcus marinus str. MIT 9215,93060,pmh,bacteria
Prochlorococcus marinus str. MIT 9301,167546,pmg,bacteria
Prochlorococcus marinus str. MIT 9303,59922,pmf,bacteria
Prochlorococcus marinus str. MIT 9312,74546,pmi,bacteria
Prochlorococcus marinus str. MIT 9313,74547,pmt,bacteria
Prochlorococcus marinus str. MIT 9515,167542,pmc,bacteria
Prochlorococcus marinus str. NATL1A,167555,pme,bacteria
Prochlorococcus marinus str. NATL2A,59920,pmn,bacteria
Prochlorococcus marinus subsp. marinus str. CCMP1375,167539,pma,bacteria
Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919,pmm,bacteria
Calditerrivibrio nitroreducens DSM 19672,768670,cni,bacteria
Deferribacter desulfuricans SSM1,639282,ddf,bacteria
Denitrovibrio acetiphilus DSM 12809,522772,dap,bacteria
Flexistipes sinusarabici DSM 4947,717231,fsi,bacteria
Deinococcus deserti VCD115,546414,ddr,bacteria
Deinococcus geothermalis DSM 11300,319795,dge,bacteria
Deinococcus maricopensis DSM 21211,709986,dmr,bacteria
Deinococcus proteolyticus MRP,693977,dpt,bacteria
Deinococcus radiodurans R1,243230,dra,bacteria
Truepera radiovictrix DSM 17093,649638,tra,bacteria
Marinithermus hydrothermalis DSM 14884,869210,mhd,bacteria
Meiothermus ruber DSM 1279,504728,mrb,bacteria
Meiothermus silvanus DSM 9946,526227,msv,bacteria
Oceanithermus profundus DSM 14977,670487,opr,bacteria
Thermus scotoductus SA-01,743525,tsc,bacteria
Thermus thermophilus HB27,262724,tth,bacteria
Thermus thermophilus HB8,300852,ttj,bacteria
Dictyoglomus thermophilum H-6-12,309799,dth,bacteria
Dictyoglomus turgidum DSM 6724,515635,dtu,bacteria
Elusimicrobium minutum Pei191,445932,emi,bacteria
uncultured Termite group 1 bacterium phylotype Rs-D17,471821,rsd,bacteria
Fibrobacter succinogenes subsp. succinogenes S85,59374,fsu,bacteria
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,521098,aac,bacteria
Bacillus tusciae DSM 2912,562970,bts,bacteria
Anoxybacillus flavithermus WK1,491915,afl,bacteria
Bacillus amyloliquefaciens DSM 7,692420,bao,bacteria
Bacillus amyloliquefaciens FZB42,326423,bay,bacteria
Bacillus atrophaeus 1942,720555,bae,bacteria
Bacillus cellulosilyticus DSM 2522,649639,bco,bacteria
Bacillus anthracis str. 'Ames Ancestor',261594,bar,bacteria
Bacillus anthracis str. A0248,592021,bai,bacteria
Bacillus anthracis str. Ames,198094,ban,bacteria
Bacillus anthracis str. CDC 684,568206,bah,bacteria
Bacillus anthracis str. Sterne,260799,bat,bacteria
Bacillus cereus 03BB102,572264,bcx,bacteria
Bacillus cereus AH187,405534,bcr,bacteria
Bacillus cereus AH820,405535,bcu,bacteria
Bacillus cereus ATCC 10987,222523,bca,bacteria
Bacillus cereus ATCC 14579,226900,bce,bacteria
Bacillus cereus B4264,405532,bcb,bacteria
Bacillus cereus E33L,288681,bcz,bacteria
Bacillus cereus G9842,405531,bcg,bacteria
Bacillus cereus Q1,361100,bcq,bacteria
Bacillus cereus biovar anthracis str. CI,637380,bal,bacteria
Bacillus cytotoxicus NVH 391-98,315749,bcy,bacteria
Bacillus thuringiensis BMB171,714359,btb,bacteria
Bacillus thuringiensis serovar konkukian str. 97-27,281309,btk,bacteria
Bacillus thuringiensis str. Al Hakam,412694,btl,bacteria
Bacillus weihenstephanensis KBAB4,315730,bwe,bacteria
Bacillus clausii KSM-K16,66692,bcl,bacteria
Bacillus coagulans 2-6,941639,bck,bacteria
Bacillus halodurans C-125,272558,bha,bacteria
Bacillus licheniformis ATCC 14580,279010,bld,bacteria
Bacillus licheniformis ATCC 14580,279010,bli,bacteria
Bacillus megaterium DSM 319,592022,bmd,bacteria
Bacillus megaterium QM B1551,545693,bmq,bacteria
Bacillus pseudofirmus OF4,398511,bpf,bacteria
Bacillus pumilus SAFR-032,315750,bpu,bacteria
Bacillus selenitireducens MLS10,439292,bse,bacteria
Bacillus subtilis BSn5,936156,bsn,bacteria
Bacillus subtilis subsp. spizizenii str. W23,655816,bss,bacteria
Bacillus subtilis subsp. subtilis str. 168,224308,bsu,bacteria
Geobacillus kaustophilus HTA426,235909,gka,bacteria
Geobacillus sp. C56-T3,691437,gct,bacteria
Geobacillus sp. WCH70,471223,gwc,bacteria
Geobacillus sp. Y4.1MC1,581103,gmc,bacteria
Geobacillus sp. Y412MC52,550542,gya,bacteria
Geobacillus sp. Y412MC61,544556,gyc,bacteria
Geobacillus thermodenitrificans NG80-2,420246,gtn,bacteria
Geobacillus thermoglucosidasius C56-YS93,634956,gth,bacteria
Lysinibacillus sphaericus C3-41,444177,lsp,bacteria
Oceanobacillus iheyensis HTE831,221109,oih,bacteria
Exiguobacterium sibiricum 255-15,262543,esi,bacteria
Exiguobacterium sp. AT1b,360911,eat,bacteria
Listeria innocua Clip11262,272626,lin,bacteria
Listeria monocytogenes 08-5578,653938,lmn,bacteria
Listeria monocytogenes 08-5923,637381,lmy,bacteria
Listeria monocytogenes EGD-e,169963,lmo,bacteria
Listeria monocytogenes HCC23,552536,lmh,bacteria
Listeria monocytogenes serotype 4b str. CLIP 80459,568819,lmc,bacteria
Listeria monocytogenes serotype 4b str. F2365,265669,lmf,bacteria
Listeria seeligeri serovar 1/2b str. SLCC3954,683837,lsg,bacteria
Listeria welshimeri serovar 6b str. SLCC5334,386043,lwe,bacteria
Macrococcus caseolyticus JCSC5402,458233,mcl,bacteria
Brevibacillus brevis NBRC 100599,358681,bbe,bacteria
Paenibacillus mucilaginosus KNP414,1036673,pms,bacteria
Paenibacillus polymyxa E681,349520,ppy,bacteria
Paenibacillus polymyxa SC2,886882,ppm,bacteria
Paenibacillus sp. JDR-2,324057,pjd,bacteria
Paenibacillus sp. Y412MC10,481743,gym,bacteria
Staphylococcus aureus RF122,273036,sab,bacteria
Staphylococcus aureus subsp. aureus COL,93062,sac,bacteria
Staphylococcus aureus subsp. aureus ED98,681288,sad,bacteria
Staphylococcus aureus subsp. aureus JH1,359787,sah,bacteria
Staphylococcus aureus subsp. aureus JH9,359786,saj,bacteria
Staphylococcus aureus subsp. aureus MRSA252,282458,sar,bacteria
Staphylococcus aureus subsp. aureus MSSA476,282459,sas,bacteria
Staphylococcus aureus subsp. aureus MW2,196620,sam,bacteria
Staphylococcus aureus subsp. aureus Mu3,418127,saw,bacteria
Staphylococcus aureus subsp. aureus Mu50,158878,sav,bacteria
Staphylococcus aureus subsp. aureus N315,158879,sau,bacteria
Staphylococcus aureus subsp. aureus NCTC 8325,93061,sao,bacteria
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,saa,bacteria
Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,sax,bacteria
Staphylococcus aureus subsp. aureus str. Newman,426430,sae,bacteria
Staphylococcus carnosus subsp. carnosus TM300,396513,sca,bacteria
Staphylococcus epidermidis ATCC 12228,176280,sep,bacteria
Staphylococcus epidermidis RP62A,176279,ser,bacteria
Staphylococcus haemolyticus JCSC1435,279808,sha,bacteria
Staphylococcus lugdunensis HKU09-01,698737,slg,bacteria
Staphylococcus pseudintermedius HKU10-03,937773,ssd,bacteria
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,342451,ssp,bacteria
Alkaliphilus metalliredigens QYMF,293826,amt,bacteria
Alkaliphilus oremlandii OhILAs,350688,aoe,bacteria
Candidatus Arthromitus sp. SFB-mouse-Japan,1029718,asf,bacteria
Clostridium acetobutylicum ATCC 824,272562,cac,bacteria
Clostridium acetobutylicum DSM 1731,991791,cae,bacteria
Clostridium beijerinckii NCIMB 8052,290402,cbe,bacteria
Clostridium botulinum A str. ATCC 19397,441770,cba,bacteria
Clostridium botulinum A str. ATCC 3502,413999,cbo,bacteria
Clostridium botulinum A str. Hall,441771,cbh,bacteria
Clostridium botulinum A2 str. Kyoto,536232,cby,bacteria
Clostridium botulinum A3 str. Loch Maree,498214,cbl,bacteria
Clostridium botulinum B str. Eklund 17B,508765,cbk,bacteria
Clostridium botulinum B1 str. Okra,498213,cbb,bacteria
Clostridium botulinum BKT015925,929506,cbn,bacteria
Clostridium botulinum Ba4 str. 657,515621,cbi,bacteria
Clostridium botulinum E3 str. Alaska E43,508767,cbt,bacteria
Clostridium botulinum F str. Langeland,441772,cbf,bacteria
Clostridium cellulolyticum H10,394503,cce,bacteria
Clostridium cellulovorans 743B,573061,ccb,bacteria
Clostridium difficile 630,272563,cdf,bacteria
Clostridium difficile CD196,645462,cdc,bacteria
Clostridium difficile R20291,645463,cdl,bacteria
Clostridium kluyveri DSM 555,431943,ckl,bacteria
Clostridium kluyveri NBRC 12016,583346,ckr,bacteria
Clostridium ljungdahlii DSM 13528,748727,clj,bacteria
Clostridium novyi NT,386415,cno,bacteria
Clostridium perfringens ATCC 13124,195103,cpf,bacteria
Clostridium perfringens SM101,289380,cpr,bacteria
Clostridium perfringens str. 13,195102,cpe,bacteria
Clostridium phytofermentans ISDg,357809,cpy,bacteria
Clostridium saccharolyticum WM1,610130,csh,bacteria
Clostridium sp. SY8519,1042156,cls,bacteria
Clostridium sticklandii DSM 519,499177,cst,bacteria
Clostridium tetani E88,212717,ctc,bacteria
Clostridium thermocellum ATCC 27405,203119,cth,bacteria
Anaerococcus prevotii DSM 20548,525919,apr,bacteria
Finegoldia magna ATCC 29328,334413,fma,bacteria
Sulfobacillus acidophilus TPY,1051632,say,bacteria
Thermaerobacter marianensis DSM 12885,644966,tmr,bacteria
Symbiobacterium thermophilum IAM 14863,292459,sth,bacteria
Clostridiales genomosp. BVAB3 str. UPII9-5,699246,clo,bacteria
Eubacterium eligens ATCC 27750,515620,eel,bacteria
Eubacterium limosum KIST612,903814,elm,bacteria
Eubacterium rectale ATCC 33656,515619,ere,bacteria
Heliobacterium modesticaldum Ice1,498761,hmo,bacteria
Butyrivibrio proteoclasticus B316,515622,bpb,bacteria
Clostridium lentocellum DSM 5427,642492,cle,bacteria
Candidatus Desulforudis audaxviator MP104C,477974,dau,bacteria
Desulfitobacterium hafniense DCB-2,272564,dhd,bacteria
Desulfitobacterium hafniense Y51,138119,dsy,bacteria
Desulfotomaculum acetoxidans DSM 771,485916,dae,bacteria
Desulfotomaculum carboxydivorans CO-1-SRB,868595,dca,bacteria
Desulfotomaculum kuznetsovii DSM 6115,760568,dku,bacteria
Desulfotomaculum reducens MI-1,349161,drm,bacteria
Desulfotomaculum ruminis DSM 2154,696281,dru,bacteria
Pelotomaculum thermopropionicum SI,370438,pth,bacteria
Syntrophobotulus glycolicus DSM 8271,645991,sgy,bacteria
Thermincola potens JR,635013,tjr,bacteria
Ethanoligenens harbinense YUAN-3,663278,eha,bacteria
Ruminococcus albus 7,697329,ral,bacteria
Syntrophomonas wolfei subsp. wolfei str. Goettingen,335541,swo,bacteria
Syntrophothermus lipocalidus DSM 12680,643648,slp,bacteria
Halanaerobium hydrogeniformans,656519,has,bacteria
Halothermothrix orenii H 168,373903,hor,bacteria
Acetohalobium arabaticum DSM 5501,574087,aar,bacteria
