"groups","est_dG"
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring -CH< : 2 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -3 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.81
"ring -CH< : 2 | ring -N< : 1 | ring -O- : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -3 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.81
"ring -N< : 1 | ring -CH< : 2 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -3 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.81
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.57
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C< : 1",2.01
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C< : 1",2.01
"ring -CH< : 4 | ring -N< : 1 | ring -O- : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -2 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -3 | ring -CH2- : 2 | NADH : 1 | H : 1",4.70
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -CH< : -1 | ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | -CH=O : 1 | OCCO : 1 | H : 1",7.68
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring =CH- : -1 | ring =N- : -1 | -OH : -1 | >C=O : 1 | heteroaromatic : -3 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | ring -NH- : 1 | CCCN : 1 | CCNC : 3",5.31
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | OCCC : 2 | heteroaromatic : -1 | >CH- : -2 | ring -CH2- : 1 | NADH : 1 | H : 1 | =C< : 2",13.88
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -CH2- : 1 | dbl sgl ring =N< : -1 | >C=O : -1 | heteroaromatic : -1 | >C< : 1 | >CH- : -1 | -CH3 : -1 | -S- : -1 | thioester : -1 | H2O : -1 | -COO : 1 | ring -CH2- : 1 | NADH : 1 | -SH : 1 | COA : 1 | H : 2",-2.71
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | H2O : -1 | >CH- : -1 | -COO : -1 | ring -CH2- : 1 | NADH : 1 | -CH3 : 1 | OCCO : 1 | H : 1 | HCO3 : 1",0.48
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | H2O : -1 | >CH- : -1 | -COO : -1 | ring -CH2- : 1 | NADH : 1 | -CH3 : 1 | OCCO : 1 | H : 1 | HCO3 : 1",0.48
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : 1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -2 | -COO : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1 | HCO3 : 1",2.29
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : 1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -2 | -COO : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | HCO3 : 1",-0.17
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | ring -O- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring -O-CO- : 1",-2.00
"ring -N< : 1 | ring -CH< : -2 | ring =CH- : -1 | ring -O- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring -O-CO- : 1 | >CH- : 1",-1.76
"ring -CH< : -1 | ring -N< : 1 | ring -O- : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring -O-CO- : 1",-2.00
"ring -CH< : -5 | ring -N< : 1 | ring -O- : -1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | H : 2 | >CH- : 4 | -COO : 1",-7.48
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | ring >C=O : 1 | NADH : 1 | H : 1",2.30
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | ring >C=O : 1 | NADH : 1 | H : 1",2.30
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | ring >C=O : 1 | NADH : 1 | H : 1",0.75
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -CH< : 3 | ring -N< : 1 | ring -O- : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C< : 1",2.01
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | -CH=O : 1 | OCCO : 1 | H : 1",7.68
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",3.67
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
"ring -CH< : -1 | ring -N< : 1 | ring -O- : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring -O-CO- : 1",-2.00
"ring -CH< : -3 | ring -N< : 1 | ring -O- : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 2 | heteroaromatic : -1 | ring >C< : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | >CH- : 2",5.51
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | >CH- : -1 | NADH : 1 | H : 1",2.21
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | >CH- : -1 | NADH : 1 | H : 1",2.21
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1 | OCCO : 1",7.68
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | ring -CH2- : 1 | >CH- : -1 | NADH : 1 | H : 1 | OCCN : 1",0.74
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",3.67
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1",6.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | OCCO : 1",6.22
,0.00
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | formate : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | HCO3 : 1",-3.93
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | -CH3 : 1 | -SH : -1 | COA : -1 | acetaldehyde : -1 | ring -CH2- : 1 | NADH : 1 | -S- : 1 | thioester : 1 | H : 1",-4.70
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | orthophosphate : -1 | -CH=O : -1 | ring -CH2- : 1 | NADH : 1 | -CO-OPO3- : 1",-0.36
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | orthophosphate : -1 | -CH=O : -1 | ring -CH2- : 1 | NADH : 1 | -CO-OPO3- : 1",-0.36
"ring -N< : 1 | ring =CH- : -1 | -OPO2- : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | orthophosphate : -1 | -CH=O : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -COO : 1",-2.99
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | Origin : -1 | heteroaromatic : -1 | -SH : -1 | COA : -1 | -CH=O : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -S- : 1 | thioester : 1",-4.05
"ring >C= : -1 | =N- : -1 | OCCC : 1 | CCCN : -2 | CCNC : -1 | ring -CH< : 1 | -CH2- : -2 | -NH- : 1 | =CH- : 2",-1.47
"two fused rings >C= : -2 | ring =CH- : -3 | ring =N- : -1 | ring >C=O : -1 | aromatic ring fused to nonaromatic ring >C=  : 2 | aromatic ring =CH- : 3 | OCCN : -1 | CCCN : -1 | CCNC : -1 | CCCC : -1 | -OH : 1 | -CH2- : -2 | =CH- : 2 | ring -NH- : 1 | aromatic ring =C< : 1",2.60
"ring -N< : 1 | ring -CH< : -1 | ring =C< : 1 | dbl sgl ring =N< : -1 | OCCC : 2 | heteroaromatic : -1 | NADH : 1 | H : 1",4.78
"ring -CH2- : -1 | amide : 1 | ring -NH- : 1 | ring =N- : -1 | OCCN : -1 | OCNC : -1 | ring =CH- : 1 | OCCC : 2",-7.09
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | -NH3 : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | NH4 : 1 | OCCO : 1 | H : 1",8.69
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | -NH3 : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | NH4 : 1 | OCCO : 1 | H : 1",8.69
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | -NH3 : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | NH4 : 1 | OCCO : 1 | H : 1",8.69
"ring -N< : 1 | ring =CH- : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | -NH3 : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | NH4 : 1 | -CH=O : 1 | OCCO : 1 | H : 1",10.15
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | -NH3 : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | NH4 : 1 | H : 1",6.23
"-COO : -1 | -CH2- : 2 | Origin : -1 | ring -CH< : -1 | ring -CH2- : -2 | ring -S- : -2 | H2O : -1 | >CH- : 1 | -S- : 1 | -SH : 1 | HCO3 : 1",3.23
"ring -CH< : -1 | ring -N< : 1 | ring =CH- : -1 | ring =N- : 1 | ring =C< : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | ring -NH- : -1 | NADH : 1 | H : 1 | OCCN : 1",-2.43
"ring -CH2- : -1 | ring =C< : -1 | CCNC : -2 | ring =CH- : 1 | heteroaromatic : 1 | ring -CH< : 1",-3.53
"ring -CH< : -1 | ring -N< : 1 | ring =CH- : -1 | ring =N- : 1 | ring =C< : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | ring -NH- : -1 | CCNC : 1 | NADH : 1 | H : 1",0.59
"ring -N< : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | two fused rings -N< : -1 | CCNC : 1 | NADH : 1 | two fused rings =N< : 1",1.92
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | Origin : 1 | heteroaromatic : -1 | >CH- : -1 | -NH2- : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | -NH3 : 1 | H : 1",9.21
"ring -N< : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | two fused rings -N< : -1 | CCNC : 1 | NADH : 1 | two fused rings =N< : 1",1.92
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | Origin : 1 | heteroaromatic : -1 | >CH- : -1 | -NH2- : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | H : 1 | -NH3 : 1",9.21
"ring -N< : 1 | ring =CH- : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | Origin : 1 | heteroaromatic : -1 | -NH< : -1 | H2O : -1 | ring -CH2- : 1 | NADH : 1 | OCCO : 1 | -NH3 : 1 | H : 1",3.12
,0.00
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | Origin : -1 | heteroaromatic : -1 | -SH : -2 | ring -CH2- : 1 | NADH : 1 | H : 1 | -S-S- : 1",2.92
"ring -CH< : 2 | ring -N< : 1 | ring =CH- : -1 | -CH2- : -2 | dbl sgl ring =N< : -1 | >C=O : -1 | heteroaromatic : -1 | >CH- : -2 | -SH : -2 | -NH- : -1 | ring -CH2- : 3 | NADH : 1 | H : 1 | ring >C=O : 1 | ring -S- : 2 | ring -NH- : 1",-4.71
"-CH2- : -1 | ring =N- : -2 | -CH3 : -1 | ring -CH< : -1 | amide : 1 | ring -NH- : 2 | OCCN : -1 | OCNC : -1 | NCCN : -1 | CCNC : -1 | ring -CH2- : 2 | -NH- : -1 | OCCC : 1 | two fused rings -N< : 1 | two fused rings >CH- : 1",-0.76
"ring -N< : 1 | ring -CH< : 1 | ring =CH- : -1 | -CH2- : -2 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -1 | -SH : -2 | ring -CH2- : 3 | NADH : 1 | H : 1 | ring -S- : 2",1.55
"ring -N< : 1 | ring -CH< : 1 | ring =CH- : -1 | -CH2- : -2 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -1 | -SH : -2 | ring -CH2- : 3 | NADH : 1 | H : 1 | ring -S- : 2",1.55
"COA : -1",0.00
"H2O2 : -1 | -Sneg : -1 | -S-OH : 1 | H2O : 1",-4.94
"-CH2- : -1 | acetaldehyde : -1 | >CH- : 2 | -CH3 : 1 | -OH : 1",-3.21
"formaldehyde : -1 | >CH- : 1 | -OH : 1",-5.22
"-CH2- : 1 | two fused rings -N< : -1 | two fused rings >CH- : -1 | ring -CH2- : -2 | ring -N< : -1 | ring -NH- : 1 | >CH- : 1 | -NH- : 1 | H2O : -1 | -OH : 1 | ring -CH< : 1",-0.05
"-CH2- : 1 | ring -CH2- : -2 | two fused rings >CH- : -1 | ring -N< : -1 | two fused rings -N< : -1 | ring -NH- : 2 | ring =N- : -1 | ring =C< : -1 | >CH- : 1 | -NH- : 1 | OCCC : 1 | heteroaromatic : -1 | H2O : -1 | ring -CH< : 1 | ring >C=O : 1 | OCNC : 1",2.06
"-NH3 : -1 | ring -N< : -1 | ring -NH- : 1 | =NH : -1 | -NH- : 1 | =NH2 : 1",-0.07
"-NH3 : -1 | ring -N< : -1 | ring -NH- : 1 | =NH : -1 | -NH- : 1 | =NH2 : 1",-0.07
">C< : -1 | -CH2- : -2 | -OH : -1 | -NH- : -1 | >CH- : 1 | ring -CH2- : 2 | ring -NH- : -1 | ring -CH< : -1 | two fused rings -N< : 1 | two fused rings >CH- : 1 | ring -N< : 1 | H2O : 1",1.47
">C< : -1 | -CH2- : -1 | -OH : -1 | formaldehyde : 1 | >CH- : 1",6.64
">C< : -1 | -CH2- : -2 | -OH : -1 | -NH- : -1 | >CH- : 1 | ring -CH2- : 2 | ring -NH- : -1 | ring -CH< : -1 | two fused rings -N< : 1 | two fused rings >CH- : 1 | ring -N< : 1 | H2O : 1",1.47
">C< : -1 | -CH2- : -1 | -OH : -1 | formaldehyde : 1 | >CH- : 1",6.64
"-CH2- : -2 | >CH- : 1 | -CH3 : 1",-1.81
"-CO-OPO3- : -1 | amide : 1 | Origin : -1 | -NH3 : -1 | orthophosphate : 1 | H : 2 | >C=O : 1 | -NH- : 1",-8.98
,0.00
"ring -CH< : -3 | ring -O- : -1 | ring >C< : -1 | >CH- : 3 | >C=O : 1",1.75
"ring -CH< : -3 | ring -O- : -1 | ring >C< : -1 | >CH- : 3 | >C=O : 1",1.75
">CH- : -3 | -CH=O : -1 | ring -CH< : 4 | ring -O- : 1",-2.08
,0.00
">CH- : -3 | >C=O : -1 | ring -CH< : 3 | ring -O- : 1 | ring >C< : 1",-1.75
