"NAMES","dGo","SOURCE"
"malate|mal-L|",-201.98,"Thauer, 1977"
"citrate|cit|",-279.24,"Thauer, 1977"
"s4o6|",-244.3,"Thauer, 1977"
"creatinine|",-6.91,"Thauer, 1977"
"lactate|lac-L|",-123.6,"Thauer, 1977"
"isoleucine|ile-L|",-82.2,"Thauer, 1977"
"hypoxanthine|Hypoxanthine|hypoxanthine(0,4)|hypoxanthine|hxan|",21.4,"Thauer, 1977"
"glycerate|glyc-R|",-157.3,"Thauer, 1977"
"methylamine|",-9.55,"Thauer, 1977"
"h2o|",-56.69,"Thauer, 1977"
"benzene|",29.76,"Thauer, 1977"
"HCN|",28.61,"Wagman, 1982"
"thiocyanate|",22.16,"Wagman, 1982"
"cyanate|",-23.28,"Wagman, 1982"
"butanal|butyraldehyde|",-28.60,"Wagman, 1982"
"ethane|",-4.07,"Wagman, 1982"
"CH3NHp|",8.94,"Wagman, 1982"
