"cid","name","dG'0","pH","I","pMg","T","use for","compound_ref","remark"
65,"serineL",-225.51,7,0.25,14,298.15,"training","Alberty (2006)",
247,"sorbose",-422.76,7,0.25,14,298.15,"training","Alberty (2006)",
42,"succinate",-530.64,7,0.25,14,298.15,"training","Alberty (2006)",
89,"sucrose",-667.85,7,0.25,14,298.15,"training","Alberty (2006)",
59,"sulfate",-747.8,7,0.25,14,298.15,"testing","Alberty (2006)","too small, calculated using Legendre transform from chemical table"
78,"tryptophaneL",374.49,7,0.25,14,298.15,"training","Alberty (2006)",
82,"tyrosineL",77.73,7,0.25,14,298.15,"training","Alberty (2006)",
366,"urate",-204.41,7,0.25,14,298.15,"testing","Alberty (2006)","too small"
86,"urea",-39.74,7,0.25,14,298.15,"testing","Alberty (2006)","too small"
183,"valineL",89.78,7,0.25,14,298.15,"training","Alberty (2006)",
181,"xylose",-342.83,7,0.25,14,298.15,"training","Alberty (2006)",
310,"xylulose",-338.49,7,0.25,14,298.15,"training","Alberty (2006)",
