ref,ID,method,eval,EC,name,kegg_reaction,reaction,dG0',T,I,pH,pMg
Alberty (2006),C00111,formation,A,,formation of Glycerone phosphate,3 C06265 + 3.5 C90000 + 3 C90002 + C90007 <=> C00111,3 Carbon + 3.5 H2(g) + 3 O2(g) + Phosphorus <=> Glycerone phosphate,-1096.97,298.15,0,7.0,14
Alberty (2006),C00116,formation,A,,formation of Glycerol,3 C06265 + 4 C90000 + 1.5 C90002 <=> C00116,3 Carbon + 4 H2(g) + 1.5 O2(g) <=> Glycerol,-178.00,298.15,0,7.0,14
Alberty (2006),C00117,formation,A,,formation of D-Ribose 5-phosphate,5 C06265 + 5.5 C90000 + 4 C90002 + C90007 <=> C00117,5 Carbon + 5.5 H2(g) + 4 O2(g) + Phosphorus <=> D-Ribose 5-phosphate,-1236.77,298.15,0,7.0,14
Alberty (2006),C00118,formation,A,,formation of D-Glyceraldehyde 3-phosphate,3 C06265 + 3.5 C90000 + 3 C90002 + C90007 <=> C00118,3 Carbon + 3.5 H2(g) + 3 O2(g) + Phosphorus <=> D-Glyceraldehyde 3-phosphate,-1089.51,298.15,0,7.0,14
Alberty (2006),C00119,formation,A,,formation of 5-Phospho-alpha-D-ribose 1-diphosphate,5 C06265 + 6.5 C90000 + 7 C90002 + 3 C90007 <=> C00119,5 Carbon + 6.5 H2(g) + 7 O2(g) + 3 Phosphorus <=> 5-Phospho-alpha-D-ribose 1-diphosphate,-2966.88,298.15,0,7.0,14
Alberty (2006),C00121,formation,A,,formation of D-Ribose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00121,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Ribose,-339.44,298.15,0,7.0,14
Alberty (2006),C00122,formation,A,,formation of Fumarate,4 C06265 + 2 C90000 + 2 C90002 <=> C00122,4 Carbon + 2 H2(g) + 2 O2(g) <=> Fumarate,-522.01,298.15,0,7.0,14
Alberty (2006),C00123,formation,A,,formation of L-Leucine,6 C06265 + 6.5 C90000 + 0.5 C90001 + C90002 <=> C00123,6 Carbon + 6.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Leucine,166.89,298.15,0,7.0,14
Alberty (2006),C00124,formation,A,,formation of D-Galactose,6 C06265 + 6 C90000 + 3 C90002 <=> C00124,6 Carbon + 6 H2(g) + 3 O2(g) <=> D-Galactose,-429.71,298.15,0,7.0,14
Alberty (2006),C00147,formation,A,,formation of Adenine,5 C06265 + 2.5 C90000 + 2.5 C90001 <=> C00147,5 Carbon + 2.5 H2(g) + 2.5 N2(g) <=> Adenine,513.02,298.15,0,7.0,14
Alberty (2006),C00149,formation,A,,formation of (S)-Malate,4 C06265 + 3 C90000 + 2.5 C90002 <=> C00149,4 Carbon + 3 H2(g) + 2.5 O2(g) <=> (S)-Malate,-682.95,298.15,0,7.0,14
Alberty (2006),C00152,formation,A,,formation of L-Asparagine,4 C06265 + 4 C90000 + C90001 + 1.5 C90002 <=> C00152,4 Carbon + 4 H2(g) + N2(g) + 1.5 O2(g) <=> L-Asparagine,-206.54,298.15,0,7.0,14
Alberty (2006),C00158,formation,A,,formation of Citrate,6 C06265 + 4 C90000 + 3.5 C90002 <=> C00158,6 Carbon + 4 H2(g) + 3.5 O2(g) <=> Citrate,-963.08,298.15,0,7.0,14
Alberty (2006),C00159,formation,A,,formation of D-Mannose,6 C06265 + 6 C90000 + 3 C90002 <=> C00159,6 Carbon + 6 H2(g) + 3 O2(g) <=> D-Mannose,-430.78,298.15,0,7.0,14
Alberty (2006),C00160,formation,A,,formation of Glycolate,2 C06265 + 2 C90000 + 1.5 C90002 <=> C00160,2 Carbon + 2 H2(g) + 1.5 O2(g) <=> Glycolate,-411.15,298.15,0,7.0,14
Alberty (2006),C00164,formation,A,,formation of Acetoacetate,4 C06265 + 3 C90000 + 1.5 C90002 <=> C00164,4 Carbon + 3 H2(g) + 1.5 O2(g) <=> Acetoacetate,-282.82,298.15,0,7.0,14
Alberty (2006),C00181,formation,A,,formation of D-Xylose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00181,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Xylose,-351.14,298.15,0,7.0,14
Alberty (2006),C00183,formation,A,,formation of L-Valine,5 C06265 + 5.5 C90000 + 0.5 C90001 + C90002 <=> C00183,5 Carbon + 5.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Valine,80.62,298.15,0,7.0,14
Alberty (2006),C00184,formation,A,,formation of Glycerone,3 C06265 + 3 C90000 + 1.5 C90002 <=> C00184,3 Carbon + 3 H2(g) + 1.5 O2(g) <=> Glycerone,-211.39,298.15,0,7.0,14
Alberty (2006),C00186,formation,A,,formation of (S)-Lactate,3 C06265 + 3 C90000 + 1.5 C90002 <=> C00186,3 Carbon + 3 H2(g) + 1.5 O2(g) <=> (S)-Lactate,-317.05,298.15,0,7.0,14
Alberty (2006),C00188,formation,A,,formation of L-Threonine,4 C06265 + 4.5 C90000 + 0.5 C90001 + 1.5 C90002 <=> C00188,4 Carbon + 4.5 H2(g) + 0.5 N2(g) + 1.5 O2(g) <=> L-Threonine,-169.50,298.15,0,7.0,14
Alberty (2006),C00197,formation,A,,formation of 3-Phospho-D-glycerate,3 C06265 + 3.5 C90000 + 3.5 C90002 + C90007 <=> C00197,3 Carbon + 3.5 H2(g) + 3.5 O2(g) + Phosphorus <=> 3-Phospho-D-glycerate,-1343.46,298.15,0,7.0,14
Alberty (2006),C00198,formation,A,,"formation of D-Glucono-1,5-lactone",6 C06265 + 5 C90000 + 3 C90002 <=> C00198,"6 Carbon + 5 H2(g) + 3 O2(g) <=> D-Glucono-1,5-lactone",-504.15,298.15,0,7.0,14
Alberty (2006),C00199,formation,A,,formation of D-Ribulose 5-phosphate,5 C06265 + 5.5 C90000 + 4 C90002 + C90007 <=> C00199,5 Carbon + 5.5 H2(g) + 4 O2(g) + Phosphorus <=> D-Ribulose 5-phosphate,-1236.59,298.15,0,7.0,14
Alberty (2006),C00207,formation,A,,formation of Acetone,3 C06265 + 3 C90000 + 0.5 C90002 <=> C00207,3 Carbon + 3 H2(g) + 0.5 O2(g) <=> Acetone,79.91,298.15,0,7.0,14
Alberty (2006),C00208,formation,A,,formation of Maltose,12 C06265 + 11 C90000 + 5.5 C90002 <=> C00208,12 Carbon + 11 H2(g) + 5.5 O2(g) <=> Maltose,-696.13,298.15,0,7.0,14
Alberty (2006),C00209,formation,A,,formation of Oxalate,2 C06265 + C90000 + 2 C90002 <=> C00209,2 Carbon + H2(g) + 2 O2(g) <=> Oxalate,-673.90,298.15,0,7.0,14
Alberty (2006),C00212,formation,A,,formation of Adenosine,10 C06265 + 6.5 C90000 + 2.5 C90001 + 2 C90002 <=> C00212,10 Carbon + 6.5 H2(g) + 2.5 N2(g) + 2 O2(g) <=> Adenosine,324.62,298.15,0,7.0,14
Alberty (2006),C00216,formation,A,,formation of D-Arabinose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00216,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Arabinose,-342.88,298.15,0,7.0,14
Alberty (2006),C00218,formation,A,,formation of Methylamine,C06265 + 2.5 C90000 + 0.5 C90001 <=> C00218,Carbon + 2.5 H2(g) + 0.5 N2(g) <=> Methylamine,199.75,298.15,0,7.0,14
Alberty (2006),C00224,formation,A,,formation of Adenylyl sulfate,C00087 + 10 C06265 + 7 C90000 + 2.5 C90001 + 5 C90002 + C90007 <=> C00224,Sulfur + 10 Carbon + 7 H2(g) + 2.5 N2(g) + 5 O2(g) + Phosphorus <=> Adenylyl sulfate,-1062.80,298.15,0,7.0,14
Alberty (2006),C00227,formation,A,,formation of Acetyl phosphate,2 C06265 + 2.5 C90000 + 2.5 C90002 + C90007 <=> C00227,2 Carbon + 2.5 H2(g) + 2.5 O2(g) + Phosphorus <=> Acetyl phosphate,-1100.02,298.15,0,7.0,14
Alberty (2006),C00233,formation,A,,formation of 4-Methyl-2-oxopentanoate,6 C06265 + 5 C90000 + 1.5 C90002 <=> C00233,6 Carbon + 5 H2(g) + 1.5 O2(g) <=> 4-Methyl-2-oxopentanoate,-85.73,298.15,0,7.0,14
Alberty (2006),C00236,formation,A,,formation of 3-Phospho-D-glyceroyl phosphate,3 C06265 + 4 C90000 + 5 C90002 + 2 C90007 <=> C00236,3 Carbon + 4 H2(g) + 5 O2(g) + 2 Phosphorus <=> 3-Phospho-D-glyceroyl phosphate,-2197.38,298.15,0,7.0,14
Alberty (2006),C00243,formation,A,,formation of Lactose,12 C06265 + 11 C90000 + 5.5 C90002 <=> C00243,12 Carbon + 11 H2(g) + 5.5 O2(g) <=> Lactose,-688.77,298.15,0,7.0,14
Alberty (2006),C00246,formation,A,,formation of Butanoic acid,4 C06265 + 4 C90000 + C90002 <=> C00246,4 Carbon + 4 H2(g) + O2(g) <=> Butanoic acid,-73.11,298.15,0,7.0,14
Alberty (2006),C00247,formation,A,,formation of L-Sorbose,6 C06265 + 6 C90000 + 3 C90002 <=> C00247,6 Carbon + 6 H2(g) + 3 O2(g) <=> L-Sorbose,-432.74,298.15,0,7.0,14
Alberty (2006),C00249,formation,A,,formation of Hexadecanoic acid,16 C06265 + 16 C90000 + C90002 <=> C00249,16 Carbon + 16 H2(g) + O2(g) <=> Hexadecanoic acid,978.55,298.15,0,7.0,14
Alberty (2006),C00252,formation,A,,formation of Isomaltose,12 C06265 + 11 C90000 + 5.5 C90002 <=> C00252,12 Carbon + 11 H2(g) + 5.5 O2(g) <=> Isomaltose,-709.15,298.15,0,7.0,14
Thauer (1977),C00257,formation,A,,formation of D-Gluconic acid,6 C06265 + 6 C90000 + 3.5 C90002 <=> C00257,6 Carbon + 6 H2(g) + 3.5 O2(g) <=> D-Gluconic acid,-689.02,298.15,0,7.0,14
Alberty (2006),C00258,formation,A,,formation of D-Glycerate,3 C06265 + 3 C90000 + 2 C90002 <=> C00258,3 Carbon + 3 H2(g) + 2 O2(g) <=> D-Glycerate,-461.34,298.15,0,7.0,14
Alberty (2006),C00262,formation,A,,formation of Hypoxanthine,5 C06265 + 2 C90000 + 2 C90001 + 0.5 C90002 <=> C00262,5 Carbon + 2 H2(g) + 2 N2(g) + 0.5 O2(g) <=> Hypoxanthine,249.16,298.15,0,7.0,14
Alberty (2006),C00275,formation,A,,formation of D-Mannose 6-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C00275,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Mannose 6-phosphate,-1320.99,298.15,0,7.0,14
Alberty (2006),C00294,formation,A,,formation of Inosine,10 C06265 + 6 C90000 + 2 C90001 + 2.5 C90002 <=> C00294,10 Carbon + 6 H2(g) + 2 N2(g) + 2.5 O2(g) <=> Inosine,70.04,298.15,0,7.0,14
Alberty (2006),C00300,formation,A,,formation of Creatine,4 C06265 + 4.5 C90000 + 1.5 C90001 + C90002 <=> C00300,4 Carbon + 4.5 H2(g) + 1.5 N2(g) + O2(g) <=> Creatine,100.21,298.15,0,7.0,14
Alberty (2006),C00309,formation,A,,formation of D-Ribulose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00309,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Ribulose,-336.60,298.15,0,7.0,14
Alberty (2006),C00310,formation,A,,formation of D-Xylulose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00310,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Xylulose,-346.81,298.15,0,7.0,14
Alberty (2006),C00311,formation,A,,formation of Isocitrate,6 C06265 + 4 C90000 + 3.5 C90002 <=> C00311,6 Carbon + 4 H2(g) + 3.5 O2(g) <=> Isocitrate,-956.43,298.15,0,7.0,14
Alberty (2006),C00354,formation,A,,"formation of D-Fructose 1,6-bisphosphate",6 C06265 + 7 C90000 + 6 C90002 + 2 C90007 <=> C00354,"6 Carbon + 7 H2(g) + 6 O2(g) + 2 Phosphorus <=> D-Fructose 1,6-bisphosphate",-2202.81,298.15,0,7.0,14
Alberty (2006),C00379,formation,A,,formation of Xylitol,5 C06265 + 6 C90000 + 2.5 C90002 <=> C00379,5 Carbon + 6 H2(g) + 2.5 O2(g) <=> Xylitol,-304.87,298.15,0,7.0,14
Alberty (2006),C00392,formation,A,,formation of Mannitol,6 C06265 + 7 C90000 + 3 C90002 <=> C00392,6 Carbon + 7 H2(g) + 3 O2(g) <=> Mannitol,-383.53,298.15,0,7.0,14
Alberty (2006),C00407,formation,A,,formation of L-Isoleucine,6 C06265 + 6.5 C90000 + 0.5 C90001 + C90002 <=> C00407,6 Carbon + 6.5 H2(g) + 0.5 N2(g) + O2(g) <=> L-Isoleucine,175.24,298.15,0,7.0,14
Alberty (2006),C00417,formation,A,,formation of cis-Aconitate,6 C06265 + 3 C90000 + 3 C90002 <=> C00417,6 Carbon + 3 H2(g) + 3 O2(g) <=> cis-Aconitate,-797.41,298.15,0,7.0,14
Alberty (2006),C00463,formation,A,,formation of Indole,8 C06265 + 3.5 C90000 + 0.5 C90001 <=> C00463,8 Carbon + 3.5 H2(g) + 0.5 N2(g) <=> Indole,503.34,298.15,0,7.0,14
Alberty (2006),C00476,formation,A,,formation of D-Lyxose,5 C06265 + 5 C90000 + 2.5 C90002 <=> C00476,5 Carbon + 5 H2(g) + 2.5 O2(g) <=> D-Lyxose,-349.79,298.15,0,7.0,14
Alberty (2006),C00491,formation,A,,formation of L-Cystine,2 C00087 + 6 C06265 + 6 C90000 + C90001 + 2 C90002 <=> C00491,2 Sulfur + 6 Carbon + 6 H2(g) + N2(g) + 2 O2(g) <=> L-Cystine,-187.34,298.15,0,7.0,14
Alberty (2006),C00575,formation,A,,"formation of 3',5'-Cyclic AMP",10 C06265 + 6 C90000 + 2.5 C90001 + 3 C90002 + C90007 <=> C00575,"10 Carbon + 6 H2(g) + 2.5 N2(g) + 3 O2(g) + Phosphorus <=> 3',5'-Cyclic AMP",-351.61,298.15,0,7.0,14
Alberty (2006),C00577,formation,A,,formation of D-Glyceraldehyde,3 C06265 + 3 C90000 + 1.5 C90002 <=> C00577,3 Carbon + 3 H2(g) + 1.5 O2(g) <=> D-Glyceraldehyde,-200.41,298.15,0,7.0,14
Alberty (2006),C00620,formation,A,,formation of alpha-D-Ribose 1-phosphate,5 C06265 + 5.5 C90000 + 4 C90002 + C90007 <=> C00620,5 Carbon + 5.5 H2(g) + 4 O2(g) + Phosphorus <=> alpha-D-Ribose 1-phosphate,-1228.67,298.15,0,7.0,14
Alberty (2006),C00631,formation,A,,formation of 2-Phospho-D-glycerate,3 C06265 + 3.5 C90000 + 3.5 C90002 + C90007 <=> C00631,3 Carbon + 3.5 H2(g) + 3.5 O2(g) + Phosphorus <=> 2-Phospho-D-glycerate,-1336.88,298.15,0,7.0,14
Alberty (2006),C00636,formation,A,,formation of D-Mannose 1-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C00636,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Mannose 1-phosphate,-1315.66,298.15,0,7.0,14
Alberty (2006),C00644,formation,A,,formation of D-Mannitol 1-phosphate,6 C06265 + 7.5 C90000 + 4.5 C90002 + C90007 <=> C00644,6 Carbon + 7.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Mannitol 1-phosphate,-1275.14,298.15,0,7.0,14
Alberty (2006),C00673,formation,A,,formation of 2-Deoxy-D-ribose 5-phosphate,5 C06265 + 5.5 C90000 + 3.5 C90002 + C90007 <=> C00673,5 Carbon + 5.5 H2(g) + 3.5 O2(g) + Phosphorus <=> 2-Deoxy-D-ribose 5-phosphate,-1088.92,298.15,0,7.0,14
Alberty (2006),C00791,formation,A,,formation of Creatinine,4 C06265 + 3.5 C90000 + 1.5 C90001 + 0.5 C90002 <=> C00791,4 Carbon + 3.5 H2(g) + 1.5 N2(g) + 0.5 O2(g) <=> Creatinine,256.40,298.15,0,7.0,14
Alberty (2006),C00794,formation,A,,formation of D-Sorbitol,6 C06265 + 7 C90000 + 3 C90002 <=> C00794,6 Carbon + 7 H2(g) + 3 O2(g) <=> D-Sorbitol,-387.28,298.15,0,7.0,14
Alberty (2006),C00849,formation,A,,formation of Ethyl acetate,4 C06265 + 4 C90000 + C90002 <=> C00849,4 Carbon + 4 H2(g) + O2(g) <=> Ethyl acetate,-18.17,298.15,0,7.0,14
Alberty (2006),C01005,formation,A,,formation of O-Phospho-L-serine,3 C06265 + 4 C90000 + 0.5 C90001 + 3 C90002 + C90007 <=> C01005,3 Carbon + 4 H2(g) + 0.5 N2(g) + 3 O2(g) + Phosphorus <=> O-Phospho-L-serine,-1121.83,298.15,0,7.0,14
Alberty (2006),C01013,formation,A,,formation of 3-Hydroxypropanoate,3 C06265 + 3 C90000 + 1.5 C90002 <=> C01013,3 Carbon + 3 H2(g) + 1.5 O2(g) <=> 3-Hydroxypropanoate,-318.73,298.15,0,7.0,14
Alberty (2006),C01083,formation,A,,"formation of alpha,alpha-Trehalose",12 C06265 + 11 C90000 + 5.5 C90002 <=> C01083,"12 Carbon + 11 H2(g) + 5.5 O2(g) <=> alpha,alpha-Trehalose",-704.20,298.15,0,7.0,14
Alberty (2006),C01096,formation,A,,formation of Sorbitol 6-phosphate,6 C06265 + 7.5 C90000 + 4.5 C90002 + C90007 <=> C01096,6 Carbon + 7.5 H2(g) + 4.5 O2(g) + Phosphorus <=> Sorbitol 6-phosphate,-1274.66,298.15,0,7.0,14
Alberty (2006),C01112,formation,A,,formation of D-Arabinose 5-phosphate,5 C06265 + 5.5 C90000 + 4 C90002 + C90007 <=> C01112,5 Carbon + 5.5 H2(g) + 4 O2(g) + Phosphorus <=> D-Arabinose 5-phosphate,-1239.64,298.15,0,7.0,14
Alberty (2006),C01113,formation,A,,formation of D-Galactose 6-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C01113,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Galactose 6-phosphate,-1317.93,298.15,0,7.0,14
Alberty (2006),C01127,formation,A,,formation of 4-Hydroxy-2-oxoglutarate,5 C06265 + 3 C90000 + 3 C90002 <=> C01127,5 Carbon + 3 H2(g) + 3 O2(g) <=> 4-Hydroxy-2-oxoglutarate,-812.04,298.15,0,7.0,14
Alberty (2006),C01236,formation,A,,"formation of D-Glucono-1,5-lactone 6-phosphate",6 C06265 + 5.5 C90000 + 4.5 C90002 + C90007 <=> C01236,"6 Carbon + 5.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Glucono-1,5-lactone 6-phosphate",-1387.15,298.15,0,7.0,14
Alberty (2006),C01384,formation,A,,formation of Maleic acid,4 C06265 + 2 C90000 + 2 C90002 <=> C01384,4 Carbon + 2 H2(g) + 2 O2(g) <=> Maleic acid,-512.41,298.15,0,7.0,14
Alberty (2006),C01412,formation,A,,formation of Butanal,4 C06265 + 4 C90000 + 0.5 C90002 <=> C01412,4 Carbon + 4 H2(g) + 0.5 O2(g) <=> Butanal,189.61,298.15,0,7.0,14
Alberty (2006),C01507,formation,A,,formation of L-Iditol,6 C06265 + 7 C90000 + 3 C90002 <=> C01507,6 Carbon + 7 H2(g) + 3 O2(g) <=> L-Iditol,-385.65,298.15,0,7.0,14
Alberty (2006),C01845,formation,A,,formation of Propan-2-ol,3 C06265 + 4 C90000 + 0.5 C90002 <=> C01845,3 Carbon + 4 H2(g) + 0.5 O2(g) <=> Propan-2-ol,134.25,298.15,0,7.0,14
Alberty (2006),C02037,formation,A,,formation of Glycylglycine,4 C06265 + 4 C90000 + C90001 + 1.5 C90002 <=> C02037,4 Carbon + 4 H2(g) + N2(g) + 1.5 O2(g) <=> Glycylglycine,-200.90,298.15,0,7.0,14
Alberty (2006),C02226,formation,A,,formation of 2-Methylmaleate,5 C06265 + 3 C90000 + 2 C90002 <=> C02226,5 Carbon + 3 H2(g) + 2 O2(g) <=> 2-Methylmaleate,-441.11,298.15,0,7.0,14
Alberty (2006),C02612,formation,A,,formation of (R)-2-Methylmalate,5 C06265 + 4 C90000 + 2.5 C90002 <=> C02612,5 Carbon + 4 H2(g) + 2.5 O2(g) <=> (R)-2-Methylmalate,-604.34,298.15,0,7.0,14
Alberty (2006),C03196,formation,A,,formation of (S)-2-Hydroxyglutarate,5 C06265 + 4 C90000 + 2.5 C90002 <=> C03196,5 Carbon + 4 H2(g) + 2.5 O2(g) <=> (S)-2-Hydroxyglutarate,-600.58,298.15,0,7.0,14
Alberty (2006),C03232,formation,A,,formation of 3-Phosphonooxypyruvate,3 C06265 + 2.5 C90000 + 3.5 C90002 + C90007 <=> C03232,3 Carbon + 2.5 H2(g) + 3.5 O2(g) + Phosphorus <=> 3-Phosphonooxypyruvate,-1369.17,298.15,0,7.0,14
