8,ADP,298.15,14,13,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])O,4.36,Alberty 2003
8,ADP,298.15,13,12,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])[O-],7.18,Alberty 2003
9,Pi,298.15,2,1,OP(=O)([O-])O,OP(=O)([O-])[O-],7.22,Alberty 2003
10,CoA,298.15,34,33,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,4.32,Keire 1992
10,CoA,298.15,33,32,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,6.31,Keire 1992
10,CoA,298.15,32,31,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCC[S-],9.83,Keire 1992
13,PPi,298.15,4,3,OP(=O)(O)OP(=O)(O)O,[O-]P(=O)(O)OP(=O)(O)O,0.83,Alberty 2003
13,PPi,298.15,3,2,[O-]P(=O)(O)OP(=O)(O)O,[O-]P(=O)(O)OP(=O)([O-])O,2.26,Alberty 2003
13,PPi,298.15,2,1,[O-]P(=O)(O)OP(=O)([O-])O,[O-]P(=O)([O-])OP(=O)([O-])O,6.72,Alberty 2003
13,PPi,298.15,1,0,[O-]P(=O)([O-])OP(=O)([O-])O,[O-]P(=O)([O-])OP(=O)([O-])[O-],9.47,Alberty 2003
14,NH3,298.15,4,3,[NH4+],[NH3],9.26
15,UDP,298.15,12,11,,,7.18
15,UDP,298.15,11,10,,,10.16
20,AMP,298.15,14,13,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])O,3.99,Alberty 2003
20,AMP,298.15,13,12,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])[O-],6.73,Alberty 2003
22,Pyruvate,298.15,4,3,CC(=O)C(=O)[OH],CC(=O)C(=O)[O-],2.39,CRC (88th edition)
24,Acetyl-CoA,298.15,36,35,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C,4.32,Keire 1992 (assumed same as CoA)
24,Acetyl-CoA,298.15,35,34,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C,6.31,Keire 1992 (assumed same as CoA)
25,L-Glutamate,298.15,10,9,C(CC(=O)[OH])C(C(=O)[OH])[NH3+],C(CC(=O)[OH])C(C(=O)[O-])[NH3+],2.13,CRC (88th edition)
25,L-Glutamate,298.15,9,8,C(CC(=O)[OH])C(C(=O)[O-])[NH3+],C(CC(=O)[O-])C(C(=O)[O-])[NH3+],4.31,CRC (88th edition)
25,L-Glutamate,298.15,8,7,C(CC(=O)[O-])C(C(=O)[O-])[NH3+],C(CC(=O)[O-])C(C(=O)[O-])[NH2],9.67,CRC (88th edition)
26,2-Oxoglutarate,298.15,6,5,C(=O)(O)CCC(=O)C(=O)O,C(=O)(O)CCC(=O)C(=O)[O-],2.47
26,2-Oxoglutarate,298.15,5,4,C(=O)(O)CCC(=O)C(=O)[O-],C(=O)([O-])CCC(=O)C(=O)[O-],4.68
27,H2O2,298.15,2,2,,,
29,UDP-glucose,298.15,22,22,,,
31,D-Glucose,298.15,12,12,,,
33,Acetate,298.15,4,3,CC(=O)[OH],CC(=O)[O-],4.76
35,GDP,298.15,13,12,,,7.18
35,GDP,298.15,12,11,,,9.89
36,Oxaloacetate,298.15,4,3,C(=O)(O)C(=O)CC(=O)O,C(=O)([O-])C(=O)CC(=O)O,2.55
36,Oxaloacetate,298.15,3,2,C(=O)([O-])C(=O)CC(=O)O,C(=O)([O-])C(=O)CC(=O)[O-],4.37
36,Oxaloacetate,298.15,2,1,C(=O)([O-])C(=O)CC(=O)[O-],C(=O)([O-])C([O-])=CC(=O)[O-],13.03
37,Glycine,298.15,6,5,C(C(=O)[OH])[NH3+],C(C(=O)[O-])[NH3+],2.35
37,Glycine,298.15,5,4,C(C(=O)[O-])[NH3+],C(C(=O)[O-])[NH2],9.78
41,L-Alanine,298.15,8,7,CC(C(=O)[OH])[NH3+],CC(C(=O)[O-])[NH3+],2.34
41,L-Alanine,298.15,7,6,CC(C(=O)[O-])[NH3+],CC(C(=O)[O-])[NH2],9.87
42,Succinate,298.15,6,5,C(=O)(O)CCC(=O)O,C(=O)(O)CCC(=O)[O-],4.21
42,Succinate,298.15,5,4,C(=O)(O)CCC(=O)[O-],C(=O)([O-])CCC(=O)[O-],5.64
44,GTP,298.15,13,12,,,7.6
44,GTP,298.15,12,11,,,10.43
47,L-Lysine,298.15,16,15,[NH3+]CCCCC(C(=O)[OH])[NH3+],[NH3+]CCCCC(C(=O)[O-])[NH3+],2.16
47,L-Lysine,298.15,15,14,[NH3+]CCCCC(C(=O)[O-])[NH3+],[NH3+]CCCCC(C(=O)[O-])[NH2],9.06
47,L-Lysine,298.15,14,13,[NH3+]CCCCC(C(=O)[O-])[NH2],[NH2]CCCCC(C(=O)[O-])[NH2],10.54
48,Glyoxylate,298.15,2,1,C(=O)C(=O)[OH],C(=O)C(=O)[O-],3.18
49,L-Aspartate,298.15,8,7,C(=O)([OH])CC(C(=O)[OH])[NH3+],C(=O)([OH])CC(C(=O)[O-])[NH3+],1.99
49,L-Aspartate,298.15,7,6,C(=O)([OH])CC(C(=O)[O-])[NH3+],C(=O)([O-])CC(C(=O)[O-])[NH3+],3.9
49,L-Aspartate,298.15,6,5,C(=O)([O-])CC(C(=O)[O-])[NH3+],C(=O)([O-])CC(C(=O)[O-])[NH2],9.9
51,Glutathione,298.15,18,17,,,2.12
51,Glutathione,298.15,17,16,,,3.59
51,Glutathione,298.15,16,15,,,8.75
51,Glutathione,298.15,15,14,,,9.65
52,UDP-D-galactose,298.15,22,22,,,
55,CMP,298.15,14,13,,,4.4
55,CMP,298.15,13,12,,,6.73
58,Formate,298.15,2,1,,,3.75
59,Sulfate,298.15,1,0,OS(=O)(=O)[O-],[O-]S(=O)(=O)[O-],1.99
61,FMN,298.15,19,19,,,
62,L-Arginine,298.15,16,15,C(CC(C(=O)[OH])[NH3+])CNC(=[NH2+])[NH2],C(CC(C(=O)[O-])[NH3+])CNC(=[NH2+])[NH2],1.82
62,L-Arginine,298.15,15,14,C(CC(C(=O)[O-])[NH3+])CNC(=[NH2+])[NH2],C(CC(C(=O)[O-])[NH2])CNC(=[NH2+])[NH2],8.99
62,L-Arginine,298.15,14,13,C(CC(C(=O)[O-])[NH2])CNC(=[NH2+])[NH2],C(CC(C(=O)[O-])[NH2])CNC(=[NH])[NH2],12.5
63,CTP,298.15,14,13,,,5.08
63,CTP,298.15,13,12,,,7.6
64,L-Glutamine,298.15,11,10,[NH2]C(=O)CCC(C(=O)[OH])[NH3+],[NH2]C(=O)CCC(C(=O)[O-])[NH3+],2.17
64,L-Glutamine,298.15,10,9,[NH2]C(=O)CCC(C(=O)[O-])[NH3+],[NH2]C(=O)CCC(C(=O)[O-])[NH2],9.13
65,L-Serine,298.15,8,7,[OH]CC(C(=O)[OH])[NH3+],[OH]CC(C(=O)[O-])[NH3+],2.19
65,L-Serine,298.15,7,6,[OH]CC(C(=O)[O-])[NH3+],[OH]CC(C(=O)[O-])[NH2],9.21
67,Formaldehyde,298.15,2,1,,,13.27
72,Ascorbate,298.15,8,7,,,4.04
72,Ascorbate,289.15,7,6,,,11.7
73,L-Methionine,298.15,12,11,CSCCC(C(=O)[OH])[NH3+],CSCCC(C(=O)[O-])[NH3+],2.13
73,L-Methionine,298.15,11,10,CSCCC(C(=O)[O-])[NH3+],CSCCC(C(=O)[O-])[NH2],9.27
74,Phosphoenolpyruvate,298.15,3,2,C=C(C(=O)[O-])OP(=O)([O-])O,C=C(C(=O)[O-])OP(=O)([O-])[O-],7.0
75,UTP,298.15,12,11,,,7.6
75,UTP,298.15,11,10,,,10.7
77,L-Ornithine,298.15,14,13,,,1.71
77,L-Ornithine,298.15,13,12,,,8.69
77,L-Ornithine,298.15,12,11,,,10.76
78,L-Tryptophan,298.15,13,12,c1ccc2c(c1)c(CC(C(=O)O)[NH3+])c[nH]2,c1ccc2c(c1)c(CC(C(=O)[O-])[NH3+])c[nH]2,2.46
78,L-Tryptophan,298.15,12,11,c1ccc2c(c1)c(CC(C(=O)[O-])[NH3+])c[nH]2,c1ccc2c(c1)c(CC(C(=O)[O-])N)c[nH]2,9.41
79,L-Phenylalanine,298.15,12,11,c1ccc(cc1)CC(C(=O)O)[NH3+],c1ccc(cc1)CC(C(=O)[O-])[NH3+],2.2
79,L-Phenylalanine,298.15,11,10,c1ccc(cc1)CC(C(=O)[O-])[NH3+],c1ccc(cc1)CC(C(=O)[O-])N,9.31
80,H+,298.15,0,0,,,
81,ITP,298.15,12,11,,,7.6
82,L-Tyrosine,298.15,12,11,[NH3+]C(Cc1ccc(O)cc1)C(O)=O,[NH3+]C(Cc1ccc(O)cc1)C([O-])=O,2.2
82,L-Tyrosine,298.15,11,10,[NH3+]C(Cc1ccc(O)cc1)C([O-])=O,NC(Cc1ccc(O)cc1)C([O-])=O,9.11
82,L-Tyrosine,298.15,10,9,[NH2]C(Cc1ccc(O)cc1)C([O-])=O,NC(Cc1ccc([O-])cc1)C([O-])=O,10.1
84,Acetaldehyde,298.15,4,3,,,13.57
85,D-Fructose 6-phosphate,298.15,12,11,O1C(CO)(O)C(O)C(O)C1COP([O-])(O)=O,O1C(CO)(O)C(O)C(O)C1COP([O-])([O-])=O,6.28
86,Urea,298.15,5,4,,,0.1
88,Nitrite,298.15,1,0,N(=O)O,N(=O)[O-],3.23
89,Sucrose,298.15,22,21,,,12.7
90,Catechol,298.15,6,5,Oc1ccccc1O,Oc1ccccc1[O-],9.34
90,Catechol,298.15,5,4,Oc1ccccc1[O-],[O-]c1ccccc1[O-],12.6
91,succinyl-CoA,298.15,38,37,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)OP(=O)([O-])O)C(C(=NCCC(=NCCSC(=O)CCC(=O)O)O)O)O,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)OP(=O)([O-])O)C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O,4.24
91,succinyl-CoA,298.15,37,36,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)OP(=O)([O-])O)C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])O)C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O,4.32
91,Succinyl-CoA,298.15,36,35,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])O)C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])C(C(=NCCC(=NCCSC(=O)CCC(=O)[O-])O)O)O,6.31
92,D-Glucose 6-phosphate,298.15,12,11,C(C1C(C(C(C(O)O1)O)O)O)OP(=O)([O-])O,C(C1C(C(C(C(O)O1)O)O)O)OP(=O)([O-])[O-],6.42
93,sn-Glycerol 3-phosphate,298.15,8,7,C(C(COP(=O)([O-])O)O)O,C(C(COP(=O)([O-])[O-])O)O,6.67
94,Sulfite,298.15,1,0,OS(=O)[O-],[O-]S(=O)[O-],7.24
97,L-Cysteine,298.15,8,7,[SH]CC(C(=O)[OH])[NH3+],[SH]CC(C(=O)[O-])[NH3+],1.5
97,L-Cysteine,298.15,7,6,[SH]CC(C(=O)[O-])[NH3+],[S-]CC(C(=O)[O-])[NH3+],8.7
97,L-Cysteine,298.15,6,5,[S-]CC(C(=O)[O-])[NH3+],[S-]CC(C(=O)[O-])[NH2],10.2
99,beta-Alanine,298.15,8,7,O=C([OH])CC[NH3+],O=C([O-])CC[NH3+],3.55
99,beta-Alanine,298.15,7,6,O=C([O-])CC[NH3+],O=C([O-])CC[NH2],10.24
100,Propanoyl-CoA,298.15,36,36,,,
103,D-Glucose 1-phosphate,298.15,12,11,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])O)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O,6.5
104,IDP,298.15,12,11,,,7.18
105,UMP,298.15,12,11,,,6.73
105,UMP,298.15,11,10,,,10.23
106,Uracil,298.15,4,3,,,9.45
109,2-Oxobutanoate,298.15,6,5,CCC(=O)C(=O)O,CCC(=O)C(=O)[O-],2.5
111,Glycerone phosphate,298.15,6,5,C(C(=O)COP(=O)([O-])O)O,C(C(=O)COP(=O)([O-])[O-])O,5.7
112,CDP,298.15,14,13,,,4.76
112,CDP,298.15,13,12,,,7.18
114,Choline,298.15,14,13,,,13.9
116,Glycerol,298.15,8,7,,,14.15
117,D-Ribose 5-phosphate,298.15,10,9,C([C@H]([C@H]([C@H](C=O)O)O)O)OP(=O)([O-])O,C([C@H]([C@H]([C@H](C=O)O)O)O)OP(=O)([O-])[O-],6.69
118,D-Glyceraldehyde 3-phosphate,298.15,6,5,C(=O)[C@@H](COP(=O)([O-])O)O,C(=O)[C@@H](COP(=O)([O-])[O-])O,5.7
119,5-Phospho-alpha-D-ribose 1-diphosphate,298.15,10,9,C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])O)O)O)OP(=O)([O-])O,C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])O)O)O)OP(=O)([O-])[O-],6.69
119,5-Phospho-alpha-D-ribose 1-diphosphate,298.15,9,8,C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])O)O)O)OP(=O)([O-])[O-],C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-],7.18
121,D-Ribose,298.15,10,9,,,12.22
122,Fumarate,298.15,4,3,OC(=O)\C=C\C(O)=O,OC(=O)\C=C\C([O-])=O,3.02
122,Fumarate,298.15,3,2,OC(=O)\C=C\C([O-])=O,[O-]C(=O)\C=C\C([O-])=O,4.38
123,L-Leucine,298.15,14,13,CC(C)CC(C(=O)[OH])[NH3+],CC(C)CC(C(=O)[O-])[NH3+],2.33
123,L-Leucine,298.15,13,12,CC(C)CC(C(=O)[O-])[NH3+],CC(C)CC(C(=O)[O-])[NH2],9.74
124,D-Galactose,298.15,12,12,,,
130,IMP,298.15,12,11,,,6.73
132,Methanol,298.15,4,3,,,15.5
134,Putrescine,298.15,13,12,[NH3+]CCCCN,NCCCCN,9.63
134,Putrescine,298.15,14,13,[NH3+]CCCC[NH3+],[NH3+]CCCCN,10.8
135,L-Histidine,298.15,11,10,O=C([OH])C([NH3+])Cc1c[nH]c[nH+]1,O=C([O-])C([NH3+])Cc1c[nH]c[nH+]1,1.8
135,L-Histidine,298.15,10,9,O=C([O-])C([NH3+])Cc1c[nH]c[nH+]1,O=C([O-])C([NH3+])Cc1c[nH]c[n]1,6.04
135,L-Histidine,298.15,9,8,O=C([O-])C([NH3+])Cc1c[nH]c[n]1,O=C([O-])C([NH2])Cc1c[nH]c[n]1,9.33
140,N-Acetyl-D-glucosamine,298.15,15,15,,,
144,GMP,298.15,13,12,,,6.73
144,GMP,298.15,12,11,,,9.94
147,Adenine,298.15,6,5,c1nc2c([NH2])[nH+]cnc2n1,c1nc2c([NH2])ncnc2n1,4.3
147,Adenine,298.15,5,4,c1nc2c([NH2])ncnc2n1,c1nc2c([NH2])ncnc2[n-]1,9.83
148,L-Proline,298.15,10,9,C1CC([NH2+]C1)C(=O)[OH],C1CC([NH2+]C1)C(=O)[O-],1.95
148,L-Proline,298.15,9,8,C1CC([NH2+]C1)C(=O)[O-],C1CC([NH]C1)C(=O)[O-],10.64
149,(S)-Malate,298.15,6,5,C(=O)(O)C(O)CC(=O)O,C(=O)([O-])C(O)CC(=O)O,3.4
149,(S)-Malate,298.15,5,4,C(=O)([O-])C(O)CC(=O)O,C(=O)([O-])C(O)CC(=O)[O-],5.11
152,L-Asparagine,293.15,9,8,[NH2]C(=O)CC(C(=O)[OH])[NH3+],[NH2]C(=O)CC(C(=O)[O-])[NH3+],2.1
152,L-Asparagine,293.15,8,7,[NH2]C(=O)CC(C(=O)[O-])[NH3+],[NH2]C(=O)CC(C(=O)[O-])[NH2],8.8
154,Palmitoyl-CoA,298.15,62,62,,,
155,L-Homocysteine,298.15,10,9,[SH]CCC(C(=O)[OH])[NH3+],[SH]CCC(C(=O)[O-])[NH3+],2.22
155,L-Homocysteine,298.15,9,8,[SH]CCC(C(=O)[O-])[NH3+],[S-]CCC(C(=O)[O-])[NH3+],8.87
155,L-Homocysteine,298.15,8,7,[S-]CCC(C(=O)[O-])[NH3+],[S-]CCC(C(=O)[O-])[NH2],10.86
156,4-Hydroxybenzoate,298.15,6,5,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)[O-])O,4.57
156,4-Hydroxybenzoate,298.15,5,4,C1=CC(=CC=C1C(=O)[O-])O,C1=CC(=CC=C1C(=O)[O-])[O-],9.46
158,Citrate,298.15,8,7,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C(C(=O)[O-])C(CC(=O)O)(C(=O)O)O,3.13
158,Citrate,298.15,7,6,C(C(=O)[O-])C(CC(=O)O)(C(=O)O)O,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O,4.76
158,Citrate,298.15,6,5,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,6.4
159,D-Mannose,298.15,12,11,,,12.08
160,Glycolate,298.15,4,3,OCC(=O)O,OCC(=O)[O-],3.83
163,Propanoate,298.15,6,5,CCC(=O)O,CCC(=O)[O-],4.87
164,Acetoacetate,298.15,6,5,CC(=O)CC(=O)O,CC(=O)CC(=O)[O-],3.6
169,Carbamoyl phosphate,298.15,4,3,C(=O)(N)OP(=O)(O)O,C(=O)(N)OP(=O)(O)[O-],5.12
169,Carbamoyl phosphate,298.15,3,2,C(=O)(N)OP(=O)(O)[O-],C(=O)(N)OP(=O)([O-])[O-],8.69
178,Thymine,298.15,6,5,,,9.94
180,Benzoate,298.15,6,5,c1ccccc1C(=O)O,c1ccccc1C(=O)[O-],4.2
181,D-Xylose,291.15,10,9,,,12.14
183,L-Valine,298.15,12,11,CC(C)C(C(=O)[OH])[NH3+],CC(C)C(C(=O)[O-])[NH3+],2.29
183,L-Valine,298.15,11,10,CC(C)C(C(=O)[O-])[NH3+],CC(C)C(C(=O)[O-])[NH2],9.74
184,Glycerone,298.15,6,6,,,
185,Cellobiose,298.15,22,22,,,
186,(S)-Lactate,298.15,6,5,CC(O)C(=O)O,CC(O)C(=O)[O-],3.86
188,L-Threonine,298.15,10,9,CC([OH])C(C(=O)[OH])[NH3+],CC([OH])C(C(=O)[O-])[NH3+],2.09
188,L-Threonine,298.15,9,8,CC([OH])C(C(=O)[O-])[NH3+],CC([OH])C(C(=O)[O-])[NH2],9.1
189,Ethanolamine,298.15,8,7,OCC[NH3+],OCCN,9.5
190,UDP-D-xylose,298.15,20,20,,,
197,3-Phospho-D-glycerate,298.15,5,4,C([C@H](C(=O)[O-])O)OP(=O)([O-])O,C([C@H](C(=O)[O-])O)OP(=O)([O-])[O-],7.53
198,"D-Glucono-1,5-lactone",298.15,10,10,,,
199,D-Ribulose 5-phosphate,298.15,10,9,C(C(C(C(=O)CO)O)O)OP(=O)([O-])O,C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-],6.69
207,Acetone,298.15,6,6,,,
208,Maltose,298.15,22,22,,,
209,Oxalate,298.15,2,1,C(=O)(O)C(=O)O,C(=O)(O)C(=O)[O-],1.25
209,Oxalate,298.15,1,0,C(=O)(O)C(=O)[O-],C(=O)([O-])C(=O)[O-],3.81
212,Adenosine,298.15,14,13,,,3.6
212,Adenosine,298.15,13,12,,,12.4
213,Sarcosine,298.15,8,7,C[NH2+]CC(=O)O,C[NH2+]CC(=O)[O-],2.21
213,Sarcosine,298.15,7,6,C[NH2+]CC(=O)[O-],CNCC(=O)[O-],10.1
214,Thymidine,298.15,14,14,,,
216,D-Arabinose,298.15,10,10,,,
