"cid","name","dG'0","pH","I","pMg","use for","compound_ref","remark"
392,"D-Mannitol",,7,0.25,14,"training","Alberty (2006)",
644,"D-Mannitol-1P",,7,0.25,14,"training","Alberty (2006)",
159,"D-Mannose",,7,0.25,14,"training","Alberty (2006)",
636,"D-Mannose-1P",,7,0.25,14,"training","Alberty (2006)",
275,"D-Mannose-6P",,7,0.25,14,"training","Alberty (2006)",
121,"D-ribose",,7,0.25,14,"training","Alberty (2006)",
620,"D-Ribose 1-phosphate",,7,0.25,14,"training","Alberty (2006)",
117,"D-Ribose 5-phosphate",,7,0.25,14,"training","Alberty (2006)",
119,"D-Ribose 5-phospho 1-diphosphate",,7,0.25,14,"training","Alberty (2006)",
309,"D-Ribulose",,7,0.25,14,"training","Alberty (2006)",
199,"D-Ribulose-5P",,7,0.25,14,"training","Alberty (2006)",
794,"D-Sorbitol",,7,0.25,14,"training","Alberty (2006)",
1096,"D-sorbitol-6P",,7,0.25,14,"training","Alberty (2006)",
181,"D-Xylose",,7,0.25,14,"training","Alberty (2006)","five-membered C4O ring form (xylofuranose)"
310,"D-Xylulose",,7,0.25,14,"training","Alberty (2006)",
673,"Deoxyribose-5P",,7,0.25,14,"training","Alberty (2006)",
2271,"dichloromethane",,7,0.25,14,"testing","Dolfing (1994)","too small"
111,"Dihydroxyacetone-P",-1095.7,7,0.25,14,"training","Alberty (2006)",
543,"Dimethylamine",,7,0.25,14,"testing","Thauer (1977)","too small"
80045,"ethane",,7,0.25,14,"testing","Dolfing (1994)","too small"
469,"Ethanol",62.96,7,0.25,14,"testing","Alberty (2006)","too small"
849,"Ethyl-acetate",-11.52,7,0.25,14,"training","Alberty (2006)",
6547,"ethylene",,7,0.25,14,"training","Dolfing (1994)",
67,"Formaldehyde",,7,0.25,14,"testing","Thauer (1977)","too small"
58,"Formate",-311.04,7,0.25,14,"testing","Alberty (2006)","too small"
122,"Fumarate",-523.58,7,0.25,14,"training","Alberty (2006)",
92,"Glucose-6-phosphate",,7,0.25,14,"training","Alberty (2006)",
118,"D-glyceraldehyde-3-phosphate",-1088.04,7,0.25,14,"training","Alberty (2006)",
116,"Glycerol",,7,0.25,14,"training","Alberty (2006)",
184,"Glycerone",,7,0.25,14,"training","Alberty (2006)",
37,"Glycine",,7,0.25,14,"training","Alberty (2006)",
160,"Glycolate",,7,0.25,14,"training","Alberty (2006)",
2037,"glycylglycine",,7,0.25,14,"training","Alberty (2006)",
48,"Glyoxylate",,7,0.25,14,"training","Alberty (2006)",
80,"H+",,7,0.25,14,"testing","Alberty (2006)","too small"
282,"H2(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
1,"H2O",,7,0.25,14,"testing","Alberty (2006)","too small"
27,"H2O2(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
1326,"HCN",,7,0.25,14,"testing","Wagman (1982)","too small"
80013,"hexachlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 9002-61-3"
19248,"hexachloroethane",,7,0.25,14,"training","Dolfing (1994)",
5361,"Hydrazine",,7,0.25,14,"testing","Thauer (1977)","too small"
262,"Hypoxanthine",,7,0.25,14,"training","Alberty (2006)",
463,"Indole",,7,0.25,14,"training","Alberty (2006)",
294,"Inosine",,7,0.25,14,"training","Alberty (2006)",
23,"iron",,7,0.25,14,"testing","Element",
311,"Isocitrate",-959.58,7,0.25,14,"training","Alberty (2006)",
252,"Isomaltose",,7,0.25,14,"training","Alberty (2006)",
5572,"Ketoglutaramate",,7,0.25,14,"training","Alberty (2006)",
152,"L-Asparagine",-199.8,7,0.25,14,"training","Alberty (2006)",
49,"L-Aspartate",-452.09,7,0.25,14,"training","Alberty (2006)",
97,"L-cysteine",-53.65,7,0.25,14,"training","Alberty (2006)",
491,"L-cystine",-117.32,7,0.25,14,"training","Alberty (2006)",
25,"L-Glutamate",-372.15,7,0.25,14,"training","Alberty (2006)",
64,"L-Glutamine",-120.36,7,0.25,14,"training","Alberty (2006)",
1507,"L-Iditol",,7,0.25,14,"training","Alberty (2006)",
407,"L-Isoleucine",,7,0.25,14,"training","Alberty (2006)",
123,"L-Leucine",,7,0.25,14,"training","Alberty (2006)",
149,"L-Malate",,7,0.25,14,"training","Alberty (2006)",
73,"L-Methionine",,7,0.25,14,"skip","Alberty (2006)","obtained from CRC biochemistry handbook 1970, might be a mistake"
79,"L-Phenylalanine",,7,0.25,14,"training","Alberty (2006)",
65,"L-Serine",,7,0.25,14,"training","Alberty (2006)",
247,"L-Sorbose",,7,0.25,14,"training","Alberty (2006)",
188,"L-Threonine",,7,0.25,14,"training","Alberty (2006)",
78,"L-Tryptophan",,7,0.25,14,"training","Alberty (2006)",
82,"L-Tyrosine",,7,0.25,14,"training","Alberty (2006)",
183,"L-Valine",,7,0.25,14,"training","Alberty (2006)",
186,"Lactate",,7,0.25,14,"training","Alberty (2006)",
243,"Lactose",,7,0.25,14,"training","Alberty (2006)",
1384,"Maleate",,7,0.25,14,"training","Alberty (2006)",
208,"Maltose",,7,0.25,14,"training","Alberty (2006)",
34,"Manganese",,7,0.25,14,"testing","Element",
1438,"methane",,7,0.25,14,"skip","Dolfing (1994)","duplicate of Alberty (2006)"
1438,"Methane(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
132,"Methanol",,7,0.25,14,"testing","Alberty (2006)","too small"
218,"Methylamine",,7,0.25,14,"training","Alberty (2006)",
2226,"methylmaleate",,7,0.25,14,"training","Alberty (2006)",
305,"Mg",,7,0.25,14,"testing","Alberty (2006)","too small"
80002,"monochlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 68411-45-0"
6142,"n-Butanol",,7,0.25,14,"training","Alberty (2006)",
5979,"n-propanol",,7,0.25,14,"training","Alberty (2006)",
697,"N2(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
887,"N2O(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
244,"nitrate",,7,0.25,14,"testing","Alberty (2006)","too small"
88,"Nitrite",,7,0.25,14,"testing","Alberty (2006)","too small"
1005,"O-Phospho-L-serine",,7,0.25,14,"training","Alberty (2006)",
7,"O2(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
9,"Orthophosphate",,7,0.25,14,"testing","Alberty (2006)","too small"
209,"oxalate",,7,0.25,14,"training","Alberty (2006)",
36,"Oxaloacetate",,7,0.25,14,"training","Alberty (2006)",
5379,"Oxalosuccinate",,7,0.25,14,"skip","Alberty (2006)","the most abundant species at pH 7 is nH=3 but its formation energy is missing"
233,"oxoisocaproate",,7,0.25,14,"training","Alberty (2006)",
249,"Palmitate",,7,0.25,14,"training","Alberty (2006)",
80012,"pentachlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 608-93-5"
19496,"pentachloroethane",,7,0.25,14,"training","Dolfing (1994)",
80042,"pentachlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=0 but its formation energy is missing"
80053,"pentane",,7,0.25,14,"training","Dolfing (1994)",
74,"Phosphoenolpyruvate",,7,0.25,14,"training","Alberty (2006)",
3232,"Phosphohydroxypyruvate",,7,0.25,14,"training","Alberty (2006)",
80047,"propane",,7,0.25,14,"training","Dolfing (1994)",
13,"pyrophosphate",,7,0.25,14,"testing","Alberty (2006)","too small"
22,"pyruvate",,7,0.25,14,"training","Alberty (2006)",
93,"sn-Glycerol-3-phosphate",,7,0.25,14,"training","Alberty (2006)",
42,"Succinate",,7,0.25,14,"training","Alberty (2006)",
89,"Sucrose",,7,0.25,14,"training","Alberty (2006)",
59,"Sulfate",,7,0.25,14,"testing","Alberty (2006)","too small"
283,"Sulfide",,7,0.25,14,"testing","Alberty (2006)","too small"
94,"Sulfite",,7,0.25,14,"testing","Alberty (2006)","too small"
87,"sulfur",,7,0.25,14,"skip","Element","not clear which compound this is (containing only one atom of sulfur)"
9306,"Sulfur dioxide",,7,0.25,14,"testing","Thauer (1977)","too small"
6789,"tetrachloroethylene",,7,0.25,14,"training","Dolfing (1994)",
7561,"tetrachloromethane",,7,0.25,14,"testing","Dolfing (1994)","too small"
1755,"thiocyanate",,7,0.25,14,"testing","Wagman (1982)","too weird (resonance between S=C=[N-] and [S-]C#N)"
6791,"trans-1,2-dichloroethylene",,7,0.25,14,"training","Dolfing (1994)",
1083,"Trehalose",,7,0.25,14,"training","Alberty (2006)",
6790,"trichloroethylene",,7,0.25,14,"training","Dolfing (1994)",
13827,"trichloromethane",,7,0.25,14,"testing","Dolfing (1994)","too small"
565,"Trimethylamine",,7,0.25,14,"testing","Thauer (1977)","too small"
366,"Urate",,7,0.25,14,"testing","Alberty (2006)","too small"
86,"Urea",,7,0.25,14,"testing","Alberty (2006)","too small"
379,"Xylitol",,7,0.25,14,"training","Alberty (2006)",
