"compound","pH=7|I=0M","pH=7|I=0.10M","pH=7|I=0.25M"
"malate","-682.88","-682.85","-682.85"
"maltose","-695.65","-682.19","-677.84"
"mannitolD","-383.22","-374.65","-371.89"
"mannose","-430.52","-423.18","-420.81"
"methaneaq","125.50","127.94","128.73"
"methaneg","109.11","111.55","112.34"
"methanol","-15.48","-13.04","-12.25"
"methionineL","-63.40","-56.67","-54.49"
"methylamineion","199.88","202.94","203.93"
"n2aq","18.70","18.70","18.70"
"n2g","0.00","0.00","0.00"
"nadox","1038.86","1054.17","1059.11"
"nadred","1101.47","1115.55","1120.09"
"nadpox","163.73","173.52","176.68"
"nadpred","229.67","235.79","237.77"
"o2aq","16.40","16.40","16.40"
"o2g","0.00","0.00","0.00"
"oxalate","-673.90","-676.35","-677.14"
"oxaloacetate","-713.38","-714.60","-715.00"
"oxalosuccinate","-979.05","-979.05","-979.05"
"palmitate","979.25","997.61","1003.54"
"pep","-1185.46","-1188.53","-1189.73"
"pg2","-1340.72","-1341.32","-1341.79"
"pg3","-1346.38","-1347.19","-1347.73"
"phenylalanineL","232.42","239.15","241.33"
"pi","-1058.56","-1059.17","-1059.49"
"ppi","-1934.95","-1939.13","-1940.66"
"propanol2","134.42","139.32","140.90"
"propanoln","143.84","148.74","150.32"
"pyruvate","-352.40","-351.18","-350.78"
"retinal","1118.78","1135.91","1141.45"
"retinol","1170.78","1189.14","1195.07"
"ribose","-339.23","-333.11","-331.13"
"ribose1phos","-1215.87","-1212.24","-1211.14"
"ribose5phos","-1223.95","-1220.32","-1219.22"
"ribulose","-336.38","-330.26","-328.28"
"serineL","-231.18","-226.89","-225.51"
"sorbose","-432.47","-425.13","-422.76"
"succinate","-530.72","-530.65","-530.64"
"succinylcoA","-349.90","-348.06","-347.47"
"sucrose","-685.66","-672.20","-667.85"
"thioredoxinox","0.00","0.00","0.00"
"thioredoxinred","54.32","55.41","55.74"
"tryptophaneL","364.78","372.12","374.49"
"tyrosineL","68.82","75.55","77.73"
"ubiquinoneox","3596.07","3651.15","3668.94"
"ubiquinonered","3586.06","3642.37","3660.55"
"urate","-206.03","-204.81","-204.41"
"urea","-42.97","-40.53","-39.74"
"uricacid","-197.07","-194.63","-193.84"
"valineL","80.87","87.60","89.78"
"xylose","-350.93","-344.81","-342.83"
"xylulose","-346.59","-340.47","-338.49"
