"name","synonym","formula","CAS","MW","step","T","pKa"
"3-Aminobenzonitrile",,"C7H6N2","2237-30-1",118.136,,25,2.75
"4-Aminobenzonitrile",,"C7H6N2","873-74-5",118.136,,25,1.74
"2-Aminobiphenyl",,"C12H11N","90-41-5",169.222,,25,3.83
"3-Aminobiphenyl",,"C12H11N","2243-47-2",169.222,,18,4.25
"4-Aminobiphenyl","p-Biphenylamine","C12H11N","92-67-1",169.222,,18,4.35
"DL-2-Aminobutanoic acid",,"C4H9NO2","2835-81-6",103.12,1,25,2.29
"DL-2-Aminobutanoic acid",,"C4H9NO2","2835-81-6",103.12,2,25,9.83
"4-Aminobutanoic acid","γ-Aminobutyric acid","C4H9NO2","56-12-2",103.12,1,25,4.031
"4-Aminobutanoic acid","γ-Aminobutyric acid","C4H9NO2","56-12-2",103.12,2,25,10.556
"4-(2-Aminoethyl)phenol","Tyramine","C8H11NO","51-67-2",137.179,1,25,9.74
"4-(2-Aminoethyl)phenol","Tyramine","C8H11NO","51-67-2",137.179,2,25,10.52
"6-Aminohexanoic acid","-Aminocaproic acid","C6H13NO2","60-32-2",131.173,1,25,4.37
"6-Aminohexanoic acid","-Aminocaproic acid","C6H13NO2","60-32-2",131.173,2,25,10.8
"4-Amino-2-hydroxybenzoic acid","p-Aminosalicylic acid","C7H7NO3","65-49-6",153.136,,,3.25
"2-Amino-4-hydroxypteridine",,"C6H5N5O","2236-60-4",163.137,1,20,2.27
"2-Amino-4-hydroxypteridine",,"C6H5N5O","2236-60-4",163.137,2,20,7.96
"2-Amino-2-methylpropanoic acid","2-Methylalanine","C4H9NO2","62-57-7",103.12,1,25,2.36
"2-Amino-2-methylpropanoic acid","2-Methylalanine","C4H9NO2","62-57-7",103.12,2,25,10.21
"5-Amino-1-naphthol","1-Amino-6-hydroxynaphthalene","C10H9NO","83-55-6",159.184,,25,3.97
"5-Amino-4-oxopentanoic acid","5-Aminolevulinic acid","C5H9NO3","106-60-5",131.13,1,25,4.05
"5-Amino-4-oxopentanoic acid","5-Aminolevulinic acid","C5H9NO3","106-60-5",131.13,2,25,8.9
"5-Aminopentanoic acid",,"C5H11NO2","660-88-8",117.147,1,25,4.27
"5-Aminopentanoic acid",,"C5H11NO2","660-88-8",117.147,2,25,10.77
"2-Aminophenol",,"C6H7NO","95-55-6",109.126,1,20,4.78
"2-Aminophenol",,"C6H7NO","95-55-6",109.126,2,20,9.97
"3-Aminophenol",,"C6H7NO","591-27-5",109.126,1,20,4.37
"3-Aminophenol",,"C6H7NO","591-27-5",109.126,2,20,9.82
"4-Aminophenol",,"C6H7NO","123-30-8",109.126,1,25,5.48
"4-Aminophenol",,"C6H7NO","123-30-8",109.126,2,25,10.3
"3-Aminopropanenitrile","3-Aminopropionitrile","C3H6N2","151-18-8",70.093,,20,7.8
"4-Amino-3,5,6-trichloro-2-pyridinecarboxlic acid","Picloram","C6H3Cl3N2O2","1918-02-1",241.459,,,3.6
"Amiodarone",,"C25H29I2NO3","1951-25-3",645.312,,25,6.56
"Amitriptyline",,"C20H23N","50-48-6",277.404,,,9.4
"Amobarbital","5-Ethyl-5-isopentyl-2,4,6(1H,3H,5H)-pyrimidinetrione","C11H18N2O3","57-43-2",226.272,,25,8
"Aniline","Benzenamine","C6H7N","62-53-3",93.127,,25,4.87
"Aniline-2-carboxylic acid","o-Anthranilic acid","C7H7NO2","118-92-3",137.137,1,25,2.17
"Aniline-2-carboxylic acid","o-Anthranilic acid","C7H7NO2","118-92-3",137.137,2,25,4.85
"Aniline-3-carboxylic acid","m-Anthranilic acid","C7H7NO2","99-05-8",137.137,1,25,3.07
"Aniline-3-carboxylic acid","m-Anthranilic acid","C7H7NO2","99-05-8",137.137,2,25,4.79
"Aniline-4-carboxylic acid","p-Anthranilic acid","C7H7NO2","150-13-0",137.137,1,25,2.5
"Aniline-4-carboxylic acid","p-Anthranilic acid","C7H7NO2","150-13-0",137.137,2,25,4.87
"Apomorphine",,"C17H17NO2","58-00-4",267.323,1,,7
"Apomorphine",,"C17H17NO2","58-00-4",267.323,2,,8.92
"Arecoline",,"C8H13NO2","63-75-2",155.195,,,6.84
"L-Arginine",,"C6H14N4O2","74-79-3",174.201,1,25,1.82
"L-Arginine",,"C6H14N4O2","74-79-3",174.201,2,25,8.99
"L-Arginine",,"C6H14N4O2","74-79-3",174.201,3,25,12.5
"L-Argininosuccinic acid",,"C10H18N4O5","2387-71-5",274.274,1,25,1.62
"L-Argininosuccinic acid",,"C10H18N4O5","2387-71-5",274.274,2,25,2.7
"L-Argininosuccinic acid",,"C10H18N4O5","2387-71-5",274.274,3,25,4.26
"L-Argininosuccinic acid",,"C10H18N4O5","2387-71-5",274.274,4,25,9.58
"L-Ascorbic acid","Vitamin C","C6H8O6","50-81-7",176.124,1,25,4.04
"L-Ascorbic acid","Vitamin C","C6H8O6","50-81-7",176.124,2,16,11.7
"L-Asparagine","alpha-Aminosuccinamic acid","C4H8N2O3","70-47-3",132.118,1,20,2.1
"L-Asparagine","alpha-Aminosuccinamic acid","C4H8N2O3","70-47-3",132.118,2,20,8.8
"L-Aspartic acid","L-Aminosuccinic acid","C4H7NO4","56-84-8",133.104,1,25,1.99
"L-Aspartic acid","L-Aminosuccinic acid","C4H7NO4","56-84-8",133.104,2,25,3.9
"L-Aspartic acid","L-Aminosuccinic acid","C4H7NO4","56-84-8",133.104,3,25,9.9
"Aspergillic acid",,"C12H20N2O2","490-02-8",224.299,,,5.5
"Atenolol",,"C14H22N2O3","29122-68-7",266.336,,,9.6
"Atisine","Anthorine","C22H33NO2","466-43-3",343.503,,,12.2
"Azaserine",,"C5H7N3O4","115-02-6",173.128,,,8.55
"Azathioprine","6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)thio]-1H-purine","C9H7N7O2S","446-86-6",277.263,,,8.2
"6-Azauridine","2-beta-D-Ribofuranosyl-1,2,4-triazine-3,5(2H,4H)-dione","C8H11N3O6","54-25-1",245.189,,,6.7
"Azetidine",,"C3H7N","503-29-7",57.095,,25,11.29
"Barbital","5,5-Diethylbarbituric acid","C8H12N2O3","57-44-3",184.192,,25,7.43
"Barbituric acid",,"C4H4N2O3","67-52-7",128.086,,25,4.01
"Benzaldehyde","Benzenecarboxaldehyde","C7H6O","100-52-7",106.122,,25,14.9
"Benzamide","Benzoic acid amide","C7H7NO","55-21-0",121.137,,25,"~13"
"Benzeneacetic acid","Phenylacetic acid","C8H8O2","103-82-2",136.149,,25,4.31
"Benzeneboronic acid",,"C6H7BO2","98-80-6",121.93,,,8.83
"Benzenebutanoic acid","4-Phenylbutanoic acid","C10H12O2","1821-12-1",164.201,,25,4.76
"1,2-Benzenediamine","o-Phenylenediamine","C6H8N2","95-54-5",108.141,1,20,4.57
"1,2-Benzenediamine","o-Phenylenediamine","C6H8N2","95-54-5",108.141,2,20,0.8
"1,3-Benzenediamine","m-Phenylenediamine","C6H8N2","108-45-2",108.141,1,20,5.11
"1,3-Benzenediamine","m-Phenylenediamine","C6H8N2","108-45-2",108.141,2,20,2.5
"1,4-Benzenediamine","p-Phenylenediamine","C6H8N2","106-50-3",108.141,1,20,6.31
"1,4-Benzenediamine","p-Phenylenediamine","C6H8N2","106-50-3",108.141,2,20,2.97
"Benzeneethanamine","2-Phenylethylamine","C8H11N","64-04-0",121.18,,25,9.83
"Benzenemethanethiol","Thiobenzyl alcohol","C7H8S","100-53-8",124.204,,25,9.43
"Benzenepropanoic acid","Hydrocinnamic acid","C9H10O2","501-52-0",150.174,,25,4.66
"Benzenesulfinic acid",,"C6H6O2S","618-41-7",142.176,,20,1.3
"Benzenesulfonic acid","Besylic acid","C6H6O3S","98-11-3",158.175,,25,0.7
"Benzenethiol","Phenyl mercaptan","C6H6S","108-98-5",110.177,,25,6.62
"p-Benzidine","[1,1'-Biphenyl]-4,4'-diamine","C12H12N2","92-87-5",184.236,1,20,4.65
"p-Benzidine","[1,1'-Biphenyl]-4,4'-diamine","C12H12N2","92-87-5",184.236,2,20,3.43
"1H-Benzimidazole","N,N'-Methenyl-o-phenylenediamine","C7H6N2","51-17-2",118.136,,25,5.53
"Benzoic acid","Benzenecarboxylic acid","C7H6O2","65-85-0",122.122,,25,4.204
"1H-Benzotriazole","1,2,3-Triaza-1H-indene","C6H5N3","95-14-7",119.124,,20,1.6
"N-Benzoylglycine","Hippuric acid","C9H9NO3","495-69-2",179.172,,25,3.62
"Benzpiperylon","1,2-Dihydro-2-(1-methyl-4-piperidinyl)-5-phenyl-4-benzyl-3H-pyrazol-3-one","C22H25N3O","53-89-4",347.453,1,,6.73
"Benzpiperylon","1,2-Dihydro-2-(1-methyl-4-piperidinyl)-5-phenyl-4-benzyl-3H-pyrazol-3-one","C22H25N3O","53-89-4",347.453,2,,9.13
"Benzylamine","Benzenemethanamine","C7H9N","100-46-9",107.153,,25,9.34
"4-Benzylaniline",,"C13H13N","1135-12-2",183.249,,25,2.17
"2-Benzylpyridine",,"C12H11N","101-82-6",169.222,,25,5.13
"Betaine","1-Carboxy-N,N,N-trimethylmethanaminium, inner salt","C5H11NO2","107-43-7",117.147,,0,1.83
"Biguanide","Imidodicarbonimidic diamide","C2H7N5","56-03-1",101.111,1,,11.52
"Biguanide","Imidodicarbonimidic diamide","C2H7N5","56-03-1",101.111,2,,2.93
"N,N-Bis(2-hydroxyethyl)glycine","Bicine","C6H13NO4","150-25-4",163.172,2,20,8.35
"Bithionol",,"C12H6Cl4O2S","97-18-7",356.052,1,,4.82
"Bithionol",,"C12H6Cl4O2S","97-18-7",356.052,2,,10.5
"Bornylamine","1,7,7-Trimethylbicyclo[2.2.1]heptan-2-amine, (1R-endo)-","C10H19N","32511-34-5",153.265,,25,10.17
"Bromadiolone",,"C30H23BrO4","28772-56-7",527.406,,21,4.04
"Bromoacetic acid",,"C2H3BrO2","79-08-3",138.948,,25,2.9
"2-Bromoaniline",,"C6H6BrN","615-36-1",172.023,,25,2.53
"3-Bromoaniline",,"C6H6BrN","591-19-5",172.023,,25,3.53
"4-Bromoaniline",,"C6H6BrN","106-40-1",172.023,,25,3.89
"2-Bromobenzoic acid",,"C7H5BrO2","88-65-3",201.018,,25,2.85
"3-Bromobenzoic acid",,"C7H5BrO2","585-76-2",201.018,,25,3.81
"4-Bromobenzoic acid",,"C7H5BrO2","586-76-5",201.018,,25,3.96
"Bromocresol Green","Bromcresol Green","C21H14Br4O5S","76-60-8",698.014,,,4.7
"Bromocresol Purple","Bromcresol Purple","C21H16Br2O5S","115-40-2",540.222,,,6.3
"4-Bromo-N,N-dimethylaniline",,"C8H10BrN","586-77-6",200.076,,25,4.23
"2-Bromophenol",,"C6H5BrO","95-56-7",173.007,,25,8.45
"3-Bromophenol",,"C6H5BrO","591-20-8",173.007,,25,9.03
"4-Bromophenol",,"C6H5BrO","106-41-2",173.007,,25,9.37
"Bromophenol Blue","Bromphenol Blue","C19H10Br4O5S","115-39-9",669.96,,,4
"3-Bromopropanoic acid","beta-Bromopropionic acid","C3H5BrO2","590-92-1",152.975,,25,4
"3-Bromopyridine",,"C5H4BrN","626-55-1",157.997,,25,2.84
"3-Bromoquinoline",,"C9H6BrN","5332-24-1",208.055,,25,2.69
"Bromothymol Blue","Bromthymol Blue","C27H28Br2O5S","76-59-5",624.381,,,7
"Brucine",,"C23H26N2O4","357-57-3",394.463,1,,6.04
"Brucine",,"C23H26N2O4","357-57-3",394.463,2,,11.07
"1,4-Butanediamine","Putrescine","C4H12N2","110-60-1",88.151,1,25,10.8
"1,4-Butanediamine","Putrescine","C4H12N2","110-60-1",88.151,2,25,9.63
"1,2,3,4-Butanetetrol","Erythritol","C4H10O4","149-32-6",122.12,,,13.9
"Butanoic acid","Butyric acid","C4H8O2","107-92-6",88.106,,25,4.83
"trans-2-Butenoic acid","Crotonic acid","C4H6O2","107-93-7",86.09,,25,4.69
"3-Butenoic acid",,"C4H6O2","625-38-7",86.09,,25,4.34
"Butylamine","1-Butanamine","C4H11N","109-73-9",73.137,,25,10.6
"sec-Butylamine","2-Butanamine, (±)-","C4H11N","33966-50-6",73.137,,25,10.56
"tert-Butylamine","2-Methyl-2-propanamine","C4H11N","75-64-9",73.137,,25,10.68
"N-tert-Butylaniline",,"C10H15N","937-33-7",149.233,,25,7
"2-tert-Butylbenzoic acid",,"C11H14O2","1077-58-3",178.228,,25,3.54
"3-tert-Butylbenzoic acid",,"C11H14O2","7498-54-6",178.228,,25,4.2
"4-tert-Butylbenzoic acid",,"C11H14O2","98-73-7",178.228,,25,4.38
"Butylcyclohexylamine","N-Butylcyclohexanamine","C10H21N","10108-56-2",155.281,,25,11.23
"2-tert-Butylphenol",,"C10H14O","88-18-6",150.217,,25,10.62
"3-tert-Butylphenol",,"C10H14O","585-34-2",150.217,,25,10.12
"4-tert-Butylphenol",,"C10H14O","98-54-4",150.217,,25,10.23
"N-Butylpiperidine",,"C9H19N","4945-48-6",141.254,,23,10.47
"Butylpropanedioic acid","Butylmalonic acid","C7H12O4","534-59-8",160.168,1,5,2.96
"2-Butynoic acid",,"C4H4O2","590-93-2",84.074,,25,2.62
"Captopril","1-(3-Mercapto-2-methyl-1-oxypropyl)proline","C9H15NO3S","62571-86-2",217.285,1,,3.7
"Captopril","1-(3-Mercapto-2-methyl-1-oxypropyl)proline","C9H15NO3S","62571-86-2",217.285,2,,9.8
"Carbamodithioic acid",,"CH3NS2","594-07-0",93.172,,25,2.95
"Carbendazim","Carbamic acid, 1H-benzimidazol-2-yl-, methyl ester","C9H9N3O2","10605-21-7",191.186,,,4.48
"L-γ-Carboxyglutamic acid",,"C6H9NO6","53861-57-7",191.138,1,25,1.7
"L-γ-Carboxyglutamic acid",,"C6H9NO6","53861-57-7",191.138,2,25,3.2
"L-γ-Carboxyglutamic acid",,"C6H9NO6","53861-57-7",191.138,3,25,4.75
"L-γ-Carboxyglutamic acid",,"C6H9NO6","53861-57-7",191.138,4,25,9.9
"Carnitine","4-Amino-3-hydroxybutanoic acid trimethylbetaine","C7H15NO3","541-15-1",161.199,,25,3.8
"Carnosine","N-beta-Alanyl-L-histidine","C9H14N4O3","305-84-0",226.232,1,20,2.73
"Carnosine","N-beta-Alanyl-L-histidine","C9H14N4O3","305-84-0",226.232,2,20,6.87
"Carnosine","N-beta-Alanyl-L-histidine","C9H14N4O3","305-84-0",226.232,3,20,9.73
"Cephalexin",,"C16H17N3O4S","15686-71-2",347.389,1,,5.2
"Cephalexin",,"C16H17N3O4S","15686-71-2",347.389,2,,7.3
"Cephaloridine",,"C19H17N3O4S2","50-59-9",415.486,,,3.2
"Cephradine",,"C16H19N3O4S","38821-53-3",349.405,1,,2.63
"Cephradine",,"C16H19N3O4S","38821-53-3",349.405,2,,7.27
"Chloroacetic acid",,"C2H3ClO2","79-11-8",94.497,,25,2.87
"2-Chloroaniline",,"C6H6ClN","95-51-2",127.572,,25,2.66
"3-Chloroaniline",,"C6H6ClN","108-42-9",127.572,,25,3.52
"4-Chloroaniline",,"C6H6ClN","106-47-8",127.572,,25,3.98
"2-Chlorobenzeneacetic acid",,"C8H7ClO2","2444-36-2",170.594,,25,4.07
"3-Chlorobenzeneacetic acid",,"C8H7ClO2","1878-65-5",170.594,,25,4.14
"4-Chlorobenzeneacetic acid",,"C8H7ClO2","1878-66-6",170.594,,25,4.19
"2-Chlorobenzoic acid",,"C7H5ClO2","118-91-2",156.567,,25,2.9
"3-Chlorobenzoic acid",,"C7H5ClO2","535-80-8",156.567,,25,3.84
"4-Chlorobenzoic acid",,"C7H5ClO2","74-11-3",156.567,,25,4
"2-Chlorobutanoic acid",,"C4H7ClO2","4170-24-5",122.551,,,2.86
"3-Chlorobutanoic acid",,"C4H7ClO2","625-68-3",122.551,,,4.05
"4-Chlorobutanoic acid",,"C4H7ClO2","627-00-9",122.551,,,4.52
"trans-o-Chlorocinnamic acid",,"C9H7ClO2","939-58-2",182.604,,25,4.23
"trans-m-Chlorocinnamic acid",,"C9H7ClO2","14473-90-6",182.604,,25,4.29
"trans-p-Chlorocinnamic acid",,"C9H7ClO2","940-62-5",182.604,,25,4.41
"Chlorodiazepoxide","7-Chloro-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-amine, 4-oxide","C16H14ClN3O","58-25-3",299.754,,,4.8
"3-Chloro-N,N-dimethylaniline",,"C8H10ClN","6848-13-1",155.625,,20,3.83
"4-Chloro-N,N-dimethylaniline",,"C8H10ClN","698-69-1",155.625,,20,4.39
"2-Chlorophenol",,"C6H5ClO","95-57-8",128.556,,25,8.56
"3-Chlorophenol",,"C6H5ClO","108-43-0",128.556,,25,9.12
"4-Chlorophenol",,"C6H5ClO","106-48-9",128.556,,25,9.41
"2-Chlorophenoxyacetic acid",,"C8H7ClO3","614-61-9",186.593,,25,3.05
"3-Chlorophenoxyacetic acid",,"C8H7ClO3","588-32-9",186.593,,25,3.1
"3-(2-Chlorophenyl)propanoic acid",,"C9H9ClO2","1643-28-3",184.619,,25,4.58
"3-(3-Chlorophenyl)propanoic acid",,"C9H9ClO2","21640-48-2",184.619,,25,4.59
"3-(4-Chlorophenyl)propanoic acid",,"C9H9ClO2","2019-34-3",184.619,,25,4.61
"2-Chloropropanoic acid","2-Chloropropionic acid","C3H5ClO2","598-78-7",108.524,,25,2.83
"3-Chloropropanoic acid","beta-Chloropropionic acid","C3H5ClO2","107-94-8",108.524,,25,3.98
"2-Chloropyridine",,"C5H4ClN","109-09-1",113.546,,25,0.49
"3-Chloropyridine",,"C5H4ClN","626-60-8",113.546,,25,2.81
"4-Chloropyridine",,"C5H4ClN","626-61-9",113.546,,25,3.83
"Chlorothiazide",,"C7H6ClN3O4S2","58-94-6",295.724,1,,6.85
"Chlorothiazide",,"C7H6ClN3O4S2","58-94-6",295.724,2,,9.45
"Cholic acid","3,7,12-Trihydroxycholan-24-oic acid, (3alpha,5beta,7alpha,12alpha)","C24H40O5","81-25-4",408.572,,20,4.98
"Choline",,"C5H14NO","62-49-7",104.171,,25,13.9
"Cinchonidine",,"C19H22N2O","485-71-2",294.39,1,,5.8
"Cinchonidine",,"C19H22N2O","485-71-2",294.39,2,,10.03
"Cinchonine",,"C19H22N2O","118-10-5",294.39,1,,5.85
"Cinchonine",,"C19H22N2O","118-10-5",294.39,2,,9.92
"cis-Cinnamic acid","3-Phenyl-2-propenoic acid, (Z)-","C9H8O2","102-94-3",148.159,,25,3.88
"trans-Cinnamic acid","3-Phenyl-2-propenoic acid, (E)-","C9H8O2","140-10-3",148.159,,25,4.44
"Cinnoline","1,2-Benzodiazine","C8H6N2","253-66-7",130.147,,20,2.37
"Citric acid","2-Hydroxy-1,2,3-propanetricarboxylic acid","C6H8O7","77-92-9",192.124,1,25,3.13
"Citric acid","2-Hydroxy-1,2,3-propanetricarboxylic acid","C6H8O7","77-92-9",192.124,2,25,4.76
"Citric acid","2-Hydroxy-1,2,3-propanetricarboxylic acid","C6H8O7","77-92-9",192.124,3,25,6.4
"Citrulline","N5-(Aminocarbonyl)-L-ornithine","C6H13N3O3","372-75-8",175.185,1,25,2.43
"Citrulline","N5-(Aminocarbonyl)-L-ornithine","C6H13N3O3","372-75-8",175.185,2,25,9.69
"Clindamycin",,"C18H33ClN2O5S","18323-44-9",424.983,,,7.6
"Clonazepam",,"C15H10ClN3O3","1622-61-3",315.711,1,,1.5
"Clonazepam",,"C15H10ClN3O3","1622-61-3",315.711,2,,10.5
"Clozapine","Clozaril","C18H19ClN4","5786-21-0",326.824,1,,3.7
"Clozapine","Clozaril","C18H19ClN4","5786-21-0",326.824,2,,7.6
"Codeine",,"C18H21NO3","76-57-3",299.365,,,8.21
"Colchicine",,"C22H25NO6","64-86-8",399.437,,20,12.36
"Creatine",,"C4H9N3O2","57-00-1",131.133,1,25,2.63
"Creatine",,"C4H9N3O2","57-00-1",131.133,2,25,14.3
"Creatinine",,"C4H7N3O","60-27-5",113.118,1,25,4.8
"Creatinine",,"C4H7N3O","60-27-5",113.118,2,,9.2
"o-Cresol","2-Methylphenol","C7H8O","95-48-7",108.138,,25,10.29
"m-Cresol","3-Methylphenol","C7H8O","108-39-4",108.138,,25,10.09
"p-Cresol","4-Methylphenol","C7H8O","106-44-5",108.138,,25,10.26
"o-Cresolphthalein",,"C22H18O4","596-27-0",346.376,,,9.4
"Cresol Red","o-Cresolsulfonphthalein","C21H18O5S","1733-12-6",382.43,,,8.3
"Cupreine",,"C19H22N2O2","524-63-0",310.39,,,6.57
"Cyanamide","Cyanogenamide","CH2N2","420-04-2",42.04,,29,1.1
"Cyanic acid","Hydrogen cyanate","CHNO","420-05-3",43.025,,25,3.7
"Cyanoacetic acid",,"C3H3NO2","372-09-8",85.062,,25,2.47
"3-Cyanobenzoic acid",,"C8H5NO2","1877-72-1",147.132,,25,3.6
"4-Cyanobenzoic acid",,"C8H5NO2","619-65-8",147.132,,25,3.55
"4-Cyanobutanoic acid",,"C5H7NO2","39201-33-7",113.116,,25,2.42
"(2-Cyanophenoxy)acetic acid",,"C9H7NO3","6574-95-4",177.157,,25,2.98
"(3-Cyanophenoxy)acetic acid",,"C9H7NO3","1879-58-9",177.157,,25,3.03
"(4-Cyanophenoxy)acetic acid",,"C9H7NO3","1878-82-6",177.157,,25,2.93
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,1,,6.88
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,2,,11.4
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,3,,13.5
"Cyclohexanecarboxylic acid","Hexahydrobenzoic acid","C7H12O2","98-89-5",128.169,,25,4.91
"cis-1,2-Cyclohexanediamine","cis-1,2-Diaminocyclohexane","C6H14N2","1436-59-5",114.188,1,20,9.93
"cis-1,2-Cyclohexanediamine","cis-1,2-Diaminocyclohexane","C6H14N2","1436-59-5",114.188,2,20,6.13
"trans-1,2-Cyclohexanediamine","trans-1,2-Diaminocyclohexane","C6H14N2","1121-22-8",114.188,1,20,9.94
"trans-1,2-Cyclohexanediamine","trans-1,2-Diaminocyclohexane","C6H14N2","1121-22-8",114.188,2,20,6.47
"1,3-Cyclohexanedione","Dihydroresorcinol","C6H8O2","504-02-9",112.127,,25,5.26
"Cyclohexylamine","Cyclohexanamine","C6H13N","108-91-8",99.174,,25,10.64
"Cyclopentanecarboxylic acid","Cyclopentanoic acid","C6H10O2","3400-45-1",114.142,,25,4.99
"Cyclopropanecarboxylic acid",,"C4H6O2","1759-53-1",86.09,,25,4.83
"1,1-Cyclopropanedicarboxylic acid",,"C5H6O4","598-10-7",130.1,1,25,1.82
"1,1-Cyclopropanedicarboxylic acid",,"C5H6O4","598-10-7",130.1,2,25,7.43
"Cysteamine",,"C2H7NS","60-23-1",77.149,1,25,8.27
"Cysteamine",,"C2H7NS","60-23-1",77.149,2,25,10.53
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,1,25,1.3
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,2,25,1.9
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,3,25,8.7
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,1,25,1.5
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,2,25,8.7
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,3,25,10.2
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,1,,1
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,2,,2.1
