"URL","Reference_id","Method","Evaluation","EC value","Enzyme","Reaction","K","Temp","Ionic strength","pH","enthalpy","enthalpy","enthalpy","m(KCl,mol.kg-3)","c(KCl,mol dm-3)","m(KCl,mol.kg-1)","c(Na+,mol dm-3)","c(NaCl,mol dm-3)","c(MnCl2,mol dm-3)","c(MgCl2)","c(MnSO4,mol dm-3)","c c(Mg2+,mol dm-3)","c(MgSO4,mol dm-3)","m(MgCl2,mol.kg-1)","c(CaCl2,mol dm-3)","c(ZnCl2,mol dm-3)","c(Mg)tot(mol dm-3)","c(MgCl2,mol dm-3)","c(Mg2+,mol dm-3)","c(MnSO4)","pMn","pMg","c(total substrate,mol dm-3)","c(nucleotide)tot(mol dm-3)","x(cosolvent)","cosolvent","salt","c(salt,mol dm-3)","c(Tris,mol dm-3)",,"c(spermidine,mol dm-3)","c(phosphate,mol dm-3)","c(orthophosphate)","c(orthophosphate,mol dm-3)","c(tetra-n-propylammonium+,mol dm-3)","buffer","buffer(mol dm-3)","Buffer",,1
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.69,303.6,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,12
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.04,293.3,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,13
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.54,291.2,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,14
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.68,290.8,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,15
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.61,290.8,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,16
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.22,277.8,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,17
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.22,277.8,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,18
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.37,277.8,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,19
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.13,313,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,20
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.72,308.3,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,21
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.82,294.1,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,22
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.97,307.6,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,23
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.7,291.2,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,24
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.85,303.6,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,25
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.88,294.1,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,26
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.99,293.4,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,27
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",3.81,308.3,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate (0.05 mol dm-3)","phosphate and acetate",,28
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.59,298.15,0.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate","phosphate and acetate",,29
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",6.88,292.6,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,30
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.01,290.8,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,31
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.2,290.8,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,32
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.51,290.6,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,33
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.08,290.8,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,34
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",6.34,295.2,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,35
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",7.36,290.6,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,36
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",8.14,277.9,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,37
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.94,307.5,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,38
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.94,307.5,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,39
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",6.69,292.6,0.1,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"acetate (0.20 mol dm-3)","phosphate and acetate",,40
"enzyme_data1.pl?col=1.&T1=93WER/TWE_1192","93WER/TWE","HPLC","B","4.2.1.35","(R)-2-methylmalate dehydratase","(R)-2-methylmalate(aq) = 2-methylmaleate(aq) + H2O(l)",0.00962,298.15,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"potassium phosphate (0.025 mol dm-3)",,41
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",9.49,298.15,0.05,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,42
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",5.66,298.15,0.05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,43
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.66,298.15,0.05,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,44
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.47,298.15,0.05,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,45
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.35,298.15,0.05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,46
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.43,298.15,0.05,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,47
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.55,298.15,0.05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,48
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.31,298.15,0.05,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,49
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.42,298.15,0.05,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?","phosphate and acetate",,50
"enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.44,298.15,0.049,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate","phosphate and acetate",,51
"enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.37,298.15,0.01,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate","phosphate and acetate",,52
"enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146","53BOC/ALB","spectrophotometry","A","4.2.1.2","fumarate hydratase","fumarate(aq) + H2O(l) = (S)-malate(aq)",4.28,298.15,0.0011,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"phosphate","phosphate and acetate",,53
"enzyme_data1.pl?col=1.&T1=92WAN/CHE_747","92WAN/CHE","calorimetry","B","3.1.1.7","acetylcholinesterase","acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq)",,298.15,,7,-2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sodium phosphate (0.05 mol dm-3)",,54
"enzyme_data1.pl?col=1.&T1=92WAN/CHE_747","92WAN/CHE","calorimetry","B","3.1.1.7","acetylcholinesterase","acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq)",,298.15,,7,-1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sodium phosphate (0.05 mol dm-3)",,55
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","3.30E+03",303.15,,7.3,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + Mes (0.05 mol dm-3)","Tris (0.05 mol dm-3) + HCl",,56
"enzyme_data1.pl?col=2.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","1.50E+03",303.15,,7.3,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + Mes (0.05 mol dm-3)","Tris (0.05 mol dm-3) + HCl",,57
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","9.80E+02",303.15,,7.3,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + Mes (0.05 mol dm-3)","Tris (0.05 mol dm-3) + HCl",,58
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","2.82E+03",303.15,,8,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.01,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,59
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","2.23E+03",303.15,,8,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.0075,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,60
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","1.87E+03",303.15,,8,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,61
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","1.28E+03",303.15,,8,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.0025,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,62
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","1.05E+03",303.15,,8,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,0.01,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,63
"enzyme_data1.pl?col=2.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","7.72E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,0.0075,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,64
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","6.50E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,65
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","5.36E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.01,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,66
"enzyme_data1.pl?col=2.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","5.36E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.01,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,67
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","4.95E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,0.0025,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,68
"enzyme_data1.pl?col=2.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","4.20E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.0075,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,69
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","3.30E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.005,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,70
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","3.30E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,,,0.01,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,71
"enzyme_data1.pl?col=1.&T1=86DAL/REN_1067","86DAL/REN","spectrophotometry","B","3.6.1.1","inorganic pyrophosphatase","pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq)","3.00E+02",303.15,,8,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.0025,,,,"Tris (0.05 mol dm-3) + HCl","Tris (0.05 mol dm-3) + HCl",,72
