"ENTRY","DELTAG","UNCERTAINTY","CHARGE","REASON ENERGY COULD NOT BE ESTIMATED"
"C00085",-431.67,1.31,-1,
"C00086",-48.7,0.5,0,
"C00087",0,0.5,0,
"C00088",-8.9,0.5,-1,
"C00089",-377.65,2.77,0,
"C00090",-49.38,0.88,0,
"C00091",-862.04,3.56,-4,
"C00092",-430.78,1.51,-1,
"C00093",-328.68,0.38,-1,
"C00094",-126.15,0.5,-1,
"C00095",-219.17,1.36,0,
"C00096",-673.08,3.7,-2,
"C00097",-83.39,0.7,0,
"C00098","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00099",-86.11,0.29,0,
"C00100",-784.21,3.55,-3,
"C00101",-113.97,3.02,-2,
"C00102",22.1,4.39,0,
"C00103",-430.78,1.51,-1,
"C00104",-521.58,2.75,-2,
"C00105",-397.77,1.88,-1,
"C00106",-61.07,1.54,0,
"C00107","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00108",-48.99,0.95,-1,
"C00109",-111.07,0.31,-1,
"C00110","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00111",-320.66,0.32,-1,
"C00112",-553.38,1.92,-2,
"C00113",-190.99,4.13,-3,
"C00114",12.19,1.97,1,
"C00115","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00116",-116.18,0.44,0,
"C00117",-394.12,1.32,-1,
"C00118",-319.2,0.31,-1,
"C00119",-814.62,1.32,-3,
"C00120",-109.02,2.21,-1,
"C00121",-181.62,1.35,0,
"C00122",-143.7,0.72,-2,
"C00123",-84.87,0.45,0,
"C00124",-218.28,1.54,0,
"C00125","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00126","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00127",-434.73,3.06,-2,
"C00128",-610.28,3.06,-2,
"C00129",-439.84,0.58,-2,
"C00130",-313.58,2.74,-1,
"C00131",-634.01,2.99,-3,
"C00132",-41.9,0.5,0,
"C00133",-87.92,0.29,0,
"C00134",-6.02,0.53,2,
"C00135",-45.63,1.13,0,
"C00136",-782.59,3.56,-3,
"C00137",-219.96,1.5,0,
"C00138","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00139","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00140",-212.63,1.63,0,
"C00141",-111.26,0.39,-1,
"C00142","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00143",-93.65,3.09,-2,
"C00144",-308.3,2.74,-1,
"C00145","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00146",-9.9,0.79,0,
"C00147",78.85,2.73,0,
"C00148",-62.54,0.94,-1,
"C00149",-201,0.31,-2,
"C00150",0,0.5,0,
"C00151","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00152",-123.31,0.59,0,
"C00153",5.55,1.51,0,
"C00154",-763.15,3.91,-3,
"C00155",-81.77,0.71,0,
"C00156",-92.53,0.89,-1,
"C00157","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00158",-280.44,0.5,-3,
"C00159",-218.28,1.54,0,
"C00160",-122.98,0.19,-1,
"C00161","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00162","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00163",-85.13,0.18,-1,
"C00164",-113.53,0.25,-1,
"C00165","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00166",-75.82,0.83,-1,
"C00167",-805.77,3.09,-3,
"C00168",-148.92,0.32,-1,
"C00169",-310.26,0.54,-1,
"C00170",1.27,3.12,0,
"C00171","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00172","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00173","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00174","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00175","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00176","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00177",28.6,6.43,0,
"C00178",-61.48,1.5,0,
"C00179",5.87,1.57,2,
"C00180",-53.05,0.82,-1,
"C00181",-180.06,1.37,0,
"C00182",-693.72,6.03,0,
"C00183",-86.49,0.44,0,
"C00184",-108.16,0.36,0,
"C00185",-376.76,3.02,0,
"C00186",-123.17,0.25,-1,
"C00187",15.57,6.9,0,
"C00188",-124.34,0.41,0,
"C00189",-44.51,0.29,1,
"C00190",-724.33,2.97,-2,
"C00191",-261.5,1.5,-1,
"C00192",-38.9,0.8,0,
"C00193","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00194","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00195","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00196",-132.01,1.09,-1,
"C00197",-371.9,0.29,-2,
"C00198",-216.02,1.28,0,
"C00199",-393.5,0.57,-1,
"C00200","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00201","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00202","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00203",-756.9,3.24,-2,
"C00204",-220.14,0.59,-1,
"C00205","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00206",-426.01,2.98,-2,
"C00207",-38.52,0.5,0,
"C00208",-376.76,3.02,0,
"C00209",-161,0.5,-2,
"C00210","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00211","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00212",-45.35,3.04,0,
"C00213",-79.18,0.92,0,
"C00214",-145.84,1.77,0,
"C00215","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00216",-180.06,1.37,0,
"C00217",-164.13,0.38,-1,
"C00218",-9.55,0.5,1,
"C00219",31.85,2.13,-1,
"C00220","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00221",-218.28,1.54,0,
"C00222",-111.88,0.22,-1,
"C00223",-770.83,3.7,-3,
"C00224",-367.85,3.11,-2,
"C00225","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00226","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00227",-301.65,0.26,-1,
"C00229","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00230",-132.01,1.09,-1,
"C00231",-393.5,0.57,-1,
"C00232",-110.26,0.26,-1,
"C00233",-109.64,0.4,-1,
"C00234",-144.77,3.21,-2,
"C00235",-439.18,0.56,-2,
"C00236",-586.8,0.36,-2,
"C00237",-28.66,0.5,0,
"C00238","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00239",-305.54,1.83,-1,
"C00240","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00241","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00242",28.4,2.51,0,
"C00243",-376.76,3.02,0,
"C00244",-26.61,0.5,-1,
"C00245",-126.76,0.78,0,
"C00246",-83.51,0.23,-1,
"C00247",-217.61,1.37,0,
"C00248",-21.54,1.63,0,
"C00249",-64.07,1.24,-1,
"C00250",-59.5,1.67,0,
"C00251",-169.49,1.41,-2,
"C00252",-376.76,3.02,0,
"C00253",-36.89,1.42,-1,
"C00254",-186.17,1.32,-2,
"C00255","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00256",-123.17,0.25,-1,
"C00257",-268.66,0.89,-1,
"C00258",-159.4,0.33,-1,
"C00259",-180.06,1.37,0,
"C00261",-0.35,0.83,0,
"C00262",23.12,2.52,0,
"C00263",-122.53,0.35,0,
"C00264","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00265",-71.09,1.34,0,
"C00266",-70.28,0.22,0,
"C00267",-218.28,1.54,0,
"C00268",-35.76,2.71,0,
"C00269","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00270",-326.4,1.55,-1,
"C00271","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00272",-44.57,2.61,0,
"C00273",-209.4,0.71,0,
"C00275",-430.78,1.51,-1,
"C00279",-355.62,0.47,-1,
"C00280",-18.43,6.89,0,
"C00281",-466.34,0.93,-1,
"C00282",4.21,0.5,0,
"C00283",-6.66,0.5,0,
"C00284",-282.78,1.77,-3,
"C00286",-684.46,2.69,-3,
"C00287","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00288",-140.26,0.5,-1,
"C00290",-71.06,1.33,1,
"C00291","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00292",33.64,0.84,0,
"C00293","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00294",-101.08,2.75,0,
"C00295",-142.48,1.55,-1,
"C00296",-221.05,1.05,-1,
"C00297","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00298","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00299",-185.27,1.9,0,
"C00300",-65.59,1.83,0,
"C00301",-585.97,3.8,-2,
"C00302",-164.13,0.38,-1,
"C00303",-121.69,0.61,0,
"C00304","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00305","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00306",-194.43,6.6,2,
"C00307",-479.69,2.78,-1,
"C00308",-98.59,1.6,1,
"C00309",-180.95,1.22,0,
"C00310",-180.95,1.22,0,
"C00311",-279.02,0.48,-3,
"C00312",-180.95,1.22,0,
"C00313",-862.82,3.53,-4,
"C00314",-67.43,1.68,0,
"C00315",4.79,1.16,3,
"C00316","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00317",-852.2,7.55,0,
"C00318",-65.83,1.98,0,
"C00319",-36.08,1.32,1,
"C00320",-122.7,0.5,-2,
"C00321","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00322",-187.28,0.43,-2,
"C00323",-810.31,3.76,-3,
"C00324","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00325",-636.85,3.68,-2,
"C00326",-584.45,5.29,0,
"C00327",-123.87,1.02,0,
"C00328",-76.94,1,0,
"C00329",-183.03,1.51,1,
"C00330",-55.96,2.69,0,
"C00331",-49.77,1.58,-1,
"C00332",-812.61,3.58,-3,
"C00333",-261.5,1.5,-1,
"C00334",-84.49,0.35,0,
"C00335","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00337",-151.52,1.44,-1,
"C00338","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00339","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00340","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00341",-411.09,1.04,-2,
"C00342","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00343","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00344","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00345",-481.16,0.82,-2,
"C00346",-257.01,0.31,0,
"C00347","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00348",49.72,5.57,-1,
"C00349",-112.07,0.27,-1,
"C00350","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00351","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00352",-395.53,1.48,0,
"C00353",-354.91,2.03,-2,
"C00354",-644.17,1.3,-2,
"C00355",-130.01,1.1,0,
"C00356",-900.07,3.61,-4,
"C00357",-425.13,1.61,-1,
"C00360",-218.01,2.98,-1,
"C00361",-476.46,2.69,-2,
"C00362",-268.46,2.68,-1,
"C00363",-566.34,1.77,-2,
"C00364",-358.34,1.77,-1,
"C00365",-357.93,1.8,-1,
"C00366",-90.93,3.24,0,
"C00367","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00369","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00370",10.74,5.29,0,
"C00371",73.9,2.81,0,
"C00372","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00373",-161.08,3.85,0,
"C00374","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00375","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00376",78.83,2.68,0,
"C00377","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00378",52.18,2.57,1,
"C00379",-189.02,0.8,0,
"C00380",-8.68,1.38,0,
"C00381","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00382","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00383",-164.58,0.24,-2,
"C00384","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00385",-27.73,2.67,0,
"C00386",-74.59,1.33,0,
"C00387",-95.8,2.75,0,
"C00388",34.01,1.13,1,
"C00389",-177.08,2.72,-1,
"C00390","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00391","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00392",-225.44,0.99,0,
"C00393","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00394",-673.08,3.7,-2,
"C00395","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00396",40.23,1.67,0,
"C00397",-280.99,3.83,5,
"C00398",54.64,1.57,1,
"C00399","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00400",-23.31,1.06,0,
"C00401","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00402",-165.75,0.34,-1,
"C00403","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00404","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00405","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00406",-795.66,3.78,-3,
"C00407",-84.87,0.45,0,
"C00408",-59.36,1.15,-1,
"C00409",-4.39,0.65,0,
"C00410",-15.54,6.88,0,
"C00411",-820.49,3.93,-3,
"C00412",-759.91,3.99,-3,
"C00413",-354.02,4.91,3,
"C00414",-14.2,1.27,0,
"C00415",-109.12,3.01,-2,
"C00416","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00417",-222.28,0.75,-3,
"C00418",-157.77,0.5,-1,
"C00419","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00420","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00421","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00422","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00423",-32.27,1.04,-1,
"C00424",-70.47,0.28,0,
"C00425",-197.74,1.11,0,
"C00426","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00427","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00429",-70.08,1.48,0,
"C00430",-112.89,0.39,0,
"C00431",-82.87,0.42,0,
"C00432","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00433",-136.2,0.37,-1,
"C00434","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00435","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00436",-44.23,1.03,1,
"C00437",-115.26,0.76,0,
"C00438",-203.96,0.99,-2,
"C00439",-157.18,1.48,-1,
"C00440",-101.7,2.85,-2,
"C00441",-113.05,0.33,0,
"C00444","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00445",-97,3.12,-1,
"C00446",-430.78,1.51,-1,
"C00447",-678.84,0.89,-2,
"C00448",-383,1.53,-2,
"C00449",-229.72,1.15,-1,
"C00450",-56.09,1.01,-1,
"C00451",-279.02,0.48,-3,
"C00454","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00455",-337.74,2.01,0,
"C00458",-721.54,1.85,-3,
"C00459",-774.34,1.78,-3,
"C00460",-773.93,1.81,-3,
"C00461","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00462","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00463",54.41,1.59,0,
"C00464","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00465",73.57,2.76,0,
"C00466",-72.12,0.35,0,
"C00468",-16.98,4.32,0,
"C00469",-43.44,0.5,0,
"C00470","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00471","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00472",-32.56,1.62,0,
"C00473",70.9,2.67,0,
"C00474",-189.02,0.8,0,
"C00475",-132.88,1.93,0,
"C00476",-180.06,1.37,0,
"C00477",-184.59,9.47,0,
"C00478",-157.6,1.57,-1,
"C00479",-32.43,0.22,0,
"C00480","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00481",33.78,1.22,0,
"C00482",-121.41,1.69,-1,
"C00483",-10.89,0.89,1,
"C00484","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00486",-3.16,7.16,-2,
"C00487",-65.83,1.98,0,
"C00488",-28.36,0.37,0,
"C00489",-161.34,0.34,-2,
"C00490",-143.56,0.61,-2,
"C00491",-159.61,1.33,0,
"C00492",-536.13,4.25,0,
"C00493",-171.29,0.95,-1,
"C00494",-183.56,3.34,5,
"C00495",-191.68,2.78,0,
"C00496","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00497",-201,0.31,-2,
"C00498",-622.63,3.92,-2,
"C00499",-166.94,1.9,-1,
"C00500",12.96,8.6,-2,
"C00501",-710.16,3.14,-2,
"C00502",-232.24,0.7,-1,
"C00503",-152.6,0.62,0,
"C00504",-109.27,3.19,-2,
"C00505",-187.34,3.83,5,
"C00506",-206.4,0.79,-1,
"C00507",-182.05,1.5,0,
"C00508",-180.95,1.22,0,
"C00509",-113.81,2.23,0,
"C00510",-737.55,3.94,-3,
"C00511",-64.98,0.48,-1,
"C00512",-752.13,3.62,-3,
"C00513",-608.06,2.03,-2,
"C00514",-268.66,0.89,-1,
"C00515",-85.66,0.51,1,
"C00516","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00517",-11.37,1.24,0,
"C00518","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00519","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00520","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00521",53.49,1.36,0,
"C00522",-159.58,0.49,-1,
"C00523",-42.82,7.18,0,
"C00524","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00525",-25,1.58,0,
"C00526",-145.43,1.8,0,
"C00527",-860.42,3.58,-4,
"C00528",-542.03,4.86,1,
"C00530",-49.38,0.88,0,
"C00531",-842.64,3.59,-4,
"C00532",-189.02,0.8,0,
"C00533",11.82,0.72,0,
"C00534",-32.18,1.66,1,
"C00535",-24.99,6.87,0,
"C00536","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00538","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00539","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00540",-731.35,3.67,-3,
"C00541","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00542",-154.91,0.96,0,
"C00543",-1.35,0.93,1,
"C00544",-128.84,1.07,-1,
"C00545",-232.24,0.7,-1,
"C00546",-59.99,0.32,0,
"C00547",-88.41,1.13,1,
"C00548",-47.35,0.89,0,
"C00549","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00550","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00551","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00552",-239.04,0.45,-2,
"C00553",-23.31,1.06,0,
"C00555",-31.79,0.37,1,
"C00556",-8.28,0.79,0,
"C00557",-17.38,1.03,0,
"C00558",-262.39,1.3,-1,
"C00559",-5.51,2.99,0,
"C00560","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00561",4.68,4.99,0,
"C00562","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00563",-384.52,2.47,-2,
"C00565",4.55,1.21,1,
"C00566",-979.52,3.61,-5,
"C00568",-48.99,0.95,-1,
"C00569","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00570",-536.39,1.99,-1,
"C00571",14.49,1.27,1,
"C00572","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00573","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00574","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00575",-191.87,3.8,-1,
"C00576",21.67,1.97,1,
"C00577",-106.7,0.35,0,
"C00578","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00579",-27.35,1.48,0,
"C00580",1.47,0.77,0,
"C00581",-75.84,1.52,0,
"C00582",-748.96,3.62,-3,
"C00583",-79.95,0.33,0,
"C00584",-112.91,1.45,-1,
"C00585","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00586",-178.44,1.37,0,
"C00587",-92.53,0.89,-1,
"C00588",-200.31,1.97,0,
"C00589","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00590",-51.81,1.31,0,
"C00591","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00593",-152.53,0.76,-1,
"C00596",-82.8,0.86,-1,
"C00597",-371.9,0.29,-2,
"C00599",20.58,6.9,0,
"C00601",2.82,0.8,0,
"C00602","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00603",-163.98,0.97,-1,
"C00604",92.14,3.29,0,
"C00605","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00606","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00607","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00608","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00609","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00611",-371.11,3.05,0,
"C00612",-24.81,1.29,2,
"C00613","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00614","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00615","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00616",-300.28,2.65,-1,
"C00617",-805.77,3.09,-3,
"C00618",-260.64,0.72,-1,
"C00619",14.85,6.94,0,
"C00620",-394.12,1.32,-1,
"C00621","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00623",-328.68,0.38,-1,
"C00624",-193.73,0.73,-2,
"C00625","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00626","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00627",-279.93,1.66,-1,
"C00628",-132.01,1.09,-1,
"C00629",-258.18,0.74,-1,
"C00630",-784.4,3.56,-3,
"C00631",-371.9,0.29,-2,
"C00632",-88.47,1.12,-1,
"C00633",-39.83,0.9,0,
"C00634","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00635","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C00636",-430.78,1.51,-1,
"C00637",28.87,1.56,0,
"C00638","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00639",-119.47,1.56,-1,
"C00640","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00641","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00642",-89.36,0.87,-1,
"C00643",-64.48,1.57,0,
