url,reference_id,method,evaluation,ec,enzyme,kegg_reaction,reaction,K,T,I,pH,pMg,comment,Ktype
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.54,291.2,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.68,290.8,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.61,290.8,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.22,277.8,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.22,277.8,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.37,277.8,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.13,313.0,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.72,308.3,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.82,294.1,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.97,307.6,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.7,291.2,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.85,303.6,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.88,294.1,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.99,293.4,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.81,308.3,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.59,298.15,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),6.88,292.6,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.01,290.8,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.2,290.8,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.51,290.6,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.08,290.8,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),6.34,295.2,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),7.36,290.6,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),8.14,277.9,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.94,307.5,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.94,307.5,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),6.69,292.6,0.1,4.91,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=93WER/TWE_1192,93WER/TWE,HPLC,B,4.2.1.35,(R)-2-methylmalate dehydratase,C02612 = C02226 + C00001,(R)-2-methylmalate(aq) = 2-methylmaleate(aq) + H2O(l),0.00962,298.15,0.1,7,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),9.49,298.15,0.05,4.06,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.66,298.15,0.05,5,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.66,298.15,0.05,5.05,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.47,298.15,0.05,6.06,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.35,298.15,0.05,8,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.43,298.15,0.05,9.01,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.55,298.15,0.05,6,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.31,298.15,0.05,7.99,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.42,298.15,0.05,6.01,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=3.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.44,298.15,0.049,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.37,298.15,0.01,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.28,298.15,0.0011,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=92WAN/CHE_747,92WAN/CHE,calorimetry,B,3.1.1.7,acetylcholinesterase,C01996 + C00001 = C00033 + C00114,acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq),,298.15,0,7,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=92WAN/CHE_747,92WAN/CHE,calorimetry,B,3.1.1.7,acetylcholinesterase,C01996 + C00001 = C00033 + C00114,acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq),,298.15,0,7,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),3300.0,303.15,0.0793,7.3,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),1500.0,303.15,0.0838,7.3,2.6,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),980.0,303.15,0.0913,7.3,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),2820.0,303.15,0.068,8,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),2230.0,303.15,0.0674,8,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),1870.0,303.15,0.0668,8,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),1280.0,303.15,0.0661,8,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),1050.0,303.15,0.0725,8,2.6,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),772.0,303.15,0.0719,8,2.6,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),650.0,303.15,0.0713,8,2.6,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),536.0,303.15,0.08,8,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),536.0,303.15,0.08,8,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),495.0,303.15,0.0706,8,2.6,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),420.0,303.15,0.0794,8,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),330.0,303.15,0.0788,8,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),330.0,303.15,0.0875,8,2.12,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),300.0,303.15,0.0781,8,2.3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),255.0,303.15,0.0869,8,2.12,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),228.0,303.15,0.098,8,1.96,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),215.0,303.15,0.0863,8,2.12,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),195.0,303.15,0.0856,8,2.12,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),184.0,303.15,0.0974,8,1.96,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),167.0,303.15,0.11,8,1.82,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),158.0,303.15,0.0968,8,1.96,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),152.0,303.15,0.0961,8,1.96,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),144.0,303.15,0.109,8,1.82,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),126.0,303.15,0.109,8,1.82,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86DAL/REN_1067,86DAL/REN,spectrophotometry,B,3.6.1.1,inorganic pyrophosphatase,C00013 + C00001 = 2 C00009,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),116.0,303.15,0.108,8,1.82,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54NOD/KUB_593,54NOD/KUB,spectrophotometry,A,2.7.3.2,creatine kinase,C00002 + C00300 = C00008 + C02305,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),0.01,303.15,0.29,7.4,2,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54NOD/KUB_593,54NOD/KUB,spectrophotometry,A,2.7.3.2,creatine kinase,C00002 + C00300 = C00008 + C02305,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),0.01,303.15,0.274,7.4,2.22,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54NOD/KUB_593,54NOD/KUB,spectrophotometry,A,2.7.3.2,creatine kinase,C00002 + C00300 = C00008 + C02305,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),0.037,303.15,0.33,8,1.7,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54NOD/KUB_593,54NOD/KUB,spectrophotometry,A,2.7.3.2,creatine kinase,C00002 + C00300 = C00008 + C02305,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),0.038,303.15,0.29,8,2,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54NOD/KUB_593,54NOD/KUB,spectrophotometry,A,2.7.3.2,creatine kinase,C00002 + C00300 = C00008 + C02305,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),0.078,303.15,0.258,8,2.7,,K'
