abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
LNSTLS	lanosterol synthase	2,3-epoxysqualene lanosterol cyclase, lanosterol 2,3-oxidosqualene cyclase, squalene-2,3-oxide-lanosterol cyclase	[c] : Ssq23epx --> lanost	Sterol Biosynthesis	Cytosol	5.4.99.7	Irreversible	N	1454713	0	Expressed in plasma membrane, lipid particles, negligible amount in ER (CYGD); assume catalytic domains are in the cytosol	
ALAt2r	L-alanine reversible transport via proton symport		ala-L[e] + h[e] <==> ala-L[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1446830	0		
ECOAH6p	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), peroxisomal		[x] : 3htdcoa <==> h2o + td2coa	Fatty Acid Degradation	Peroxisome	4.2.1.17	Reversible	N	1452124	0	peroxisomal according to CYGD	
CSNATifm	carnitine O-aceyltransferase, forward reaction, mitochondrial		[m] : acrn + coa --> accoa + crn	Alanine and Aspartate Metabolism	Mitochondria	2.3.1.7	Irreversible	N	1512755	0		
AKGt2r	2-oxoglutarate reversible transport via symport		akg[e] + h[e] <==> akg[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1441942	0		
G3PDm	glycerol-3-phosphate dehydrogenase (FAD), mitochondrial		[m] : fad + glyc3p --> dhap + fadh2	Glycerolipid Metabolism	Mitochondria	1.1.99.5	Irreversible	N	1456619	0		
MALSp	malate synthase		[x] : accoa + glx + h2o --> coa + h + mal-L	Anaplerotic reactions	Peroxisome	4.1.3.2	Irreversible	N	1437280	0	peroxisomal according to CYGD, SGD	
4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial		[m] : 4hglusa + h2o + nad <==> e4hglu + (2) h + nadh	Arginine and Proline Metabolism	Mitochondria	1.5.1.12	Reversible	N	1447475	0		
ARABR	arabinose reductase		[c] : arab-L + h + nadph --> abt + nadp	Arabinose Metabolism	Cytosol	1.1.1.21	Irreversible	N	1457565	0	added according to Lee 1998//	
ORNTA	ornithine transaminase		[c] : akg + orn --> glu-L + glu5sa	Arginine and Proline Metabolism	Cytosol	2.6.1.13	Irreversible	N	139014	0		
FAO181p_odd	Fatty acid oxidation		[x] : (8) coa + (8) h2o + (8) nad + (7) o2 + odecoa --> (9) accoa + (8) h + (7) h2o2 + (8) nadh	Fatty Acid Degradation	Peroxisome		Irreversible	N	1532361	0		
PI4P5K_SC	phosphatidylinositol-4-phosphate 5-kinase, yeast-specfic		[c] : atp + (0.01) ptd4ino_SC --> adp + h + (0.01) ptd145bp_SC	Phospholipid Biosynthesis	Cytosol	2.7.1.68	Irreversible	N	1531507	0	Fab1 is expressed in vacuolar membrane (CYGD); assume enzymatic domain faces cytosol	
AABTN	4-acetamidobutyrate deacetylase		[c] : 4aabutn + h2o --> 4abut + ac	Other Amino Acid Metabolism	Cytosol	3.5.1.63	Irreversible	N	1529008	0		
RBFSa	riboflavin synthase		[c] : 4r5au + db4p --> dmlz + (2) h2o + pi	Riboflavin Metabolism	Cytosol	2.5.1.9	Irreversible	N	1249017	0		
OCDCAt	Octadecanoate (n-C18:0) transport in via uniport		ocdca[e] --> ocdca[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1457048	0		
ORPT	orotate phosphoribosyltransferase		[c] : orot5p + ppi <==> orot + prpp	Purine and Pyrimidine Biosynthesis	Cytosol	2.4.2.10	Reversible	N	143622	0		
SUCFUMtm	succinate-fumarate transport, mitochondrial		fum[m] + succ[c] --> fum[c] + succ[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Irreversible	Y	1441151	0		
L-LACDm	L-Lactate dehydrogenase, mitochondrial		[m] : (2) ficytc + lac-L --> (2) focytc + pyr	Alternate Carbon Metabolism	Mitochondria	1.1.2.3	Irreversible	N	1438573	0		
ICDHy	isocitrate dehydrogenase (NADP)		[c] : icit + nadp --> akg + co2 + nadph	Citric Acid Cycle	Cytosol	1.1.1.42	Irreversible	N	1507316	0		
GLCS2	glycogen synthase (UDPGlc)		[c] : udpg --> glycogen + h + udp	Alternate Carbon Metabolism	Cytosol	2.4.1.11	Irreversible	N	242757	0		
GLUN	glutaminase		[c] : gln-L + h2o --> glu-L + nh4	Glutamine Metabolism	Cytosol	3.5.1.2	Irreversible	N	1529232	0		
IPCS124_SC	Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific		[c] : cer1_24 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc124_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1454282	0	added according to Dickinson book	
FAS100COA	fatty acyl-CoA synthase (n-C10:0CoA)		[c] : (3) h + malcoa + (2) nadph + occoa --> co2 + coa + dcacoa + h2o + (2) nadp	Fatty Acid  Biosynthesis	Cytosol	2.3.1.86	Irreversible	N	1453441	0		
4H2OGLTtp	4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion		4h2oglt[c] <==> 4h2oglt[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Reversible	Y	1447741	0		
URIDK2rn	uridylate kinase (dUMP), nuclear		[n] : atp + dump <==> adp + dudp	Nucleotide Salvage Pathway	Nucleus		Reversible	N	1442678	0	URA6 subcellular location 80% cytoplasmic and 20% nuclear (CYGD)	
CO2tp	CO2 peroxisomal transport		co2[c] <==> co2[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Reversible	Y	1459353	0		
SERTRS	Seryl-tRNA synthetase		[c] : atp + ser-L + trnaser --> amp + ppi + sertrna	Glycine and Serine Metabolism	Cytosol	6.1.1.11	Irreversible	N	227791	0		
ADCS	4-amino-4-deoxychorismate synthase		[c] : chor + gln-L --> 4adcho + glu-L	Folate Metabolism	Cytosol		Irreversible	N	1531478	0		
OCDCEAt	Octadecenoate (n-C18:1) transport in via uniport		ocdcea[e] --> ocdcea[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1457051	0		
ME2m	malic enzyme (NADP), mitochondrial		[m] : mal-L + nadp --> co2 + nadph + pyr	Anaplerotic reactions	Mitochondria	1.1.1.40	Irreversible	N	217900	0		
GLUDy	glutamate dehydrogenase (NADP)		[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4	Glutamate metabolism	Cytosol	1.4.1.4	Reversible	N	138308	0		
DHQS	3-dehydroquinate synthase		[c] : 2dda7p --> 3dhq + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	4.2.3.4	Irreversible	N	139801	0		
DICtm	dicarboxylate transport, mitochondrial		mal-L[c] + succ[m] <==> mal-L[m] + succ[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1441134	0		
PAPt	PAP reversible uniport		pap[e] <==> pap[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1447020	0		
ALLTTti	allantoate irreversible uniport		alltt[e] --> alltt[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1447017	0		
TKT1	transketolase		[c] : r5p + xu5p-D <==> g3p + s7p	Pentose Phosphate Pathway	Cytosol	2.2.1.1	Reversible	N	134985	0		
CERS124	Ceramide-1 synthase (24C)		[c] : sphgn + ttccoa --> cer1_24 + coa + h	Sphingolipid Metabolism	Cytosol		Irreversible	N	1530196	0	added according to Dickinson book	
ADK1	adenylate kinase		[c] : amp + atp <==> (2) adp	Nucleotide Salvage Pathway	Cytosol	2.7.4.3	Reversible	N	144242	0		
URAt2	uracil transport in via proton symport		h[e] + ura[e] --> h[c] + ura[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	218384	0		
NTD1	5'-nucleotidase (dUMP)		[c] : dump + h2o --> duri + pi	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	143670	0		
XYLt	D-xylose reversible transport		xyl-D[e] <==> xyl-D[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1441913	0		
GARFTi	phosphoribosylglycinamide formyltransferase, irreversible	GAR transformylase N	[c] : 10fthf + gar --> fgam + h + thf	Purine and Pyrimidine Biosynthesis	Cytosol	2.1.2.2	Irreversible	N	1530023	0		
PPBNGS	porphobilinogen synthase		[c] : (2) 5aop --> h + (2) h2o + ppbng	Porphyrin and Chlorophyll Metabolism	Cytosol	4.2.1.24	Irreversible	N	1529315	0		
NADDPp	NAD diphosphatase, peroxisomal	NADH pyrophosphatase	[x] : h2o + nad --> amp + (2) h + nmn	Fatty Acid  Biosynthesis	Peroxisome	3.6.1.22	Irreversible	N	1450310	0	used as a marker for yeast nuclei Rose & Harrison, The Yeasts: Organelles, p.127	
SBT_Lt	L-sorbitol transport via passive diffusion		sbt-L[e] <==> sbt-L[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1457608	0		
C5STDS	C-5 sterol desaturase		[c] : epist + h + nadph + o2 --> ergtrol + (2) h2o + nadp	Sterol Biosynthesis	Cytosol		Irreversible	N	1454847	0	found primarily in lipid particles and ER membrane (CYGD); assume faces cytosol//	
ADK4m	adentylate kinase (ITP), mitochondrial		[m] : amp + itp <==> adp + idp	Nucleotide Salvage Pathway	Mitochondria	2.7.4.3	Reversible	N	1442610	0		
RNDR1n	ribonucleoside-diphosphate reductase, nuclear		[n] : adp + trdrd --> dadp + h2o + trdox	Nucleotide Salvage Pathway	Nucleus	1.17.4.1	Irreversible	N	1442625	0	RNR4 expressed in the nuclear matrix (CYGD)	
C4STMO1	C-4 sterol methyl oxidase (4,4-dimethylzymosterol)		[c] : 44mzym + (3) h + (3) nadph + (3) o2 --> 4mzym_int1 + (4) h2o + (3) nadp	Sterol Biosynthesis	Cytosol		Irreversible	N	1516732	0	localizes to ER membrane, plasma membrane (CYGD); assumes faces cytosol	
AKGDbm	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)		[m] : coa + sdhlam --> dhlam + succoa	Citric Acid Cycle	Mitochondria	2.3.1.61	Irreversible	N	217117	0		
CRNCARtp	carnitine-acetylcarnitine carrier, peroxisomal		acrn[x] + crn[c] --> acrn[c] + crn[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Irreversible	Y	1488689	0	see van Roermund et al EMBO 14(14): 3480-3486, 1995//	
PYDXNK	pyridoxine kinase		[c] : atp + pydxn --> adp + h + pdx5p	Pyridoxine Metabolism	Cytosol	2.7.1.35	Irreversible	N	1448685	0		
FAO141p_odd	Fatty acid oxidation		[x] : (6) coa + (6) h2o + (6) nad + (5) o2 + tdecoa --> (7) accoa + (6) h + (5) h2o2 + (6) nadh	Fatty Acid Degradation	Peroxisome		Irreversible	N	1532502	0		
ABTA	4-aminobutyrate transaminase		[c] : 4abut + akg --> glu-L + sucsal	Glutamate metabolism	Cytosol	2.6.1.19	Irreversible	N	141951	0		
FACOAL140p	fatty-acid--CoA ligase (tetradecanoate), peroxisomal		[x] : atp + coa + ttdca <==> amp + ppi + tdcoa	Fatty Acid  Biosynthesis	Peroxisome	6.2.1.3	Reversible	N	1451865	0	peroxisomal according to CYGD	
UREASE	urea carboxylase	ATP-urea amidolyase, urea carboxylase (hydrolysing), urease (ATP-hydrolysing)	[c] : atp + hco3 + urea <==> adp + allphn + h + pi	Nitrogen Metabolism	Cytosol	6.3.4.6	Reversible	N	1532248	0		
THMPe	thiamin phosphatase, extracellular		[e] : h2o + thmmp --> pi + thm	Thiamine Metabolism	Extra-organism	3.1.3.2	Irreversible	N	1531913	0		
XYLR	xylose reductase		[c] : h + nadph + xyl-D --> nadp + xylt	Xylose Metabolism	Cytosol	1.1.1.21	Irreversible	N	1457422	0	added according to Richard et al 1999//	
PFK26	6-phosphofructo-2-kinase		[c] : atp + f6p --> adp + f26bp + h	Fructose and Mannose Metabolism	Cytosol	2.7.1.105	Irreversible	N	225777	0		
GLUCYS	gamma-glutamylcysteine synthetase		[c] : atp + cys-L + glu-L --> adp + glucys + h + pi	Other Amino Acid Metabolism	Cytosol	6.3.2.2	Irreversible	N	1529224	0		
CHLSTI	cholestenol delta-isomerase, lumped reaction		[c] : amet + o2 + zymst --> ahcys + ergtetrol + h + (2) h2o	Sterol Biosynthesis	Cytosol	5.3.3.5	Irreversible	N	1554819	0	 Rxns 4804, 4667, 3724, 4763 in KEGG//Added o2 & h2o to balance reaction - used to introduce double bond?	
ACLSm	acetolactate synthase, mitochondrial		[m] : h + (2) pyr --> alac-S + co2	Valine, Leucine, and Isoleucine Metabolism	Mitochondria	4.1.3.18	Irreversible	N	1445080	0		
NADPPPSm	NADP phosphatase		[m] : h2o + nadp --> nad + pi	NAD Biosynthesis	Mitochondria		Irreversible	N	1441975	0		
HMGCOAR	Hydroxymethylglutaryl CoA reductase	3-hydroxy-3-methylglutaryl CoA reductase	[c] : coa + mev-R + (2) nadp <==> (2) h + hmgcoa + (2) nadph	Sterol Biosynthesis	Cytosol	1.1.1.34	Reversible	N	1454611	0	Hmg1 is expressed in nuclear membrane (CUGD); assume catalytic domain faces cytosol////Hmg2 is expressed in nuclear and ER membranes (CYGD); assume catalytic domain faces cytosol	
CDPDGPm_SC	CDP-diacylglycerol--serine O-phosphatidyltransferae, yeast-specific, mitochondrial		[m] : (0.01) cdpdag_SC + glyc3p <==> cmp + h + (0.01) pgp_SC	Phospholipid Biosynthesis	Mitochondria	2.7.8.8	Reversible	N	1531270	0		
ALDD2ym	aldehyde dehydrogenase (acetylaldehyde, NADP), mitochondrial		[m] : acald + h2o + nadp --> ac + (2) h + nadph	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Mitochondria	1.2.1.4	Irreversible	N	1441692	0		
VALt2r	L-valine reversible transport via proton symport		h[e] + val-L[e] <==> h[c] + val-L[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1446905	0		
FAS100ACPm	fatty-acyl-ACP synthase (n-C10:0ACP), mitochondrial		[m] : (3) h + malACP + (2) nadph + ocACP --> ACP + co2 + dcaACP + h2o + (2) nadp	Fatty Acid  Biosynthesis	Mitochondria		Irreversible	N	1513022	0		
NTD10	5'-nucleotidase (XMP)		[c] : h2o + xmp --> pi + xtsn	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	144012	0		
RIBFLVt2	riboflavin transport in via proton symport		h[e] + ribflv[e] --> h[c] + ribflv[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1449401	0		
PGK	phosphoglycerate kinase		[c] : 3pg + atp <==> 13dpg + adp	Glycolysis/Gluconeogenesis	Cytosol	2.7.2.3	Reversible	N	134578	0		
ACP1e	acid phosphatase, extracellular (secreted)		[e] : fmn + h2o --> pi + ribflv	Riboflavin Metabolism	Extra-organism	3.1.3.2	Irreversible	N	1449166	0		
DHPTtm	Dihydropteroate mitochondrial transport via diffusion		dhpt[c] <==> dhpt[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1486304	0		
FA141COAabcp	fatty acid peroxisomal transport via ABC system		atp[x] + h2o[x] + tdecoa[c] --> adp[x] + h[x] + pi[x] + tdecoa[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Irreversible	Y	1459690	0		
PUNP3m	purine-nucleoside phosphorylase (Guanosine), mitochondrial		[m] : gsn + pi <==> gua + r1p	NAD Biosynthesis	Mitochondria	2.4.2.1	Reversible	N	1449089	0		
NADS1m	NAD synthase (nh3), mitochondrial		[m] : atp + dnad + nh4 --> amp + h + nad + ppi	NAD Biosynthesis	Mitochondria	6.3.1.5	Irreversible	N	1529269	0		
34HPPt2p	3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport		34hpp[c] + h[c] <==> 34hpp[x] + h[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Reversible	Y	1458217	0		
TMDK1	thymidine kinase (ATP:thymidine)		[c] : atp + thymd --> adp + dtmp + h	Purine and Pyrimidine Biosynthesis	Cytosol	2.7.1.21	Irreversible	N	145408	0		
OCBTi	ornithine carbamoyltransferase, irreversible		[c] : cbp + orn --> citr-L + h + pi	Arginine and Proline Metabolism	Cytosol	2.1.3.3	Irreversible	N	1529290	0		
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	H2-neopterin triphosphate pyrophosphatase	[c] : ahdt + h2o --> dhpmp + h + ppi	Folate Metabolism	Cytosol		Irreversible	N	1447052	0		
ACACT4p	acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal		[x] : 3odcoa + coa --> accoa + occoa	Fatty Acid Degradation	Peroxisome	2.3.1.16	Irreversible	N	1452218	0	peroxisomal according to CYGD	
INSK	insosine kinase		[c] : atp + ins --> adp + h + imp	Nucleotide Salvage Pathway	Cytosol	2.7.1.73	Irreversible	N	1441543	0		
DDPAm	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase, mitochondrial		[m] : e4p + h2o + pep --> 2dda7p + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Mitochondria	4.1.2.15	Irreversible	N	1445849	0		
RIBt2	ribose transport in via proton symporter		h[e] + rib-D[e] --> h[c] + rib-D[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1441903	0		
PEPDt3	peptide transport in via proton symport		h[e] + pepd[e] --> h[c] + pepd[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1449892	0		
CHLPCTD	choline phosphate cytididyltransferase		[c] : cholp + ctp + h --> cdpchol + ppi	Phospholipid Biosynthesis	Cytosol	2.7.7.15	Irreversible	N	1485845	0	localization is possibly ER membrane or Golgi membrane (CYGD); assume enzymatic domain faces cytosol	
GF6PTA	glutamine-fructose-6-phosphate transaminase		[c] : f6p + gln-L --> gam6p + glu-L	Glutamine Metabolism	Cytosol	2.6.1.16	Irreversible	N	1529204	0		
GLUTRS	Glutamyl-tRNA synthetase		[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi	Glutamine Metabolism	Cytosol	6.1.1.17	Irreversible	N	227767	0		
ETHAK	Ethanolamine kinase		[c] : atp + etha --> adp + ethamp + h	Phospholipid Biosynthesis	Cytosol	2.7.1.82	Irreversible	N	1485885	0		
TYRt2p	tyrosine peroxisomal transport via proton symport		h[c] + tyr-L[c] <==> h[x] + tyr-L[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Reversible	Y	1457956	0		
DHNPAm	dihydroneopterin aldolase		[m] : dhnpt --> 2ahhmp + gcald + h	Folate Metabolism	Mitochondria	4.1.2.25	Irreversible	N	1553582	0		
GSNt2	guanosine transport in via proton symport		gsn[e] + h[e] --> gsn[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	218374	0		
ALASm	5-aminolevulinate synthase		[m] : gly + h + succoa --> 5aop + co2 + coa	Porphyrin and Chlorophyll Metabolism	Mitochondria	2.3.1.37	Irreversible	N	1449122	0		
SUCRt2	sucrose transport in via proton symport		h[e] + sucr[e] --> h[c] + sucr[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1441869	0		
SBPP1	sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase)		[c] : h2o + sph1p --> pi + sphgn	Sphingolipid Metabolism	Cytosol		Irreversible	N	1486052	0		
DHPPDA	diaminohydroxyphosphoribosylaminopyrimidine deaminase		[c] : 25dhpp + h + h2o --> 5apru + nh4	Riboflavin Metabolism	Cytosol	3.5.4.26	Irreversible	N	1532267	0		
SPMS	spermidine synthase		[c] : ametam + ptrc --> 5mta + h + spmd	Arginine and Proline Metabolism	Cytosol	2.5.1.16	Irreversible	N	139063	0		
GLYCLm	glycine cleavage system, mitochondrial		[m] : gly + nad + thf --> co2 + mlthf + nadh + nh4	Glycine and Serine Metabolism	Mitochondria	2.1.2.10	Irreversible	N	1443939	0		
DDPA	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase		[c] : e4p + h2o + pep --> 2dda7p + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	4.1.2.15	Irreversible	N	211473	0		
TRIGS_SC	triglycerol synthesis	diacylglycerol O-acyltransferase	[c] : (0.01) 12dgr_SC + (0.02) dcacoa + (0.06) ddcacoa + (0.17) hdcoa + (0.09) ocdycacoa + (0.24) odecoa + (0.27) pmtcoa + (0.05) stcoa + (0.1) tdcoa --> coa + (0.01) triglyc_SC	Glycerolipid Metabolism	Cytosol		Irreversible	N	1531460	0		
FAS180	fatty acid synthase (n-C18:0)		[c] : (3) h + hdca + malcoa + (2) nadph --> co2 + coa + h2o + (2) nadp + ocdca	Fatty Acid  Biosynthesis	Cytosol	2.3.1.85	Irreversible	N	1453844	0	another enzymatic function of FAS (CYGD)	
ORNt3m	ornithine mitochondrial transport via proton antiport		h[c] + orn[m] <==> h[m] + orn[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1489094	0	note that orn should be transported out of mitochondria. See Jauniaux JC, et al. (1978) J Bacteriol 133(3):1096-1107	
HISTD	histidinol dehydrogenase		[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	Histidine Metabolism	Cytosol	1.1.1.23	Irreversible	N	140428	0		
GND	phosphogluconate dehydrogenase		[c] : 6pgc + nadp --> co2 + nadph + ru5p-D	Pentose Phosphate Pathway	Cytosol	1.1.1.44	Irreversible	N	134821	0		
MCITS	2-methylcitrate synthase	methylcitrate synthase, methylcitrate synthetase	[c] : h2o + oaa + ppcoa --> 2mcit + coa + h	Anaplerotic reactions	Cytosol	4.1.3.31	Irreversible	N	1461220	0	added according to Pronk, Microbiology 1994	
O2tm	O2 transport (diffusion)		o2[c] <==> o2[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1334342	0		
BTSr	biotin synthase		[c] : dtbt + s <==> btn + (2) h	Pantothenate and CoA Biosynthesis	Cytosol	2.8.1.6	Reversible	N	1448924	0		
XYLK	xylulokinase	D-xylulokinase, xylulokinase (phosphorylating);, xylulokinase;	[c] : atp + xylu-D --> adp + h + xu5p-D	Xylose Metabolism	Cytosol	2.7.1.17	Irreversible	N	137422	0		
AMETtm	S-Adenosyl-L-methionine reversible transport, mitochondrial		amet[c] <==> amet[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1446813	0		
ZYMSTt	zymosterol reversible transport		zymst[e] <==> zymst[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1456994	0		
MTHFC [deleted 07/26/2004  02:01:06 PM]	methenyltetrahydrofolate cyclohydrolase		[c] : h2o + methf <==> 10fthf	Folate Metabolism	Cytosol	3.5.4.9	Reversible	N	1553260	0		
GK1	guanylate kinase (GMP:ATP)		[c] : atp + gmp <==> adp + gdp	Purine and Pyrimidine Biosynthesis	Cytosol	2.7.4.8	Reversible	N	144407	0		
DURIt2	deoxyuridine transport in via proton symport		duri[e] + h[e] --> duri[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	218394	0		
SBPP2	sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate)		[c] : h2o + psph1p --> pi + psphings	Sphingolipid Metabolism	Cytosol		Irreversible	N	1486074	0	added according to Dickinson book	
CSNATirp	carnitine O-acetyltransferase, reverse direction, peroxisomal		[x] : accoa + crn --> acrn + coa	Glutamate metabolism	Peroxisome	2.3.1.7	Irreversible	N	1512772	0		
