abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
co2	CO2	CO2	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Mitochondria, Nucleus, Periplasm, Peroxisome, Vacuole	C00011	124-38-9	33506	1,10,2,3,4,5,6,7,8,9	
ppi	Diphosphate	HO7P2	-3	Cytosol, Endoplasmic Reticulum, Mitochondria, Nucleus, Peroxisome	C00013	2466-09-3	33511	1,10,2,3,4,5,6,7,9	
nh4	Ammonium	H4N	1	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C01342	14798-03-9	33515	1,10,2,3,4,5,6,7,8,9	
udp	UDP	C9H11N2O12P2	-3	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus	C00015	58-98-0	33518	1,10,2,3,4,5,6,7,9	
fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2	Cytosol, Endoplasmic Reticulum, Mitochondria, Peroxisome	C00016	146-14-5	33521	1,10,2,3,4,5,6,7	
pydx5p	Pyridoxal 5'-phosphate	C8H8NO6P	-2	Cytosol, Mitochondria	C00018	54-47-7	33526	1,10,2,4,5,6	
amet	S-Adenosyl-L-methionine	C15H23N6O5S	1	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus	C00019	29908-03-0	33530	1,10,2,3,4,5,6,7,9	
amp	AMP	C10H12N5O7P	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Periplasm, Peroxisome	C00020	61-19-8	33534	1,10,2,3,4,5,6,7,8,9	
ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	Cytosol, Endoplasmic Reticulum, Mitochondria, Nucleus	C00021	979-92-0	33543	1,10,2,3,4,5,6,7,9	
pyr	Pyruvate	C3H3O3	-1	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00022	127-17-3	33546	1,10,2,3,4,5,6,7,8,9	
fe2	Fe2+	Fe	2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00023	None	33552	1,10,2,3,4,5,6,7,9	
accoa	Acetyl-CoA	C23H34N7O17P3S	-4	Cytosol, Endoplasmic Reticulum, Golgi Apparatus, Mitochondria, Nucleus, Peroxisome	C00024	72-89-9	33558	1,10,2,3,4,5,6,7,8,9	
glu-L	L-Glutamate	C5H8NO4	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Lysosome, Mitochondria, Nucleus, Periplasm, Peroxisome	C00025	56-86-0	33561	1,10,2,3,4,5,6,7,8,9	
akg	2-Oxoglutarate	C5H4O5	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C00026	328-50-7	33565	1,10,2,3,4,5,6,7,8,9	
h2o2	Hydrogen peroxide	H2O2	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Nucleus, Periplasm, Peroxisome	C00027	7722-84-1	33570	1,10,2,3,4,5,6,7,9	
udpg	UDPglucose	C15H22N2O17P2	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Periplasm	C00029		33576	1,10,2,3,4,5,6,7,9	
glc-D	D-Glucose	C6H12O6	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Periplasm, Vacuole	C00031	50-99-7	33582	1,10,2,3,4,5,6,7,8,9	
pheme	Protoheme	C34H30FeN4O4	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00032	14875-96-8	33586	1,10,2,3,4,5,6,7	
ac	Acetate	C2H3O2	-1	Cytosol, Extra-organism, Golgi Apparatus, Mitochondria, Periplasm, Peroxisome	C00033	71-50-1	33590	1,10,2,3,4,5,6,7,8,9	
mn2	Mn2+	Mn	2	Cytosol, Extra-organism, Periplasm	C00034	None	33594	5,7,9	
gdp	GDP	C10H12N5O11P2	-3	Cytosol, Extra-organism, Golgi Apparatus, Mitochondria, Nucleus, Periplasm	C00035	146-91-8	33599	1,10,2,3,4,5,6,7,9	
oaa	Oxaloacetate	C4H2O5	-2	Cytosol, Mitochondria, Peroxisome	C00036	328-42-7	33604	1,10,2,3,4,5,6,7,8,9	
gly	Glycine	C2H5NO2	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm, Peroxisome	C00037	56-40-6	33610	1,10,2,3,4,5,6,7,9	
zn2	Zinc	Zn	2	Cytosol, Extra-organism, Periplasm	C00038	7440-66-6	33614	5,7,9	
ala-L	L-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm, Peroxisome	C00041	56-41-7	33629	1,10,2,3,4,5,6,7,9	
succ	Succinate	C4H4O4	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00042	110-15-6	33633	1,10,2,3,4,5,6,7,8,9	
uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	Cytosol, Extra-organism, Golgi Apparatus, Periplasm	C00043		33638	1,10,2,3,4,5,7,9	
gtp	GTP	C10H12N5O14P3	-4	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm	C00044	86-01-1	33641	1,10,2,3,4,5,6,7,9	
lys-L	L-Lysine	C6H15N2O2	1	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C00047	56-87-1	33655	1,10,2,3,4,5,6,7,9	
glx	Glyoxylate	C2H1O3	-1	Cytosol, Mitochondria, Peroxisome	C00048	298-12-4	33659	1,10,2,3,4,5,6,8	
asp-L	L-Aspartate	C4H6NO4	-1	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C00049	56-84-8	33663	1,10,2,3,4,5,6,7,9	
gthrd	Reduced glutathione	C10H16N3O6S	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Periplasm	C00051	70-18-8	33669	1,10,2,3,4,5,6,7,9	
udpgal	UDPgalactose	C15H22N2O17P2	-2	Cytosol, Extra-organism, Golgi Apparatus, Periplasm	C00052		33675	1,10,2,3,5,6,7,9	
paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	Cytosol, Golgi Apparatus	C00053	482-67-7	33679	1,10,2,3,5,6,7,9	
pap	Adenosine 3',5'-bisphosphate	C10H11N5O10P2	-4	Cytosol, Extra-organism, Golgi Apparatus, Mitochondria	C00054	1053-73-2	33684	1,10,2,3,5,6,7,9	
cmp	CMP	C9H12N3O8P	-2	Cytosol, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm	C00055		33689	1,10,2,3,4,5,6,7,9	
for	Formate	CH1O2	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Periplasm	C00058	64-18-6	33693	1,10,2,3,4,5,6,7,8,9	
so4	Sulfate	O4S	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Lysosome, Mitochondria, Periplasm	C00059	7664-93-9	33697	1,10,2,3,4,5,6,7,9	
fmn	FMN	C17H19N4O9P	-2	Cytosol, Extra-organism, Mitochondria	C00061	146-17-8	33703	1,10,2,3,4,5,6,7,9	
arg-L	L-Arginine	C6H15N4O2	1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00062	74-79-3	33707	1,10,2,3,4,5,6,7,9	
ctp	CTP	C9H12N3O14P3	-4	Cytosol, Mitochondria, Nucleus	C00063	65-47-4	33710	1,10,2,3,4,5,6,7,9	
gln-L	L-Glutamine	C5H10N2O3	0	Cytosol, Extra-organism, Mitochondria, Nucleus, Periplasm	C00064	56-85-9	33714	1,10,2,3,4,5,6,7,8,9	
ser-L	L-Serine	C3H7NO3	0	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00065	56-45-1	33717	1,10,2,3,4,5,6,7,9	
fald	Formaldehyde	CH2O	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm, Peroxisome	C00067	50-00-0	33726	10,2,4,5,6,7,9	
thmpp	Thiamine diphosphate	C12H16N4O7P2S	-2	Cytosol, Extra-organism, Mitochondria	C00068	154-87-0	33732	1,10,2,3,5,6,7,9	
ascb-L	L-Ascorbate	C6H8O6	0	Cytosol, Extra-organism, Periplasm	C00072	50-81-7	33747	2,5	
met-L	L-Methionine	C5H11NO2S	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00073	63-68-3	33753	1,10,2,3,4,5,6,7,9	
pep	Phosphoenolpyruvate	C3H2O6P	-3	Cytosol, Mitochondria	C00074	138-08-9	33756	1,10,2,3,4,5,6,7,8,9	
utp	UTP	C9H11N2O15P3	-4	Cytosol, Extra-organism, Mitochondria, Nucleus	C00075	63-39-8	33760	1,10,2,3,4,5,6,7,9	
ca2	Calcium	Ca	2	Cytosol, Extra-organism, Periplasm	C00076	7440-70-2	33764	10,2,5,9	
trp-L	L-Tryptophan	C11H12N2O2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00078	73-22-3	33772	1,10,2,3,4,5,6,7,9	
phe-L	L-Phenylalanine	C9H11NO2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00079	63-91-2	33775	1,10,2,3,4,5,6,7,9	
h	H+	H	1	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm, Peroxisome, Vacuole	C00080	12408-02-5	33778	1,10,2,3,4,5,6,7,8,9	
itp	ITP	C10H11N4O14P3	-4	Cytosol, Mitochondria, Nucleus	C00081	132-06-9	33780	1,10,2,5,6,7,9	
tyr-L	L-Tyrosine	C9H11NO3	0	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00082	60-18-4	33785	1,10,2,3,4,5,6,7,9	
malcoa	Malonyl-CoA	C24H33N7O19P3S	-5	Cytosol, Mitochondria, Peroxisome	C00083	524-14-1	33789	1,10,2,3,4,5,6,7	
acald	Acetaldehyde	C2H4O	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00084	75-07-0	33792	1,10,2,3,4,5,6,7,8,9	
f6p	D-Fructose 6-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00085	643-13-0	33795	1,10,2,3,4,5,6,7,8,9	
urea	Urea	CH4N2O	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00086	57-13-6	33799	1,10,2,3,4,5,6,7,9	
s	Sulfur	S	0	Cytosol, Extra-organism	C00087	7704-34-9	33802	10,5,6,7,9	
no2	Nitrite	NO2	-1	Cytosol, Extra-organism, Periplasm	C00088	7697-37-2	33805	1,10,3,4,5,7,9	
sucr	Sucrose	C12H22O11	0	Cytosol, Extra-organism, Periplasm	C00089	57-50-1	33807	1,2,5,6,7	
catechol	Catechol	C6H6O2	0	Cytosol, Extra-organism, Periplasm	C00090	120-80-9	33813	4	
succoa	Succinyl-CoA	C25H35N7O19P3S	-5	Cytosol, Mitochondria	C00091	604-98-8	33820	1,10,2,3,4,5,6,7,8,9	
so3	Sulfite	O3S	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00094	7782-99-2	33833	1,10,2,3,4,5,6,7,9	
fru	D-Fructose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00095	57-48-7	33835	1,2,4,5,6,7,8,9	
cys-L	L-Cysteine	C3H7NO2S	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00097	52-90-4	33843	1,10,2,3,4,5,6,7,9	
ala-B	beta-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00099	107-95-9	33848	1,10,2,3,4,5,6,7,9	
ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C00100	317-66-8	33852	1,10,2,4,5,6,9	
thf	5,6,7,8-Tetrahydrofolate	C19H21N7O6	-2	Cytosol, Extra-organism, Lysosome, Mitochondria	C00101	135-16-0	33856	1,10,2,3,4,5,6,7,9	
g1p	D-Glucose 1-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00103	59-56-3	33865	1,10,2,3,4,5,6,7,9	
idp	IDP	C10H11N4O11P2	-3	Cytosol, Extra-organism, Mitochondria, Nucleus	C00104	86-04-4	33869	1,10,2,5,6,7,9	
ump	UMP	C9H11N2O9P	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm	C00105	58-97-9	33873	1,10,2,3,4,5,6,7,9	
ura	Uracil	C4H4N2O2	0	Cytosol, Extra-organism, Periplasm	C00106	66-22-8	33879	1,10,2,3,4,5,6,7,9	
anth	Anthranilate	C7H6NO2	-1	Cytosol	C00108	118-92-3	33883	1,10,2,3,4,5,6,7,9	
2obut	2-Oxobutanoate	C4H5O3	-1	Cytosol, Mitochondria	C00109	600-18-0	33889	1,10,2,3,4,5,6,7,9	
dhap	Dihydroxyacetone phosphate	C3H5O6P	-2	Cytosol, Mitochondria, Peroxisome	C00111	57-04-5	33898	1,10,2,3,4,5,6,7,8,9	
cdp	CDP	C9H12N3O11P2	-3	Cytosol, Mitochondria, Nucleus	C00112	63-38-7	33901	1,10,2,3,4,5,6,7,9	
pqq	Pyrroloquinoline-quinone	C14H6N2O8	0	Cytosol	C00113	72909-34-3	33905	4	
chol	Choline	C5H14NO	1	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Mitochondria, Nucleus, Periplasm	C00114	123-41-1	33910	1,10,2,4,5,6,7	
glyc	Glycerol	C3H8O3	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00116	56-81-5	33915	1,10,2,3,4,5,6,7,9	
prpp	5-Phospho-alpha-D-ribose 1-diphosphate	C5H8O14P3	-5	Cytosol, Mitochondria	C00119		33926	1,10,2,3,4,5,6,7,9	
btn	Biotin	C10H15N2O3S	-1	Cytosol, Extra-organism, Mitochondria, Nucleus	C00120	58-85-5	33931	1,10,2,3,5,6,7,9	
rib-D	D-Ribose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00121	50-69-1	33936	1,10,2,3,4,5,6,7,9	
fum	Fumarate	C4H2O4	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00122	110-17-8	33938	1,10,2,3,4,5,6,7,8,9	
leu-L	L-Leucine	C6H13NO2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00123	61-90-5	33942	1,10,2,3,4,5,6,7,9	
gal	D-Galactose	C6H12O6	0	Cytosol, Extra-organism, Lysosome, Periplasm	C00124	59-23-4	33945	1,10,2,3,5,6	
ficytc	Ferricytochrome c	C42H52FeN8O6S2	1	Cytosol, Mitochondria	C00125	None	33947	10,4,6	
focytc	Ferrocytochrome c	C42H53FeN8O6S2	1	Cytosol, Mitochondria	C00126	None	33949	10,4,6	
gthox	Oxidized glutathione	C20H30N6O12S2	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00127		33951	1,10,2,4,5,6,7,9	
cmpacna	CMP-N-acetylneuraminate	C20H29N4O16P	-2	Cytosol, Golgi Apparatus, Nucleus	C00128	3063-71-6	33954	2	
ipdp	Isopentenyl diphosphate	C5H9O7P2	-3	Cytosol, Peroxisome	C00129		33956	1,10,2,3,4,5,6,7,9	
imp	IMP	C10H11N4O8P	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00130	131-99-7	33960	1,10,2,3,4,5,6,7,9	
datp	dATP	C10H12N5O12P3	-4	Cytosol, Mitochondria, Nucleus	C00131	1927-31-7	33969	1,10,2,3,4,5,6,7,9	
meoh	Methanol	CH4O1	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Lysosome	C00132	67-56-1	33974	10,2,7,9	
ala-D	D-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Lysosome, Periplasm, Peroxisome	C00133	338-69-2	33977	1,10,2,3,4,5,7	
ptrc	Putrescine	C4H14N2	2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00134	110-60-1	33980	1,10,2,3,4,5,6,7,9	
his-L	L-Histidine	C6H9N3O2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00135	71-00-1	33985	1,10,2,3,4,5,6,7,9	
btcoa	Butanoyl-CoA	C25H38N7O17P3S	-4	Cytosol, Mitochondria	C00136		33988	1,2,4,5,7	
inost	myo-Inositol	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00137	87-89-8	33990	1,10,2,5,6,7,9	
acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	Cytosol, Extra-organism, Lysosome, Periplasm	C00140	7512-17-6	34006	1,10,2,5,7	
3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	Cytosol, Mitochondria	C00141		34011	1,10,2,3,4,5,6,7,9	
mlthf	5,10-Methylenetetrahydrofolate	C20H21N7O6	-2	Cytosol, Mitochondria	C00143		34022	1,10,2,3,4,5,6,7,9	
gmp	GMP	C10H12N5O8P	-2	Cytosol, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm	C00144	85-32-5	34024	1,10,2,3,4,5,6,7,9	
ade	Adenine	C5H5N5	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00147	73-24-5	34039	1,10,2,3,4,5,6,7,9	
pro-L	L-Proline	C5H9NO2	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Lysosome, Mitochondria, Periplasm	C00148	147-85-3	34042	1,10,2,3,4,5,6,7,9	
mal-L	L-Malate	C4H4O5	-2	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00149	97-67-6	34045	1,10,2,3,4,5,6,7,8,9	
asn-L	L-Asparagine	C4H8N2O3	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00152	70-47-3	34055	1,10,2,3,4,5,6,7,9	
ncam	Nicotinamide	C6H6N2O	0	Cytosol, Extra-organism, Mitochondria	C00153	98-92-0	34058	1,10,2,5,6,7	
pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C00154		34063	10,2,4,5,6,7	
4hbz	4-Hydroxybenzoate	C7H5O3	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00156	99-96-7	34069	1,10,2,3,4,5,6	
cit	Citrate	C6H5O7	-3	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00158	77-92-9	34080	1,10,2,3,4,5,6,7,8,9	
man	D-Mannose	C6H12O6	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Periplasm	C00159	3458-28-4	34085	1,10,2,5,6,7	
glyclt	Glycolate	C2H3O3	-1	Cytosol, Extra-organism, Mitochondria, Periplasm, Peroxisome	C00160	79-14-1	34090	1,10,2,3,4,5,7,9	
ppa	Propionate (n-C3:0)	C3H5O2	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00163	79-09-4	34098	1,10,2,4,5,9	
phpyr	Phenylpyruvate	C9H7O3	-1	Cytosol, Mitochondria	C00166	156-06-9	34111	1,10,2,3,4,5,6,7,9	
udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Periplasm	C00167		34117	1,10,2,5,9	
hpyr	Hydroxypyruvate	C3H3O4	-1	Cytosol, Mitochondria, Peroxisome	C00168	1113-60-6	34120	1,2,4,5,7	
cbp	Carbamoyl phosphate	CH2NO5P	-2	Cytosol, Endoplasmic Reticulum, Mitochondria, Nucleus	C00169		34125	1,10,2,3,4,5,6,7,9	
5mta	5-Methylthioadenosine	C11H15N5O3S	0	Cytosol	C00170	2457-80-9	34127	1,10,2,3,4,5,6,7,9	
cobalt2	Co2+	Co	2	Cytosol, Extra-organism, Periplasm	C00175	7440-48-4	34141	10,4,5,7,9	
cyan	Hydrogen cyanide	CHN	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C01326	57-12-5	34146	1,10,2,5	
thym	Thymine	C5H6N2O2	0	Cytosol, Extra-organism, Periplasm	C00178	65-71-4	34151	1,10,2,5,6,9	
agm	Agmatine	C5H16N4	2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00179	306-60-5	34153	1,10,2,3,4,5,7,9	
bz	Benzoate	C7H5O2	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Periplasm	C00180	65-85-0	34156	2,4,7	
xyl-D	D-Xylose	C5H10O5	0	Cytosol, Extra-organism, Lysosome, Periplasm	C00181	58-86-6	34162	1,10,2,5,6	
val-L	L-Valine	C5H11NO2	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00183	72-18-4	34167	1,10,2,3,4,5,6,7,9	
dha	Dihydroxyacetone	C3H6O3	0	Cytosol, Extra-organism, Periplasm	C00184	96-26-4	34170	1,2,5,6,7,9	
lac-L	L-Lactate	C3H5O3	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C00186	79-33-4	34179	1,10,2,3,4,5,6,7,9	
chsterol	Cholesterol	C27H46O	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria	C00187	57-88-5	34183	2	
thr-L	L-Threonine	C4H9NO3	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00188	72-19-5	34186	1,10,2,3,4,5,6,7,9	
etha	Ethanolamine	C2H8NO	1	Cytosol, Extra-organism, Periplasm	C00189	141-43-5	34189	1,10,2,5,6,7,9	
udpxyl	UDP-D-xylose	C14H20N2O16P2	-2	Cytosol, Endoplasmic Reticulum, Golgi Apparatus	C00190	141-43-5	34192	2	
glcur	D-Glucuronate	C6H9O7	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Lysosome, Periplasm	C00191	6556-12-3	34196	1,2,5	
adocbl	Adenosylcobalamin	C72H100CoN18O17P	0	Cytosol, Extra-organism, Mitochondria, Periplasm	C00194	13870-90-1	34204	1,10,2,4,5	
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	Cytosol	C00196	303-38-8	34227	1,5	
3pg	3-Phospho-D-glycerate	C3H4O7P	-3	Cytosol	C00197		34230	1,10,2,3,4,5,6,7,8,9	
ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol, Endoplasmic Reticulum	C00199	4151-19-3	34237	1,10,2,3,4,5,6,7,8,9	
udpacgal	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Periplasm	C00203	None	34247	2,5,6,7	
2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	Cytosol, Extra-organism, Periplasm	C00204	None	34249	1,4,5	
dadp	dADP	C10H12N5O9P2	-3	Cytosol, Mitochondria, Nucleus	C00206	None	34254	1,10,2,3,4,5,6,7,9	
acetone	Acetone	C3H6O	0	Cytosol, Extra-organism, Mitochondria	C00207	67-64-1	34257	2,9	
malt	Maltose	C12H22O11	0	Cytosol, Extra-organism, Lysosome, Periplasm	C00208	69-79-4	34261	1,10,2,5,6,7	
oxa	Oxalate	C2O4	-2	Cytosol, Extra-organism, Peroxisome	C00209	144-62-7	34265	10,2,9	
adn	Adenosine	C10H13N5O4	0	Cytosol, Extra-organism, Lysosome, Mitochondria, Periplasm	C00212	58-61-7	34273	1,10,2,3,4,5,6,7,9	
sarcs	Sarcosine	C3H7NO2	0	Cytosol, Extra-organism, Mitochondria, Peroxisome	C00213	107-97-1	34275	2,4,5	
arab-D	D-Arabinose	C5H10O5	0	Cytosol, Extra-organism	C00216	10323-20-3	34283	10,6	
glu-D	D-Glutamate	C5H8NO4	-1	Cytosol	C00217	6893-26-1	34285	1,10,3,4,5,7	
msa	Malonate semialdehyde	C3H3O3	-1	Cytosol, Mitochondria	C00222	None	34301	10,2	
4cmcoa	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	Cytosol	C00223	None	34304	4	
aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	Cytosol	C00224		34307	1,10,2,3,4,5,6,7	
actp	Acetyl phosphate	C2H3O5P	-2	Cytosol	C00227	19926-71-7	34318	1,10,3,4,5,7,8,9	
34dhbz	3,4-Dihydroxybenzoate	C7H5O4	-1	Cytosol, Extra-organism, Periplasm	C00230	99-50-3	34324	4	
xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C00231	None	34329	1,10,2,3,4,5,6,7,8,9	
sucsal	Succinic semialdehyde	C4H5O3	-1	Cytosol, Mitochondria	C00232	692-29-5	34331	1,10,2,4,5,6,7,9	
4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol, Mitochondria	C00233		34334	1,10,2,3,4,5,6,7,9	
10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	Cytosol, Extra-organism, Lysosome, Mitochondria	C00234		34337	1,10,2,3,4,5,6,7,9	
