abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
FE3HOXR3	Fe(III)hydroxamate reductase		[c] : (2) fe3hox + rbflvrd --> (2) fe2 + (2) fe3hox-un + (2) h + ribflv	Inorganic Ion Transport and Metabolism	Cytosol		Irreversible	N	2262505	4	indirectly (?) reduced by activity of Fre ////Fe(III) hydroximate is a siderophore - an iron-uptake molecule secreted by other micro-organisms.  not produced by K-12 ecoli, but they can ingest it and utilize the Fe it traps.  then releases siderophore to collect more Fe////MKA	
ALAALAr	D-alanine-D-alanine ligase (reversible)		[c] : (2) ala-D + atp <==> adp + alaala + h + pi	Cell Envelope Biosynthesis	Cytosol	6.3.2.4	Reversible	N	1529099	0		
PAPSR2	phosphoadenylyl-sulfate reductase (glutaredoxin)		[c] : grxrd + paps --> grxox + (2) h + pap + so3	Cysteine Metabolism	Cytosol	1.8.4.8	Irreversible	N	2388477	4	see PMID: 10075658//All glutaredoxins were treated the same.  However, further characterization may be needed to determine specific exclusive functions for each (for example, PMID: 15833738 points to specificity).//AMF	
N2Otex	nitrious oxide transport via diffusion (extracellular to periplasm)		n2o[e] <==> n2o[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2380623		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)		[c] : atp + gdp <==> adp + gtp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144708	4	Adk can substritute for Ndk activity //PMID: 8650159//and PMID: 16297370//may be able to act on other nucleotides (XTP, ITP, but these were not specifically mentioned)//AMF	
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)		3gmp[e] <==> 3gmp[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2326115		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
AGDC	N-acetylglucosamine-6-phosphate deacetylase		[c] : acgam6p + h2o --> ac + gam6p	Alternate Carbon Metabolism	Cytosol	3.5.1.25	Irreversible	N	1529086	0		
GLCtex	glucose transport via diffusion (extracellular to periplasm)		glc-D[e] <==> glc-D[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915260		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
CRNt2rpp	L-carnitine outward transport (H+ antiport)		crn[p] + h[p] <==> crn[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	2386156	3	PMID: 12163501//states that other transport systems capable//of taking up L-carnitine (for example, ProP and ProU) D-carnitine...//AMF	
THRt2pp	L-threonine efflux transport via proton antiport (periplasm)		h[p] + thr-L[c] --> h[c] + thr-L[p]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2388926	3	RhtA charcterized in PMID: 12648727//RhtA could also transport other AA, listed in ref////RhtC and RhtB characterized in PMID: 10386596//AMF	
AKGtex	alpha-ketoglutarate transport via diffusion (extracellular to periplasm)		akg[e] <==> akg[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915063		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
PYRtex	pyruvate transport via diffusion (extracellular to periplasm)		pyr[e] <==> pyr[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916071		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
DAGK141	diacylglycerol kinase (n-C14:1)	1,2-diacylglycerol kinase (phosphorylating);, 1,2-diacylglycerol kinase;, ATP:diacylglycerol phosphotransferase;, DG kinase;, DGK;, arachidonoyl-specific diacylglycerol kinase;, diacylglycerol kinase;, diacylglycerol:ATP kinase, diglyceride kinase;, sn-1,2-diacylglycerol kinase;	[c] : 12dgr141 + atp --> adp + h + pa141	Glycerophospholipid Metabolism	Cytosol	2.7.1.107	Irreversible	N	2618313	4	PMID: 8071224 shows active site on the cytoplasmic side//reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)		asn-L[e] <==> asn-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915095		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
SUCBZL	o-succinylbenzoate-CoA ligase		[c] : atp + coa + sucbz --> amp + ppi + sbzcoa	Cofactor and Prosthetic Group Biosynthesis	Cytosol	6.2.1.26	Irreversible	N	203968	0		
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)		[c] : 3htdcoa <==> h2o + td2coa	Membrane Lipid Metabolism	Cytosol	4.2.1.17	Reversible	N	215129	4		
ARBTNR3	aerobactin reductase		[c] : (2) arbtn-fe3 + rbflvrd --> (2) arbtn + (2) fe2 + (2) h + ribflv	Inorganic Ion Transport and Metabolism	Cytosol		Irreversible	N	2262698	3	reaction can involve any flavin (FAD, FMN, Ribflv).  indirectly (?) catalyzed by Fre.  FAD may be used more often////Aerobactin is a siderophore - an iron-uptake molecule secreted by other micro-organisms.  Not produced by K-12, just ingest it and remove the Fe before re-secreting the siderophore to collect more Fe from the environment.////MKA	
NTD10pp	5'-nucleotidase (XMP)		[p] : h2o + xmp --> pi + xtsn	Nucleotide Salvage Pathway	Periplasm	3.1.3.5	Irreversible	N	2324045	0	reaction located in periplasm	
PSSA161	Phosphatidylserine syntase (n-C16:1)	(CDPdiglyceride):L-serine O-phosphatidyltransferase;, CDP-diacylglycerol-L-serine O-phosphatidyltransferase;, CDP-diacylglycerol-serine O-phosphatidyltransferase;, CDP-diglyceride-L-serine phosphatidyltransferase;, CDP-diglyceride:serine phosphatidyltransferase;, CDPdiglyceride-serine O-phosphatidyltransferase;, O-phosphatidyltransferase, PS synthase;, cytidine 5'-diphospho-1,2-diacyl-sn-glycerol, cytidine 5'-diphospho-1,2-diacyl-sn-glycerol:L-serine, cytidine diphosphoglyceride-serine O-phosphatidyltransferase;, phosphatidylserine synthase;, phosphatidylserine synthetase;	[c] : cdpdhdec9eg + ser-L --> cmp + h + ps161	Glycerophospholipid Metabolism	Cytosol	2.7.8.8	Irreversible	N	2618077	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
PGPP120	phosphatidylglycerol phosphate phosphatase (n-C14:0)	PGP phosphatase, phosphatidylglycerol phosphatase;, phosphatidylglycerol phosphate phosphatase;, phosphatidylglycerophosphatase;	[c] : h2o + pgp120 --> pg120 + pi	Glycerophospholipid Metabolism	Cytosol	3.1.3.27	Irreversible	N	2619006	3	from PMID: 2846511//PGPP activity is higher in the cytoplasmic membrane than the outer membrane, whereas PAPA activities are higher in the outer membrane.//It appears that PgpA activity is for PAPA where PgpB activity is for both PAPA and PGP.//PgpB is known to be located in both the inner and outer membrane, pgpA is acitve in the inner membrane.  However, it is not know which side of the membranes the active site for each of the enzymes is on.////removal of the phosphate moiety from PG-phosphate, is indeterminate because at least three different enzymes (PgpA, PgpB, and an unknown protein) are thought to catalyze this hydrolytic step.//PMID: 14527277////PMID: 9370315 states gene responsible is pgpB in E coli////reactions are set up to act on FA with two identical -acyl chain lengths////AMF	
FLDR	flavodoxin reductase (NADPH)		[c] : fldox + h + nadph --> fldrd + nadp	Unassigned	Cytosol	1.18.1.2	Irreversible	N	2388688	3	from ecocyc//Flavodoxin NADP+ reductase is a part of chains of redox reactions and in E. coli is also required for the activation of anaerobic ribonucleoside reductase, pyruvate-formate lyase and methionine synthase. It forms a multi-enzyme complex with flavodoxin and the appropriate activating enzyme. Ferredoxin does not substitute for flavodoxin in E. coli. The FN reductase uses noncovalently bound FAD as a cofactor. Flavodoxin contains FMN. [ Bianchi93  , Jenkins94  , Bianchi95  ].////fldA, fldB added to GPR since it participates in the reaction as a metabolite. fldA and fldB are treated as the same carrier in the reconstruction.  fldA is essential under aerobic and anaerobic, PMID: 10714981//AMF////AMF	
NTD8pp	5'-nucleotidase (dGMP)		[p] : dgmp + h2o --> dgsn + pi	Nucleotide Salvage Pathway	Periplasm	3.1.3.5	Irreversible	N	2208599	0	reaction located in periplasm	
NTP3pp	nucleoside-triphosphatase (GTP) (periplasm)		[p] : gtp + h2o --> gdp + h + pi	Nucleotide Salvage Pathway	Periplasm	3.6.1.15	Irreversible	N	1914550	3	Enzyme also acts on 2,3-bisphosphoglycerate. Periplasmic enzyme	
G3PAT160	glycerol-3-phosphate acyltransferase (C16:0)		[c] : glyc3p + palmACP --> 1hdecg3p + ACP	Glycerophospholipid Metabolism	Cytosol	2.3.1.15	Irreversible	N	2617450	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
HG2abcpp	Mercury (Hg+2) ABC transporter (periplasm)		atp[c] + h2o[c] + hg2[c] --> adp[c] + h[c] + hg2[p] + pi[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2386409	4	characterized in PMID: 10660539//ATP-dependent efflux//The activity was specific for Pb(II), Cd(II), Zn(II), and Hg(II), with the highest activity obtained when the metals were present as thiolate complexes of cysteine or glutathione.////AMF	
ORPT	orotate phosphoribosyltransferase		[c] : orot5p + ppi <==> orot + prpp	Purine and Pyrimidine Biosynthesis	Cytosol	2.4.2.10	Reversible	N	143622	0		
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	acyl-ACP synthetase	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	Cell Envelope Biosynthesis	Cytosol	6.2.1.20	Irreversible	N	1512002	4	from ecocyc: Acyl-ACP synthetase functions to ligate free fatty acids, with lengths of C-8 to C-18, to ACP.////AcpP added to GPR since it participates in the reaction as a metabolite//AMF	
FE2t2pp	iron (II) transport in via proton symport (periplasm)		fe2[p] + h[p] --> fe2[c] + h[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2390929	0	see PMID: 11466284//AMF	
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	NADH-enoyl acyl carrier protein reductase;, NADH-specific enoyl-ACP reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2)	[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP	Cell Envelope Biosynthesis	Cytosol	1.3.1.10	Irreversible	N	2617325	4	citation states that it is NADH dependant, mentions another NADPH enzyme but doesnt give a gene, PMID: 8119879//More recent citation shows that FabI can use NADH or NADPH, PMID: 9022698//not sure of reversibility//AMF	
HACD2i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)		[c] : 3hhcoa + nad --> 3ohcoa + h + nadh	Membrane Lipid Metabolism	Cytosol	1.1.1.35	Irreversible	N	1723946	4		
PGPP180pp	phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)	PGP phosphatase, phosphatidylglycerol phosphatase;, phosphatidylglycerol phosphate phosphatase;, phosphatidylglycerophosphatase;	[p] : h2o + pgp180 --> pg180 + pi	Glycerophospholipid Metabolism	Periplasm	3.1.3.27	Irreversible	N	2706410	3	from PMID: 2846511//PGPP activity is higher in the cytoplasmic membrane than the outer membrane, whereas PAPA activities are higher in the outer membrane.//It appears that PgpA activity is for PAPA where PgpB activity is for both PAPA and PGP.//PgpB is known to be located in both the inner and outer membrane, pgpA is acitve in the inner membrane.  However, it is not know which side of the membranes the active site for each of the enzymes is on.////removal of the phosphate moiety from PG-phosphate, is indeterminate because at least three different enzymes (PgpA, PgpB, and an unknown protein) are thought to catalyze this hydrolytic step.//PMID: 14527277////PMID: 9370315 states gene responsible is pgpB in E coli////reactions are set up to act on FA with two identical -acyl chain lengths////AMF	
NTD9pp	5'-nucleotidase (GMP)		[p] : gmp + h2o --> gsn + pi	Nucleotide Salvage Pathway	Periplasm	3.1.3.5	Irreversible	N	2324103	0	reaction located in periplasm	
SADT2	Sulfate adenyltransferase	ATP-sulfurylase	[c] : atp + gtp + h2o + so4 --> aps + gdp + pi + ppi	Cysteine Metabolism	Cytosol		Irreversible	N	1436233	4		
FRULYSDG	Fructoselysine phosphate deglycase		[c] : frulysp + h2o <==> g6p + lys-L	Alternate Carbon Metabolism	Cytosol		Reversible	N	2213285	4	PMID: 14641112//Characterizes the frl pathway for growth on psicoselysine and fructoselysine.//AMF//PubMed ID:  12147680//AMF	
SERTRS	Seryl-tRNA synthetase		[c] : atp + ser-L + trnaser --> amp + ppi + sertrna	tRNA Charging	Cytosol	6.1.1.11	Irreversible	N	227791	4	Added to incorporate tRNA peptides into model	
GUR1PPpp	Glucuronate 1-phosphate phosphatase (periplasm)		[p] : glcur1p + h2o --> glcur + pi	Alternate Carbon Metabolism	Periplasm		Irreversible	N	2387975	2	assumed probable reactions, may be carried out by the Agp reaction - almost assigned to Agp reaction////needed to degrade 1-phosphates from UDP- hydrolase activity of UshA which is known to produce these products////AMF	
ADCS	4-amino-4-deoxychorismate synthase		[c] : chor + gln-L --> 4adcho + glu-L	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1531478	0		
HYD3pp	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)		2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]	Oxidative Phosphorylation	Cytosol, Periplasm	1.18.99.1	Irreversible	Y	1914473	0		
GDPDPK	GDP diphosphokinase		[c] : atp + gdp --> amp + h + ppgpp	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	2373262	4	4 reactions are involved in the ppGpp biosynthesis pathway//ppGpp is a signalling molecule////gppA : PMID: 8394006//RelA: PMID: 2844820//	
AKGDH	2-Oxogluterate dehydrogenase		[c] : akg + coa + nad --> co2 + nadh + succoa	Citric Acid Cycle	Cytosol		Irreversible	N	1310263	0		
ADK1	adenylate kinase		[c] : amp + atp <==> (2) adp	Nucleotide Salvage Pathway	Cytosol	2.7.4.3	Reversible	N	144242	0		
PA180abcpp	phosphatidate transport via ABC system (n-C18:0, periplasm)		atp[c] + h2o[c] + pa180[c] --> adp[c] + h[c] + pa180[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2706141	1	PMID: 15304478 suggests that MsbA facilitates the rapid translocation of some lipids from the cytoplasmic to the periplasmic side of the inner membrane in living cells.//no specific mention of://pa//pg//pgp//but PMID: 15890883 does mention that MsbA will transport://pe////personal communication (Charles Rock, Jan. 7 06): 'MsbA is an interesting issue.  It certainly transports the lipid A molecule.  In msbA mutants, PE also accumulates inside the cell//suggesting that PE is also transported by MsbA.  However, some scientists think this may not be the case and the accumulation of PE inside the cell in msbA mutants arises from it sticking to the lipid A that is not moved out of the cell, so the phenotype is not due to a PE transport defect.  This implies the existence of another transporter that moves phospholipids, but it has not been identified. So we wait for more definitive experiments.'//AMF	
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)		2hdecg3p[p] --> 2hdecg3p[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2707494	3	PMID: 15661733//LplT-Aas transport/acylation activity was independent of the proton motive force//shown to act on pe, assumed to transport pg, pa.////personal communication (Charles Rock) 'We think that Lpt1 is a facilitator like the glycerol facilitator and does not require membrane electrochemical gradient.  The transporter will move 2-acyl-GPC, which is not an E. coli lipid, so it is not very specific.  We do not know whether other specific lipids are transported by this system, but it might be that lysophospholipids in general are substrates.'//AMF	
PLIPA1G180pp	Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)		[p] : h2o + pg180 --> 2agpg180 + h + ocdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.32	Irreversible	N	2706939	3	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
G1PPpp	Glucose-1-phosphatase		[p] : g1p + h2o --> glc-D + pi	Glycolysis/Gluconeogenesis	Periplasm	3.1.3.10	Irreversible	N	2206898	4	periplasmic//I think this enzyme could act on fructose 1-phosphate, but I couldn't find any evidence////from EcoCyc://The enzyme also acts on D-galactose 1-phosphate, more slowly than on glucose-1-phosphate. The enzyme is stable at a wide range of pH conditions, and pH optima for hydrolysis of various substrates are discussed [ Cottrill02 ] .//AMF	
ADNt2pp	adenosine transport in via proton symport (periplasm)		adn[p] + h[p] --> adn[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1911990	0		
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	CDP diglyceride pyrophosphorylase;, CDP-DG, CDP-diacylglyceride synthetase;, CDP-diacylglycerol synthase;, CTP-diacylglycerol synthetase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, DAG synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, phosphatidate cytidyltransferase;, phosphatidate cytidylyltransferase;, phosphatidic acid cytidylyltransferase;	[c] : ctp + h + pa181 --> cdpdodec11eg + ppi	Glycerophospholipid Metabolism	Cytosol	2.7.7.41	Irreversible	N	2617713	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
ISETACtex	isethionate transport via diffusion (extracellular to periplasm)		isetac[e] <==> isetac[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2325359		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
NACtpp	Nicotinic acid uptake (periplasm)		nac[p] --> nac[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1914487	0		
PACCOAL	phenylacetate-CoA ligase		[c] : atp + coa + pac --> amp + phaccoa + ppi	Alternate Carbon Metabolism	Cytosol	6.2.1.30	Irreversible	N	1486460	4	JLR studied in E.coli W strain	
ACCOAC	acetyl-CoA carboxylase		[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	Membrane Lipid Metabolism	Cytosol	6.4.1.2	Irreversible	N	213653	4	irreversible//NH pg.614//JLR//AMF	
RNDR2b	ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)		[c] : gdp + grxrd --> dgdp + grxox + h2o	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	2388533	2	reactions taken from Ecocyc, no difinative reference givene that characterizes the gene in E.coli//reaction seems very probable.//All glutaredoxins were treated the same.  However, further characterization may be needed to determine specific exclusive functions for each (for example, PMID: 15833738 points to specificity).//AMF	
MANGLYCtex	2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm)		manglyc[e] <==> manglyc[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2298895		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
PLIPA2G140pp	Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)		[p] : h2o + pg140 --> 1agpg140 + h + ttdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.4	Irreversible	N	2733865	2	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
GMHEPPA	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase		[c] : gmhep17bp + h2o --> gmhep1p + pi	Lipopolysaccharide Biosynthesis / Recycling	Cytosol		Irreversible	N	1488083	4		
ABTA	4-aminobutyrate transaminase		[c] : 4abut + akg --> glu-L + sucsal	Arginine and Proline Metabolism	Cytosol	2.6.1.19	Irreversible	N	141951	4	PuuE - MKA//goaG induced by putrescine//PMID: 15590624 AMF////no notes on GabT	
LCTStpp	Lactose transport via proton symport (periplasm)		h[p] + lcts[p] <==> h[c] + lcts[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912473	0		
PEAMNtex	phenethylamine transport via diffusion (extracellular to periplasm)		peamn[e] <==> peamn[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324341		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
PLIPA2G141pp	Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)		[p] : h2o + pg141 --> 1agpg141 + h + ttdcea	Glycerophospholipid Metabolism	Periplasm	3.1.1.4	Irreversible	N	2733871	2	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
