Species, Gene
FJO, Fjoh_2451 Fjoh_4801
RBI, RB2501_00236
ZPR, ZPR_2011 ZPR_2643
FBC, FB2170_05130
CAO, Celal_0074 Celal_0303
CLY, Celly_2210
KDI, Krodi_2990
STR, Sterm_0768
IPO, Ilyop_2786
OTE, Oter_2139
CAA, Caka_0988
MIN, Minf_1495(nagB)
RBA, RB9089(pgl)
PSL, Psta_1125
PBS, Plabr_2301
IPA, Isop_1486
SYN, sll1479(devB)
SYW, SYNW1120
SYC, syc0992_c(devB)
SYF, Synpcc7942_0529
SYD, Syncc9605_1257
SYE, Syncc9902_1225
SYG, sync_1689(pgl)
SYR, SynRCC307_1251(pgl)
SYX, SynWH7803_1296(pgl)
SYP, SYNPCC7002_A0928(pgl)
CYA, CYA_1259(pgl)
CYB, CYB_2885(pgl)
TEL, tlr1076
MAR, MAE_11250
CYT, cce_4743(pgl)
CYP, PCC8801_1455
CYC, PCC7424_5038
CYN, Cyan7425_2709
CYH, Cyan8802_1481
CYJ, Cyan7822_0172
GVI, glr3180
ANA, alr1602(devB)
NPU, Npun_R2520
AVA, Ava_4215
NAZ, Aazo_1522
PMA, Pro0844(nagB)
PMM, PMM0771
PMT, PMT0564
PMN, PMN2A_0177
PMI, PMT9312_0779
PMB, A9601_08331
PMC, P9515_08121
PMF, P9303_16881
PMG, P9301_08311
PMH, P9215_08651(nagB)
PMJ, P9211_09911
PME, NATL1_08091
TER, Tery_0535
AMR, AM1_2637(pgl)
CTE, CT1871
