Species, Gene
CTU, CTU_18360(pfkB) CTU_41100(pfkA)
KPN, KPN_02183(pfkB) KPN_04193 KPN_04223(pfkA)
KPE, KPK_5456(pfkA) KPK_5489
KPU, KP1_0050 KP1_0082(pfkA) KP1_3290(pfkB)
KVA, Kvar_2008 Kvar_4995 Kvar_5029
CKO, CKO_01748 CKO_03085
CRO, ROD_13331(pfkB) ROD_38341(pfkA)
SPE, Spro_2258 Spro_4807
SRS, SerAS12_2212 SerAS12_4904
PMR, PMI3203(pfkA)
EIC, NT01EI_1878 NT01EI_3808
ETR, ETAE_1822(pfkB) ETAE_3450
BFL, Bfl602(pfkA)
BPN, BPEN_624(pfkA)
BVA, BVAF_605(pfkA)
HDE, HDEF_1894(pfkA)
DDA, Dd703_3812
DDC, Dd586_3987
DDD, Dda3937_03867(pfkA)
DZE, Dd1591_4019
XBO, XBJ1_4302(pfkA)
XNE, XNC1_0100(pfkA)
PAM, PANA_1860(pfkA) PANA_3869(pfkA)
PVA, Pvag_1290(pfka1) Pvag_3162(pfka3)
PAO, Pat9b_1795 Pat9b_3878
RIP, RIEPE_0034(pfkA)
RAH, Rahaq_0773 Rahaq_4324
MEN, MEPCIT_280(pfkA)
HIN, HI0982(pfkA)
HIT, NTHI1154(pfkA)
HIP, CGSHiEE_07055
HIQ, CGSHiGG_08485
HIF, HIBPF12670
HIL, HICON_04180
HDU, HD0465(pfkA)
HAP, HAPS_2188(pfkA)
HPR, PARA_09800
HSO, HS_0485(pfkA)
HSM, HSM_1786
PMU, PM0069(pfkA)
MSU, MS0377(pfkA)
APL, APL_1124(pfkA)
APJ, APJL_1143(pfkA)
APA, APP7_1182
ASU, Asuc_0687
AAP, NT05HA_0107
AAT, D11S_1956
GAN, UMN179_02076
XFA, XF0274
XFT, PD0221(pfkA)
XFM, Xfasm12_0239
XFN, XfasM23_0209
XCC, XCC3292(pfkA)
XCB, XC_0872
XCA, xccb100_0891(pfkA)
XCV, XCV3554(pfkA)
XAC, XAC3438(pfkA)
XOO, XOO0962(pfkA)
XOM, XOO_0878
XOP, PXO_02589
XAL, XALc_0767(pfkA)
SML, Smlt3887
SMT, Smal_3303
PSU, Psesu_2636
VCH, VC2689(pfkA)
VCO, VC0395_A2261(pfkA)
VCM, VCM66_2609(pfkA)
VCJ, VCD_001679
VVU, VV1_1257(pfkA)
VVY, VV3110(pfkA)
VVM, VVM_00396
VPA, VP2855(pfkA)
VHA, VIBHAR_00145
VSP, VS_2913
VEX, VEA_002222
VFI, VF_2340(pfkA)
VFM, VFMJ11_2462(pfkA)
VSA, VSAL_I2794(pfkA)
PPR, PBPRA0234(pfkA)
VAN, VAA_02577
PSA, PST_2404
PSZ, PSTAB_2302
CGA, Celgi_1623 Celgi_2417
AVN, Avin_23410(pfkB)
ILO, IL1211(pfkA)
CPS, CPS_0649(pfkA)
PAT, Patl_2087 Patl_2592
PSM, PSM_A1533
SDE, Sde_0935
MAQ, Maqu_2402
AMC, MADE_1009720
ALT, ambt_07825
GAG, Glaag_2174
PIN, Ping_0591 Ping_1316
TTU, TERTU_0635(pfkA)
CBU, CBU_0341(pfkA) CBU_1273
CBS, COXBURSA331_A0448(pfkA) COXBURSA331_A1422
CBD, CBUD_1362 CBUD_1738(pfkA)
CBG, CbuG_0736 CbuG_1664(pfkA)
CBC, CbuK_0538(pfkA) CbuK_1135
LPN, lpg1913
LPF, lpl1877(pfp)
LPP, lpp1888(pfp)
LPC, LPC_1367(pfp)
LPA, lpa_02768(pfkA)
LLO, LLO_1234(pfp)
MCA, MCA1251
TCX, Tcr_1583
NOC, Noc_2846
NHL, Nhal_0506 Nhal_1578
NWA, Nwat_0242
ALV, Alvin_2908
HHA, Hhal_2318
TGR, Tgr7_0282 Tgr7_0355
TKM, TK90_0054 TK90_0085
HNA, Hneap_1858
HCH, HCH_05798(pfkA)
CSA, Csal_1534
HEL, HELO_2186(pfkA)
ABO, ABO_1989(pfkA)
KKO, Kkor_0601
AHA, AHA_2383(pfkA)
ASA, ASA_2233(pfkA)
AVR, B565_1833
TAU, Tola_0407 Tola_1457
BCI, BCI_0171(pfkA)
RMA, Rmag_0094
VOK, COSY_0098(pfkA)
CVI, CV_1745(pfkA)
RPI, Rpic_4388
RPF, Rpic12D_4520
BMA, BMAA0117(pfk)
BMV, BMASAVP1_1282(pfk)
BMN, BMA10247_A0142(pfk)
BPS, BPSS1957
BPM, BURPS1710b_A1061(pfk)
BPL, BURPS1106A_A2659
BPD, BURPS668_A2801(pfk)
BTE, BTH_II0415
BVI, Bcep1808_6309
BCJ, BCAM0311
BAC, BamMC406_6213
BMU, Bmul_5875
BMJ, BMULJ_05650(fruK)
BPH, Bphy_1098
BGF, BC1003_4739
BUJ, BurJV3_3336
RFR, Rfer_0362 Rfer_1479
POL, Bpro_2756
PNA, Pnap_2080 Pnap_3557
AJS, Ajs_3260
DIA, Dtpsy_2613
DAC, Daci_5255
DEL, DelCs14_1360
VAP, Vapar_0440
VPE, Varpa_0462
CTT, CtCNB1_0988
ADN, Alide_3167
ADK, Alide2_1280
MPT, Mpe_A2776
LCH, Lcho_0041 Lcho_3976
NEU, NE1934
NET, Neut_0787
NIT, NAL212_2937
NII, Nit79A3_0235
NMU, Nmul_A0740
EBA, ebA5088(pfkA)
AZO, azo1474(pfkA)
DAR, Daro_3204
TMZ, Tmz1t_3211
TBD, Tbd_1502
APP, CAP2UW1_0237
SLT, Slit_1358
GCA, Galf_1238 Galf_1572
WSU, WS1028(ftsI)
TDN, Suden_0549
SUA, Saut_1597
SKU, Sulku_1881
NIS, NIS_0897(pfkA)
SUN, SUN_1472(pfkA)
NSA, Nitsa_1009
NAM, NAMH_0775
GSU, GSU1703(pfk) GSU2068
GME, Gmet_0938 Gmet_1640
GUR, Gura_1703 Gura_2076
GLO, Glov_2511 Glov_2519
GBM, Gbem_2448(pfk-2) Gbem_2820(pfk-3) Gbem_3014(pfk-1) Gbem_3234(pfk-4)
GEO, Geob_2879 Geob_3464 Geob_3759
GEM, GM21_1031 GM21_1236 GM21_1392 GM21_1769
GEB, GM18_2306 GM18_2688 GM18_3001
PCA, Pcar_1508(pfkA) Pcar_1542
DBA, Dbac_2129
BBA, Bd3384
DPS, DP1909
DAK, DaAHT2_1265
DPR, Despr_0612 Despr_2594
DOL, Dole_0860
DAL, Dalk_1022
DAT, HRM2_38050(pfkA2)
AFW, Anae109_1732
ANK, AnaeK_1792
MXA, MXAN_2372(pfkB) MXAN_4016(pfkA) MXAN_6373(pfkA)
MFU, LILAB_14605 LILAB_19560 LILAB_28205
SUR, STAUR_1415(pfkA) STAUR_5137
SCL, sce5865(pfk)
HOH, Hoch_2276
SAT, SYN_00886
SFU, Sfum_3671
HMR, Hipma_0795
MLO, mll5025
MCI, Mesci_0410
MOP, Mesop_0454
MES, Meso_3467
PLA, Plav_0616
BJA, bll2850 blr4659
BRA, BRADO1575
BBT, BBta_6479
RPA, RPA0379(pfkB)
RPB, RPB_0444
RPC, RPC_0700
RPD, RPD_0347
RPE, RPE_0769
RPT, Rpal_0383
RPX, Rpdx1_0216
NHA, Nham_0911
PZU, PHZ_c0451
RSP, RSP_2334(pfkB)
RSH, Rsph17029_1009
RSQ, Rsph17025_1592
RSK, RSKD131_0660
RCP, RCAP_rcc01137(pfkB)
PDE, Pden_0882
DSH, Dshi_1621
NPP, PP1Y_AT24049
SWI, Swit_3015
RRU, Rru_A1047 Rru_A3407
RCE, RC1_1852
MAG, amb2301 amb4075
AZL, AZL_017430(pfk)
MGM, Mmc1_1917 Mmc1_3024
DIN, Selin_0862
BSU, BSU29190(pfkA)
BSS, BSUW23_14190(pfkA)
BSN, BSn5_05425
BHA, BH3164(pfkA)
BAN, BA_4844(pfkA)
BAR, GBAA_4844(pfkA)
BAT, BAS4493(pfkA)
BAH, BAMEG_4875(pfkA)
BAI, BAA_4855(pfkA)
BAL, BACI_c45910(pfkA)
BCE, BC4600(pfkA)
BCA, BCE_4730(pfkA)
BCZ, BCZK4340(pfkA)
BCR, BCAH187_A4725(pfkA)
BCB, BCB4264_A4709(pfkA)
BCU, BCAH820_4714(pfkA)
BCG, BCG9842_B0528(pfkA)
BCQ, BCQ_4403(pfk)
BCX, BCA_4709(pfkA)
BCY, Bcer98_3283
BTK, BT9727_4328(pfkA)
BTL, BALH_4182(pfk)
BTB, BMB171_C4241(pfkA)
BWE, BcerKBAB4_4429
BLI, BL00403(pfkA)
BLD, BLi03068(pfkA)
BAY, RBAM_026240(pfkA)
BAO, BAMF_2722(pfkA)
BAE, BATR1942_12380
BCL, ABC2719(pfkA) ABC3502
BPU, BPUM_2562(pfkA)
BPF, BpOF4_03385(pfkA)
BMQ, BMQ_3992(pfkA)
BMD, BMD_3977(pfkA)
BSE, Bsel_1349 Bsel_2008
BCO, Bcell_3225
BCK, BCO26_1968
OIH, OB2172(pfkA)
GKA, GK2740(pfkA)
GTN, GTNG_2664
GTH, Geoth_0897
GWC, GWCH70_2686
GYC, GYMC61_0777
GYA, GYMC52_2775
GCT, GC56T3_0753
GMC, GY4MC1_0828
AFL, Aflv_0499(pfkA)
SAU, SA1521(pfkA)
SAV, SAV1698(pfkA)
SAW, SAHV_1684(pfk)
SAH, SaurJH1_1789
SAJ, SaurJH9_1755
SAM, MW1642(pfkA)
SAS, SAS1626(pfkA)
SAR, SAR1777(pfkA)
SAC, SACOL1746(pfkA)
SAX, USA300HOU_1685(pfkA)
SAA, SAUSA300_1645(pfkA)
SAO, SAOUHSC_01807
SAE, NWMN_1593(pfk)
SAD, SAAV_1688(pfkA)
SAB, SAB1557c(pfkA)
SEP, SE1374(pfkA)
SER, SERP1262(pfkA)
SHA, SH1226(pfkA)
SSP, SSP1068
SCA, Sca_1304(pfk)
SLG, SLGD_01231
SSD, SPSINT_1455
LMO, lmo1571(pfkA)
LMF, LMOf2365_1593(pfkA)
LMH, LMHCC_0998(pfkA)
LMC, Lm4b_01582(pfk)
LMN, LM5578_1717(pfkA)
LMY, LM5923_1669(pfkA)
LIN, lin1606(pfkA)
LWE, lwe1584(pfk)
LSG, lse_1486(pfk)
ESI, Exig_2212
EAT, EAT1b_0670
MCL, MCCL_1365(pfk)
BBE, BBR47_13830(pfk)
PJD, Pjdr2_2123
GYM, GYMC10_4612
PPY, PPE_01700
PPM, PPSC2_c1896
PMS, KNP414_01595(pfkA)
AAC, Aaci_2135
BTS, Btus_2431
LLA, L0002(pfkA)
LLK, LLKF_1424(pfkA)
LLC, LACR_1457
LLM, llmg_1118(pfk)
SPY, SPy_1283(pfkA)
SPZ, M5005_Spy_0989(pfkA)
SPM, spyM18_1231(pfkA)
SPG, SpyM3_0913(pfkA)
SPS, SPs1112(pfkA)
SPH, MGAS10270_Spy1103(pfk)
SPI, MGAS10750_Spy1139(pfk)
SPJ, MGAS2096_Spy1049(pfk)
SPK, MGAS9429_Spy1093(pfk)
SPF, SpyM50812(pfk)
SPA, M6_Spy0976(pfkA)
SPB, M28_Spy0961(pfkA)
SOZ, Spy49_1018c(pfk)
SPN, SP_0896(pfkA)
SPD, SPD_0789(pfkA)
SPR, spr0796(pfkA)
SPW, SPCG_0872(pfkA)
SPX, SPG_0822(pfkA)
SNE, SPN23F_08180(pfk)
SPV, SPH_1003(pfkA)
SNM, SP70585_0935(pfkA)
SJJ, SPJ_0837(pfkA)
SPP, SPP_0904(pfkA)
SNT, SPT_1303(pfkA)
SNC, HMPREF0837_11594(pfkA)
SNB, SP670_1425(pfkA)
SNP, SPAP_0925
SAG, SAG0940(pfkA)
SAN, gbs0930(pfkA)
SAK, SAK_1036(pfkA)
SMU, SMU.1191(pfkA)
SMC, SmuNN2025_0855(pfkA)
STC, str1197(pfkA)
STL, stu1197(pfkA)
STE, STER_1164
SSA, SSA_0847(pfk)
SSU, SSU05_0543
SSV, SSU98_0538 SSU98_0539 SSU98_0540 SSU98_0541
SSB, SSUBM407_1320(pfk)
SSI, SSU0494(pfk)
SSS, SSUSC84_0478(pfk)
SST, SSUST3_1282(pfk)
SGO, SGO_1340
SEQ, SZO_10830
SEZ, Sez_0881(pfkA)
SEU, SEQ_1011
SUB, SUB1001(pfk)
SDS, SDEG_1095(pfkA)
SGA, GALLO_0989(pfkA)
SGG, SGGBAA2069_c09640(pfkA)
SMB, smi_1004(pfkA)
SOR, SOR_1149(pfkA)
STK, STP_0833(pfk)
STB, SGPB_0854(pfkA)
SCP, HMPREF0833_10249(pfkA)
SSR, SALIVB_1192(pfkA)
STD, SPPN_04535
LPL, lp_1898(pfkA)
LPJ, JDM1_1596(pfkA)
LPS, LPST_C1524(pfkA)
LJO, LJ1079
LJF, FI9785_1130(pfk)
LAC, LBA0956
LAI, LAC30SC_04805
LSA, LSA1033(pfk)
LSL, LSL_0866(pfkA)
LDB, Ldb0838(pfk1) Ldb1772(pfk2)
LBU, LBUL_0761 LBUL_1642
LDE, LDBND_0760 LDBND_1662(pfk2)
LCA, LSEI_1364
LCB, LCABL_15840(pfkA)
LCZ, LCAZH_1351
LGA, LGAS_0881
LHE, lhv_1049
LRH, LGG_01374(pfkA)
LRL, LC705_01389(pfkA)
LCR, LCRIS_01007(pfk)
LAM, LA2_04985
LKE, WANG_0712(pfk)
PPE, PEPE_1093
EFA, EF1045(pfk)
MPS, MPTP_1341
AUR, HMPREF9243_1373(pfkA)
CRN, CAR_c10100(pfkA)
CAC, CA_C0517(pfkA)
CAE, SMB_G0527(pfkA)
CPE, CPE0361(pfkA) CPE1185(pfk) CPE1467(pfk)
CPF, CPF_0350(pfkA) CPF_1389 CPF_1718
CPR, CPR_0341(pfkA) CPR_1203 CPR_1446
CTC, CTC02490(pfkA)
CNO, NT01CX_1297
CTH, Cthe_0347 Cthe_1261
CDF, CD3110 CD3395(pfkA)
CDC, CD196_2901 CD196_3171(pfkA)
CDL, CDR20291_2948 CDR20291_3217(pfkA)
CBO, CBO3373(pfkA)
CBA, CLB_3429(pfkA)
CBH, CLC_3316(pfkA)
CBY, CLM_3835(pfkA)
CBL, CLK_2805(pfkA)
CBK, CLL_A0769 CLL_A3337(pfkA)
CBB, CLD_1135(pfkA)
CBI, CLJ_B3676(pfkA)
CBN, CbC4_0446
CBT, CLH_0735 CLH_3087(pfkA)
CBF, CLI_3557(pfkA)
CBE, Cbei_0584 Cbei_0998 Cbei_4852
CKL, CKL_3559(pfk1)
CKR, CKR_3138
CPY, Cphy_0336 Cphy_3345
CCE, Ccel_2223 Ccel_2612
CLJ, CLJU_c03250(pfk)
CSH, Closa_0173 Closa_1090 Closa_2274
CCB, Clocel_0388 Clocel_1603 Clocel_2901
CST, CLOST_0922 CLOST_1648(pfkA)
CLS, CXIVA_05280
AMT, Amet_4069
AOE, Clos_0585
ASF, SFBM_0083(pfkA) SFBM_1234
STH, STH837
SWO, Swol_1170 Swol_2041
SLP, Slip_1114 Slip_1702
VPR, Vpar_1073
SSG, Selsp_0197 Selsp_1298 Selsp_2288
AFN, Acfer_0254
DSY, DSY1413 DSY1501 DSY1839
DHD, Dhaf_2529 Dhaf_2633 Dhaf_2995
DRM, Dred_1798 Dred_2313
DAE, Dtox_0814 Dtox_2143
DCA, Desca_1361 Desca_1697
DKU, Desku_1391 Desku_1652
DRU, Desru_1354 Desru_2175 Desru_3861
PTH, PTH_1386(pfkA) PTH_2215(pfkA)
DAU, Daud_1055 Daud_1116
TJR, TherJR_2326 TherJR_2349
SGY, Sgly_0709 Sgly_2073
HMO, HM1_0078(pfkA) HM1_0103(pfk)
FMA, FMG_0486 FMG_1002
APR, Apre_0676 Apre_1588
EEL, EUBELI_00060 EUBELI_00064 EUBELI_00483 EUBELI_01680
ERE, EUBREC_0327 EUBREC_1058 EUBREC_2314
ELM, ELI_3072
BPB, bpr_I0224(pfkA1) bpr_I1068(pfkA2) bpr_I2648(pfkA3) bpr_I2767(pfkA4)
CLE, Clole_2584 Clole_2600
EHA, Ethha_1347
RAL, Rumal_0431 Rumal_1631 Rumal_2486
TMR, Tmar_0380
SAY, TPY_3645(pfk)
CLO, HMPREF0868_0847 HMPREF0868_1133(pfkA)
TTE, TTE1816(pfkA)
TEX, Teth514_0971 Teth514_1194
THX, Thet_1716 Thet_1945
TPD, Teth39_0494 Teth39_0683
TIT, Thit_0261 Thit_1630
TMT, Tmath_1620
TBO, Thebr_0507 Thebr_0701
TWI, Thewi_1787 Thewi_2059
CHY, CHY_1143(pfkA) CHY_1349
TEP, TepRe1_0478 TepRe1_0710 TepRe1_2209
MTA, Moth_1234 Moth_1738 Moth_1868
ADG, Adeg_0439 Adeg_1234
CSC, Csac_1830 Csac_2366
ATE, Athe_1265 Athe_1824
COB, COB47_1292 COB47_1636
CHD, Calhy_0923 Calhy_1461
COW, Calow_1056 Calow_1568
CKI, Calkr_0849 Calkr_1246
CKN, Calkro_0890 Calkro_1436
CLC, Calla_0653 Calla_1483
TOC, Toce_0870
TTM, Tthe_0770
TXY, Thexy_0634 Thexy_0959
CPO, COPRO5265_0668 COPRO5265_0860 COPRO5265_0862
MAS, Mahau_1865 Mahau_2254
NTH, Nther_2004
HOR, Hore_03210
HAS, Halsa_0309 Halsa_1502 Halsa_1817
AAR, Acear_1861
ERH, ERH_1011(pfkA) ERH_1051
MGE, MG_215(pfkA)
MPN, MPN302(pfkA)
MPU, MYPU_6010(pfkA)
MPE, MYPE5920(pfkA)
MGA, MGA_0157(pfkA)
MMY, MSC_0260(pfk)
MML, MLC_2780(pfk)
MMO, MMOB3200(pfkA)
MHY, mhp269(pfkA)
MHJ, MHJ_0107(pfkA)
MHP, MHP7448_0111(pfkA)
MSY, MS53_0296(pfk)
MCP, MCAP_0220(pfkA)
MCO, MCJ_005670(pfkA)
MCD, MCRO_0483(pfkA)
MHR, MHR_0547(pfkA)
MFR, MFE_03980(pfk)
MFM, MfeM64YM_0504(pfkA)
MLC, MSB_A0268(pfkA)
MHA, HF1_14730(pfkA)
MSS, MSU_0702(pfk)
MSK, Msui06570(pfkA)
