Species, Gene
BAB, bbp326(ptsG)
BAP, BUAP5A_349(ptsG)
BAU, BUAPTUC7_350(ptsG)
ENT, Ent638_1616
ENC, ECL_02535 ECL_02642
ESC, Entcl_2692
ESA, ESA_02243 ESA_03416
CTU, CTU_05500 CTU_16800(ptsG)
KPN, KPN_00432 KPN_01099(ptsG)
KPE, KPK_3457(ptsG) KPK_4248
KPU, KP1_1307(ptsG) KP1_2090(ptsG)
KVA, Kvar_3281 Kvar_3949
CKO, CKO_01957
CRO, ROD_11631(ptsG)
SPE, Spro_1914
PMR, PMI2292(ptsG)
EIC, NT01EI_2361
ETR, ETAE_2090
HDE, HDEF_0454(ptsG)
DDA, Dd703_1595
DDC, Dd586_1594 Dd586_2929
DDD, Dda3937_02252(ptsG)
DZE, Dd1591_1281 Dd1591_1631
PAM, PANA_1491(ptsG)
PVA, Pvag_0902(ptsG) Pvag_pPag30117(ganC)
PAO, Pat9b_1490
RAH, Rahaq_1591 Rahaq_2947
HAP, HAPS_2092(ptsEII)
PMU, PM1752(ptsG)
AAP, NT05HA_0337 NT05HA_0405
AAT, D11S_1163
VCH, VC2013
VCO, VC0395_A1599(ptsG)
VCM, VCM66_1937(ptsG)
VCJ, VCD_002354
VVU, VV1_2999
VVY, VV1283
VVM, VVM_02804 VVM_03516
VPA, VP2046 VPA1667
VHA, VIBHAR_02900
VSP, VS_1032
VEX, VEA_001058 VEA_003004
VFI, VF_1732(ptsG)
VFM, VFMJ11_1859(ptsG)
VSA, VSAL_I2252(ptsG)
PPR, PBPRA1203 PBPRA1760 PBPRB1584
VAN, VAA_03335
SON, SO_1623(ptsG)
SDN, Sden_1548
SFR, Sfri_1264 Sfri_2652
SAZ, Sama_1133
SBL, Sbal_1444
SBM, Shew185_1439
SBN, Sbal195_1475
SBP, Sbal223_2908
SLO, Shew_2641
SPC, Sputcn32_1342
SSE, Ssed_3167
SHE, Shewmr4_2648
SHM, Shewmr7_2715
SHN, Shewana3_2822
SHW, Sputw3181_2761
SWD, Swoo_3287
PIN, Ping_2725
FBL, Fbal_0947
AHA, AHA_1168(ptsG)
ASA, ASA_2377 ASA_3166(ptsG)
AVR, B565_3060
TAU, Tola_0836
CVI, CV_0979(ptsG)
BGE, BC1002_5514
AZL, AZL_b05000
BAN, BA_0372
BAR, GBAA_0372
BAT, BAS0358
BAH, BAMEG_0436
BAI, BAA_0433
BAL, BACI_c04210(ptsG1)
BCE, BC0414
BCA, BCE_0482
BCZ, BCZK0344(ptsG)
BCR, BCAH187_A0471
BCB, BCB4264_A0428
BCU, BCAH820_0414
BCG, BCG9842_B4890
BCQ, BCQ_0446(ptsG)
BCX, BCA_0448
BCY, Bcer98_0355
BTK, BT9727_0348(ptsG)
BTL, BALH_0370(ptsG)
BTB, BMB171_C0356
BWE, BcerKBAB4_0353
BPF, BpOF4_07425(ptsG)
BMQ, BMQ_5218
BMD, BMD_5204
SAX, USA300HOU_0203 USA300HOU_2530(ptsG)
ESI, Exig_2910
EAT, EAT1b_1984
MCL, MCCL_0278
PPY, PPE_00251
PPM, PPSC2_c0310
SPY, SPy_1986
SPZ, M5005_Spy_1692
SPM, spyM18_2050(ptsG)
SPG, SpyM3_1708
SPS, SPs1708
SPH, MGAS10270_Spy1759
SPI, MGAS10750_Spy1784
SPJ, MGAS2096_Spy1714
SPK, MGAS9429_Spy1693
SPF, SpyM51662
SPA, M6_Spy1698
SPB, M28_Spy1678
SOZ, Spy49_1636c
SPN, SP_0758 SP_1684
SPD, SPD_0661(exp5) SPD_1496
SPR, spr0668(ptsG) spr1528(PTS-EII)
SPW, SPCG_0708(ptsG) SPCG_1657
SPX, SPG_0690 SPG_1592
SNE, SPN23F_06810 SPN23F_16840
SPV, SPH_0859
SNM, SP70585_0803 SP70585_1723
SJJ, SPJ_0696 SPJ_1578
SPP, SPP_0769 SPP_1701
SNT, SPT_0772 SPT_1622
SNC, HMPREF0837_11041
SNB, SP670_1566
SNP, SPAP_0733
SAG, SAG1959
SAN, gbs1946
SAK, SAK_1920
SMU, SMU.2047(ptsG)
SMC, SmuNN2025_1792(ptsG)
STC, str0190 str0191
STL, stu0190 stu0191
SSA, SSA_1809(ptsG)
SSU, SSU05_0398 SSU05_1401
SSV, SSU98_0384 SSU98_1414
SSB, SSUBM407_0346 SSUBM407_0560
SSI, SSU0357 SSU1229
SSS, SSUSC84_0343 SSUSC84_1262
SST, SSUST3_0394
SGO, SGO_0505
SEQ, SZO_01860 SZO_17150
SEZ, Sez_1783
SEU, SEQ_0316 SEQ_2021
SUB, SUB0236
SDS, SDEG_0222
SGA, GALLO_0149
SGG, SGGBAA2069_c01660(ptsG)
SMB, smi_1404(ptsG)
LJO, LJ0610
LGA, LGAS_1688
EFA, EF0958
AUR, HMPREF9243_0729(ptsG)
CRN, CAR_c18320
CAC, CA_C0570 CA_C3425(glvC)
CPE, CPE0419
CPF, CPF_0422
CPR, CPR_0418
CTC, CTC00278
CNO, NT01CX_0332 NT01CX_1858
CBO, CBO1605
CBA, CLB_1624 CLB_2695
CBH, CLC_1633 CLC_2628
CBY, CLM_1847 CLM_3120
CBL, CLK_1068 CLK_2139
CBK, CLL_A0331
CBB, CLD_1820 CLD_2949
CBI, CLJ_B1713 CLJ_B2981
CBT, CLH_0316
CBF, CLI_1685 CLI_2804
DRM, Dred_0332
CLE, Clole_0765
ERH, ERH_0255(ptsG.3)
MGE, MG_069(ptsG)
MPN, MPN207(ptsG)
MPU, MYPU_0170(ptsG) MYPU_3640
MPE, MYPE1340(ptsG) MYPE1730(ptsG) MYPE5910
MGA, MGA_0855(ptsG_1)
MMY, MSC_0054(ptsG) MSC_0860(ptsG) MSC_0873(ptsG)
MSY, MS53_0147(ptsG)
MCP, MCAP_0094(ptsG) MCAP_0155 MCAP_0844
MLC, MSB_A0205
MFL, Mfl214
PAC, PPA0294
NML, Namu_0308
BBU, BB0645
BGA, BG0668(ptsG)
BAF, BAPKO_0689(ptsG)
