"16S rRNA Count","Group","GC Content","Endospores","Has ADP PFK","Sequencing Center","Taxonomy ID","Pathogenic in","Genbank accessions","Paralogs Count","Motility","Gram Stain","Refseq accessions","Has Any 1PFK","Genome Name","Body Site","Metabolism","MetaCyc %","Has Any Gluconate Dehydratase","Status","Oxygen Req NCBI","Oxygen Requirement IMG","RefSeq project ID","Diseases","Super Kingdom","Paralogs %","KEGG Count","IMG Pathwawy Count","GOLD ID","KEGG ID","Ecosystem Type","Isolation","Temperature Range","Ecosystem Category","Has EDA","Project ID","Class","MetaCyc Count","Optimal temp.","Gene Count","Sporulation","Sequence Status","IMG Pathway %","Organism Name","Ecosystem","IMG Submission ID","Disease","Proposal Name","Salinity","GenBank Project ID","Has ZWF","Ecosystem Subtype","Has 6PGL","Temp. range","Has EDD","Genus","Order","Energy Category","Energy Source","Genome Size","Cell Arrangement","NCBI Taxon ID","Domain","Body Subsite","Habitat","Family","Taxon Object ID","Has Gluconokinase","Has Rubisco","Biotic Relationships","Arrangment","Has Gluconate Dehydratase","Strain","Shape","Phylum","KEGG %","Has 1PFK","Has PPi PFK","Has Phosphoketolase","Cell Shape","Specific Ecosystem","RefSeq Project ID","Species","Phenotype"
4,"Deltaproteobacteria",60.5,,"FALSE","DOE Joint Genome Institute",644736371,,"CP001661",740,"Yes",0,0,"FALSE","Geobacter sp. M21",,"Metal reducer",16.37,"FALSE","Finished","Anaerobic","Anaerobe",59037,"None","Bacteria",17.53,1131,305,"Gc01078","gem",,"Free living","Mesophile",,"FALSE",20729,"Deltaproteobacteria",691,0,4222,"Nonsporulating","complete",7.22,"Geobacter sp. M21",,,,"Single Isolate (Lovley) DNA Sequencing",,20729,"FALSE",,"FALSE",,"FALSE","Geobacter","Desulfuromonadales","Inorganic","Chemolithotroph",4.74581,"Singles",443144,"Bacteria",,"Aquatic","Geobacteraceae",644736371,"FALSE","FALSE","Free living",,"FALSE","M21","Rod","Proteobacteria",26.79,"FALSE","FALSE","FALSE","Rod-shaped",,59037,"sp.",
8,"Gammaproteobacteria",53.6,,"FALSE","DOE Joint Genome Institute",639633057,,"CP000507",349,,0,0,"FALSE","Shewanella amazonensis SB2B",,"Metal reducer",19.15,"TRUE","Finished","Facultative","Facultative",58257,"None","Bacteria",9.21,1083,348,"Gc00477","saz",,"Free living","Mesophile",,"TRUE",13385,"Gammaproteobacteria",726,37,3791,"Nonsporulating","complete",9.18,"Shewanella amazonensis SB2B",,,,"zzz",,13385,"TRUE",,"TRUE","Mesophilic","TRUE","Shewanella","Alteromonadales","Organic","Heterotroph",4.3,"Pairs, Singles",326297,"Bacteria",,"Multiple","Shewanellaceae",639633057,"FALSE","FALSE","Free living",,"FALSE","SB2B","Rod","Proteobacteria",28.57,"FALSE","FALSE","TRUE","Rod-shaped",,58257,"amazonensis",
2,"Euryarchaeota",31.3,"No","TRUE","J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign",638154505,"No","L77117,L77118,L77119",188,"Yes",,0,"TRUE","Methanocaldococcus jannaschii DSM 2661",,"Methanogen",18.98,"FALSE","Finished","Anaerobic","Obligate anaerobe",57713,"None","Archaea",10.2,535,207,"Gc00004","mja",,"Free living","Hyperthermophile",,"FALSE",102,"Methanococci",350,85,1844,"Nonsporulating","complete",11.23,"Methanocaldococcus jannaschii DSM 2661",,,,"zzz","Moderate halophilic",102,"FALSE",,"FALSE","Hyperthermophilic","FALSE","Methanocaldococcus","Methanococcales","Inorganic","Lithotroph",1.73997,,243232,"Archaea",,"Aquatic","Methanocaldococcaceae",638154505,"FALSE","TRUE","Free living",,"FALSE","DSM 2661","Irregular coccus","Euryarchaeota",29.01,"FALSE","FALSE","FALSE","Coccus-shaped",,57713,"jannaschii","Piezophile"
2,"Gammaproteobacteria",63.6,,"FALSE","J. Craig Venter Institute, Univ of Bergen, Norway",637000166,"No","AE017282",334,,0,0,"FALSE","Methylococcus capsulatus Bath",,,21.2,"TRUE","Finished","Aerobic","Aerobe",57607,"None","Bacteria",10.91,921,305,"Gc00217","mca",,"Free living","Thermophile",,"TRUE",21,"Gammaproteobacteria",649,45,3061,,"complete",9.96,"Methylococcus capsulatus str. Bath",,,,"zzz",,21,"TRUE",,"TRUE","Thermophilic","TRUE","Methylococcus","Methylococcales","C1","Methanotroph",3.3,,243233,"Bacteria",,"Multiple","Methylococcaceae",637000166,"FALSE","TRUE","Free living","Pairs","FALSE","str. Bath","Coccus","Proteobacteria",30.09,"FALSE","FALSE","TRUE","Coccus-shaped",,57607,"capsulatus",
3,"Deinococcus-Thermus",66.6,,"FALSE","J. Craig Venter Institute",637000092,"No","AE000513,AE001825,AE001826,AE001827",291,,0,0,"TRUE","Deinococcus radiodurans USUHS (R1)",,,17.88,"FALSE","Finished","Aerobic","Aerobe",57665,"None","Bacteria",8.96,874,304,"Gc00024","dra",,"Free living","Mesophile",,"FALSE",65,"Deinococci",581,"30-37",3249,,"complete",9.36,"Deinococcus radiodurans R1",,,,"zzz",,65,"TRUE",,"FALSE","Mesophilic","FALSE","Deinococcus","Deinococcales","Organic","Chemoorganotroph",3.28464,,243230,"Bacteria",,"Terrestrial","Deinococcaceae",637000092,"TRUE","FALSE","Free living","Pairs, Tetrads","FALSE","R1","Coccus","Thermi",26.9,"TRUE","FALSE","FALSE","Coccus-shaped",,57665,"radiodurans","Radiation resistant"
2,"Deltaproteobacteria",60.9,,"FALSE","J. Craig Venter Institute, Univ of Massachusetts",637000120,"No","AE017180",549,"Yes",0,0,"FALSE","Geobacter sulfurreducens PCA",,"Toxic metal reducer",16.78,"FALSE","Finished","Anaerobic","Anaerobe",57743,"None","Bacteria",15.46,984,306,"Gc00166","gsu",,"Free living","Mesophile",,"FALSE",192,"Deltaproteobacteria",596,30,3552,"Nonsporulating","complete",8.61,"Geobacter sulfurreducens PCA",,,,"zzz",,192,"FALSE",,"FALSE","Mesophilic","FALSE","Geobacter","Desulfuromonadales","Inorganic","Chemolithotroph",3.8,"Singles",243231,"Bacteria",,"Multiple","Geobacteraceae",637000120,"FALSE","FALSE","Free living",,"FALSE","PCA","Rod","Proteobacteria",27.7,"FALSE","FALSE","FALSE","Rod-shaped",,57743,"sulfurreducens",
1,"Crenarchaeota",56.5,"No","FALSE","DOE Joint Genome Institute",640753029,,"CP000816",54,"Yes",0,0,"FALSE","Ignicoccus hospitalis KIN4/I, DSM 18386",,,18.58,"FALSE","Finished","Anaerobic","Anaerobe",58365,"None","Archaea",3.61,460,143,"Gc00636","iho",,"Symbiotic","Hyperthermophile",,"FALSE",13914,"Thermoprotei",278,0,1496,"Nonsporulating","complete",9.56,"Ignicoccus hospitalis KIN4/I",,,,"Ignicoccus hospitalis KIN4/I",,13914,"FALSE",,"FALSE","Hyperthermophilic","FALSE","Ignicoccus","Desulfurococcales","Inorganic","Chemolithoautotroph",1.3,"Pairs, Singles",453591,"Archaea",,"Aquatic","Desulfurococcaceae",640753029,"FALSE","FALSE","Symbiotic","Singles, Pairs","FALSE","KIN4/I","Coccus","Crenarchaeota",30.75,"FALSE","FALSE","FALSE","Coccus-shaped",,58365,"hospitalis",
1,"Crenarchaeota",55.1,"No","FALSE","DOE Joint Genome Institute",640427135,"No","CP000660",347,"Yes",,0,"FALSE","Pyrobaculum arsenaticum PZ6, DSM 13514",,,16.56,"FALSE","Finished","Anaerobic","Anaerobe",58409,"None","Archaea",14.4,622,178,"Gc00540","pas",,"Free living","Hyperthermophile",,"FALSE",15582,"Thermoprotei",399,0,2410,"Nonsporulating","complete",7.39,"Pyrobaculum arsenaticum DSM 13514",,,,"Pyrobaculum",,15582,"FALSE",,"FALSE","Hyperthermophilic","FALSE","Pyrobaculum","Thermoproteales","Both","Chemolithotroph, Organotroph, Autotroph",2.12108,,340102,"Archaea",,"Aquatic","Thermoproteaceae",640427135,"FALSE","FALSE","Free living",,"FALSE","DSM 13514","Rod","Crenarchaeota",25.81,"FALSE","FALSE","FALSE","Rod-shaped",,58409,"arsenaticum","Non-Pathogen"
1,"Bacteroidetes/Chlorobi",50.1,,"FALSE","DOE Joint Genome Institute",642555149,"No","CP001108,CP001109",294,"No",0,0,"FALSE","Prosthecochloris aestuarii SK413, DSM 271",,"Nitrogen fixation",21.91,"FALSE","Finished",,,58151,"None","Bacteria",12,769,272,"Gc00835","paa",,"Free living","Mesophile",,"FALSE",12749,"Chlorobia",537,30,2451,,"complete",11.1,"Prosthecochloris aestuarii DSM 271",,,"None","zzz",,12749,"TRUE",,"TRUE","Mesophilic","FALSE","Prosthecochloris","Chlorobiales","Inorganic","Photosynthetic",2.567,,290512,"Bacteria",,"Aquatic","Chlorobiaceae",642555149,"FALSE","TRUE","Free living",,"FALSE","DSM 271","Coccus","Chlorobi",31.37,"FALSE","FALSE","TRUE","Coccus-shaped",,58151,"aestuarii","Green sulfur"
2,"Actinobacteria",74.1,,"FALSE","DOE Joint Genome Institute, DSMZ",646564520,"No","CP001964",435,"Yes",0,0,"TRUE","Cellulomonas flavigena 134, DSM 20109",,"Biomass degrader, Cellulose degrader, Nitrate reducer, Xylan degrader",15.65,"FALSE","Finished","Facultative","Facultative",48821,"None","Bacteria",11.5,889,264,"Gc01326","cfl",,"Free living","Mesophile",,"TRUE",19707,"Actinobacteria",592,0,3783,"Nonsporulating","complete",6.98,"Cellulomonas flavigena DSM 20109",,,"None","A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",,19707,"TRUE",,"TRUE","Mesophilic","FALSE","Cellulomonas","Actinomycetales","Organic","Chemoorganotroph",4.1,,446466,"Bacteria",,"Terrestrial","Cellulomonadaceae",646564520,"TRUE","FALSE","Free living",,"FALSE","DSM 20109","Rod","Actinobacteria",23.5,"FALSE","TRUE","TRUE","Rod-shaped",,48821,"flavigena",
