H2O,C00001,H2O2,C00027,0.75
2-Oxopropanoate,C00022,3-Aminopropanoate,C00099,0.705882352941
2-Oxopropanoate,C00022,3-Nitropropanoate,C05669,0.705882352941
Iron,C00023,Tiron,C11159,0.8
Glutamate,C00025,D-Glutamate,C00217,0.818181818182
Glutamate,C00025,DL-Glutamate,C00302,0.75
Glutamate,C00025,Isoglutamate,C05574,0.75
2-Oxoglutarate,C00026,2-Oxoglutaramate,C00940,0.8125
2-Oxoglutarate,C00026,2-Hydroxyglutarate,C02630,0.722222222222
2-Oxoglutarate,C00026,Oxaloglutarate,C05533,0.714285714286
Hydrogen peroxide,C00027,Hydrogen oxide,C16844,0.764705882353
Hydrogen peroxide,C00027,Hydrogen chloride,C01327,0.705882352941
Hydrogen peroxide,C00027,Hydrogen selenide,C01528,0.705882352941
Hydrogen peroxide,C00027,Hydrogen iodide,C05590,0.705882352941
Hydrogen peroxide,C00027,Hydrogen fluoride,C16487,0.705882352941
UDP-glucose,C00029,GDP-glucose,C00394,0.727272727273
UDP-glucose,C00029,ADP-glucose,C00498,0.727272727273
UDP-glucose,C00029,CDP-glucose,C00501,0.727272727273
Grape sugar,C00031,Cane sugar,C00089,0.727272727273
Acetate,C00033,Triacetate,C01757,0.7
Ethanoic acid,C00033,Methanoic acid,C00058,0.928571428571
GDP,C00035,dGDP,C00361,0.75
Guanosine 5'-diphosphate,C00035,Inosine 5'-diphosphate,C00104,0.875
Guanosine 5'-diphosphate,C00035,Cytidine 5'-diphosphate,C00112,0.75
Guanosine 5'-diphosphate,C00035,6-Thioinosine-5'-diphosphate,C16616,0.714285714286
Guanosine 5'-diphosphate,C00035,2'-Deoxyinosine 5'-diphosphate,C01344,0.7
Guanosine diphosphate,C00035,Guanosine 5'-phosphate,C00144,0.818181818182
Guanosine diphosphate,C00035,Guanosine 5'-triphosphate,C00044,0.76
Guanosine diphosphate,C00035,Deoxyguanosine triphosphate,C00286,0.740740740741
Guanosine diphosphate,C00035,Thiamine diphosphate,C00068,0.714285714286
Oxaloacetate,C00036,enol-Oxaloacetate,C03981,0.705882352941
2-Oxobutanedioic acid,C00036,2-Oxobutanoic acid,C00109,0.809523809524
Succinic acid,C00042,Oxosuccinic acid,C00036,0.8125
UDP-N-acetyl-D-glucosamine,C00043,N-Acetyl-D-glucosamine,C00140,0.730769230769
UDP-N-acetyl-D-glucosamine,C00043,UDP-N-acetyl-D-galactosamine,C00203,0.714285714286
GTP,C00044,dGTP,C00286,0.75
Guanosine 5'-triphosphate,C00044,Inosine 5'-triphosphate,C00081,0.88
Guanosine 5'-triphosphate,C00044,Deoxyadenosine 5'-triphosphate,C00131,0.766666666667
Guanosine 5'-triphosphate,C00044,Cytidine 5'-triphosphate,C00063,0.76
Guanosine 5'-triphosphate,C00044,Uridine 5'-triphosphate,C00075,0.76
Guanosine 5'-triphosphate,C00044,6-Thioinosine-5'-triphosphate,C16617,0.724137931034
Guanosine 5'-triphosphate,C00044,2'-Deoxyinosine 5'-triphosphate,C01345,0.709677419355
Glutathione,C00051,CoA-glutathione,C00920,0.733333333333
gamma-L-Glutamyl-L-cysteinyl-glycine,C00051,gamma-L-Glutamyl-L-cysteinyl-beta-alanine,C04544,0.731707317073
UDP-D-galactose,C00052,dTDP-galactose,C02097,0.733333333333
UDP-D-galactose,C00052,GDP-L-galactose,C02280,0.733333333333
3'-Phosphoadenylyl sulfate,C00053,3'-Phosphoadenylylselenate,C05696,0.807692307692
"Adenosine 3',5'-bisphosphate",C00054,"Adenosine 2',5'-bisphosphate",C03850,0.928571428571
CMP,C00055,dCMP,C00239,0.75
Cytidine-5'-monophosphate,C00055,Cytidine 2'-monophosphate,C03104,0.88
Cytidine-5'-monophosphate,C00055,Uridine 5'-monophosphate,C00105,0.84
Cytidine-5'-monophosphate,C00055,Uridine 3'-monophosphate,C01368,0.8
Cytidine-5'-monophosphate,C00055,Inosine 5'-monophosphate,C00130,0.76
Cytidine-5'-monophosphate,C00055,Adenosine 5'-monophosphate,C00020,0.730769230769
Cytidine-5'-monophosphate,C00055,Guanosine 5'-monophosphate,C00144,0.730769230769
Cytidine-5'-monophosphate,C00055,Adenosine-2'-monophosphate,C00946,0.730769230769
Cytidine-5'-monophosphate,C00055,Adenosine-3'-monophosphate,C01367,0.730769230769
Sulfuric acid,C00059,Sulfurous acid,C00094,0.714285714286
Flavin mononucleotide,C00061,Purine mononucleotide,C05325,0.761904761905
CTP,C00063,dCTP,C00458,0.75
Cytidine 5'-triphosphate,C00063,Uridine 5'-triphosphate,C00075,0.875
Cytidine 5'-triphosphate,C00063,Inosine 5'-triphosphate,C00081,0.791666666667
Cytidine 5'-triphosphate,C00063,Deoxythymidine 5'-triphosphate,C00459,0.766666666667
Cytidine 5'-triphosphate,C00063,Cytidine-5'-monophosphate,C00055,0.76
Cytidine triphosphate,C00063,Thiamine triphosphate,C03028,0.761904761905
Cytidine triphosphate,C00063,Ribose triphosphate,C02884,0.714285714286
L-Glutamine,C00064,D-Glutamine,C00819,0.818181818182
L-Glutamine,C00064,Glutamine,C00303,0.727272727273
L-Serine,C00065,DL-Serine,C00716,0.888888888889
Serine,C00065,Eserine,C06535,0.857142857143
Serine,C00065,D-Serine,C00740,0.75
Serine,C00065,Anserine,C01262,0.75
Methanal,C00067,Methanol,C00132,0.75
Thiamin diphosphate,C00068,Cytidine diphosphate,C00112,0.7
Vitamin C,C00072,Vitamin H,C00120,0.777777777778
Vitamin C,C00072,Vitamin A,C00473,0.777777777778
Vitamin C,C00072,Vitamin E,C02477,0.777777777778
Vitamin C,C00072,Vitamin U,C04078,0.777777777778
Vitamin C,C00072,Vitamin L1,C00108,0.7
Vitamin C,C00072,Vitamin PP,C00153,0.7
Vitamin C,C00072,Vitamin B2,C00255,0.7
Vitamin C,C00072,Vitamin BT,C00318,0.7
Vitamin C,C00072,Vitamin B1,C00378,0.7
L-Methionine,C00073,D-Methionine,C00855,0.833333333333
Methionine,C00073,Homomethionine,C17213,0.714285714286
UTP,C00075,dUTP,C00460,0.75
Uridine 5'-triphosphate,C00075,Inosine 5'-triphosphate,C00081,0.826086956522
Uridine 5'-triphosphate,C00075,Deoxycytidine 5'-triphosphate,C00458,0.724137931034
Uridine 5'-triphosphate,C00075,Deoxythymidine 5'-triphosphate,C00459,0.7
Uridine triphosphate,C00075,Uridine 5'-diphosphate,C00015,0.772727272727
Uridine triphosphate,C00075,Cytidine diphosphate,C00112,0.75
Uridine triphosphate,C00075,Inosine diphosphate,C00104,0.7
L-Ornithine,C00077,D-Ornithine,C00515,0.818181818182
"(S)-2,5-Diaminopentanoate",C00077,"2,5-Diaminopentanoate",C01602,0.8
"(S)-2,5-Diaminopentanoate",C00077,"2,4-Diaminopentanoate",C03943,0.76
L-Tryptophan,C00078,L-Tryptophanamide,C00977,0.705882352941
L-Tryptophan,C00078,D-Tryptophan,C00525,0.833333333333
(S)-alpha-Amino-beta-phenylpropionic acid,C00079,(S)-alpha-Amino-beta-(3-indolyl)-propionic acid,C00078,0.765957446809
ITP,C00081,dITP,C01345,0.75
Inosine 5'-triphosphate,C00081,6-Thioinosine-5'-triphosphate,C16617,0.793103448276
Inosine 5'-triphosphate,C00081,Deoxyadenosine 5'-triphosphate,C00131,0.733333333333
Inosine triphosphate,C00081,Inosine diphosphate,C00104,0.85
Inosine triphosphate,C00081,Guanosine diphosphate,C00035,0.761904761905
Inosine triphosphate,C00081,Adenosine 5'-diphosphate,C00008,0.708333333333
L-Tyrosine,C00082,DL-Tyrosine,C01536,0.909090909091
(S)-3-(p-Hydroxyphenyl)alanine,C00082,(R)-3-(p-Hydroxyphenyl)alanine,C06420,0.933333333333
Tyrosine,C00082,Metyrosine,C07921,0.8
Tyrosine,C00082,Pretyrosine,C00826,0.727272727273
Acetaldehyde,C00084,Sulfoacetaldehyde,C00593,0.705882352941
Acetaldehyde,C00084,Aminoacetaldehyde,C06735,0.705882352941
Ethanal,C00084,Methanol,C00132,0.75
D-Fructose 6-phosphate,C00085,D-Fructose 1-phosphate,C01094,0.863636363636
D-Fructose 6-phosphate,C00085,D-Glucose 6-phosphate,C00092,0.818181818182
D-Fructose 6-phosphate,C00085,D-Galactose 6-phosphate,C01113,0.782608695652
D-Fructose 6-phosphate,C00085,D-Tagatose 6-phosphate,C01097,0.772727272727
D-Fructose 6-phosphate,C00085,Lactose 6-phosphate,C05396,0.772727272727
D-Fructose 6-phosphate,C00085,"D-Fructose 1,6-bisphosphate",C00354,0.740740740741
D-Fructose 6-phosphate,C00085,"D-Fructose 2,6-bisphosphate",C00665,0.740740740741
D-Fructose 6-phosphate,C00085,beta-D-Fructose 6-phosphate,C05345,0.740740740741
Nitrite,C00088,Nitrate,C00244,0.714285714286
Cane sugar,C00089,Malt sugar,C00208,0.7
Catechol,C00090,BPAcatechol,C13626,0.727272727273
"1,2-Benzenediol",C00090,"1,4-Benzenediol",C00530,0.866666666667
"1,2-Benzenediol",C00090,"1,3-Benzenediol",C01751,0.866666666667
o-Benzenediol,C00090,Benzenediol,C01785,0.769230769231
"1,2-Dihydroxybenzene",C00090,"1,2,3-Trihydroxybenzene",C01108,0.826086956522
"1,2-Dihydroxybenzene",C00090,"1,2,4-Trihydroxybenzene",C02814,0.826086956522
"1,2-Dihydroxybenzene",C00090,"1,3,5-Trihydroxybenzene",C02183,0.782608695652
"1,2-Dihydroxybenzene",C00090,"1,2-Dihydroxyfluorene",C07724,0.714285714286
D-Glucose 6-phosphate,C00092,D-Glucose 1-phosphate,C00103,0.857142857143
D-Glucose 6-phosphate,C00092,D-Galactose 6-phosphate,C01113,0.782608695652
D-Glucose 6-phosphate,C00092,D-Mannose 6-phosphate,C00275,0.761904761905
D-Glucose 6-phosphate,C00092,D-Glucosamine 6-phosphate,C00352,0.76
D-Glucose 6-phosphate,C00092,"D-Glucose 1,6-biphosphate",C00660,0.76
D-Glucose 6-phosphate,C00092,beta-D-Glucose 6-phosphate,C01172,0.730769230769
Glucose 6-phosphate,C00092,Ribose 5-phosphate,C00117,0.736842105263
Glucose 6-phosphate,C00092,Ribose 1-phosphate,C00620,0.736842105263
Glucose 6-phosphate,C00092,D-Xylulose 5-phosphate,C00231,0.727272727273
sn-Glycerol 3-phosphate,C00093,sn-Glycerol 1-phosphate,C00623,0.913043478261
sn-Glycerol 3-phosphate,C00093,DL-Glycerol 3-phosphate,C03189,0.869565217391
sn-Glycerol 3-phosphate,C00093,DL-Glycerate 3-phosphate,C00597,0.75
sn-Glycerol 3-phosphate,C00093,D-Glycerate 3-phosphate,C00197,0.739130434783
D-Glycerol 1-phosphate,C00093,L-Erythritol 1-phosphate,C03494,0.708333333333
Sulfite,C00094,Bisulfite,C11481,0.777777777778
Sulfite,C00094,Sulfide,C00283,0.714285714286
D-arabino-Hexulose,C00095,L-arabino-Hexulose,C01719,0.888888888889
GDP-mannose,C00096,ADP-mannose,C06192,0.727272727273
3-Aminopropanoate,C00099,3-Oxopropanoate,C00222,0.764705882353
3-Aminopropanoate,C00099,3-Nitropropanoate,C05669,0.764705882353
3-Aminopropanoate,C00099,3-Guanidinopropanoate,C03065,0.761904761905
3-Aminopropanoate,C00099,"L-2,3-Diaminopropanoate",C03401,0.739130434783
3-Aminopropanoate,C00099,3-aci-Nitropropanoate,C03071,0.714285714286
Propionyl-CoA,C00100,3-Oxopropionyl-CoA,C05989,0.722222222222
"5,6,7,8-Tetrahydrofolate",C00101,"5,6,7,8-Tetrahydrobiopterin",C00272,0.703703703704
"2,6-Dichloroindophenol",C00102,"2,6-Dichlorophenol",C07096,0.772727272727
"2,6-Dichloroindophenol",C00102,"2,6-Dichlorobiphenyl",C14355,0.727272727273
D-Glucose 1-phosphate,C00103,D-Fructose 1-phosphate,C01094,0.818181818182
D-Glucose 1-phosphate,C00103,L-Fuculose 1-phosphate,C01099,0.772727272727
D-Glucose 1-phosphate,C00103,D-Ribose 1-phosphate,C00620,0.761904761905
D-Glucose 1-phosphate,C00103,D-Mannose 1-phosphate,C00636,0.761904761905
D-Glucose 1-phosphate,C00103,"D-Glucose 1,6-biphosphate",C00660,0.76
D-Glucose 1-phosphate,C00103,beta-D-Glucose 1-phosphate,C00663,0.730769230769
alpha-D-Glucose 1-phosphate,C00103,alpha-D-Glucose 6-phosphate,C00668,0.888888888889
alpha-D-Glucose 1-phosphate,C00103,alpha-D-Glucose 3-phosphate,C03811,0.888888888889
alpha-D-Glucose 1-phosphate,C00103,"alpha-D-Glucose 1,6-biphosphate",C01231,0.806451612903
alpha-D-Glucose 1-phosphate,C00103,alpha-D-Glucosamine 1-phosphate,C06156,0.806451612903
IDP,C00104,dIDP,C01344,0.75
Inosine 5'-diphosphate,C00104,6-Thioinosine-5'-diphosphate,C16616,0.785714285714
Inosine 5'-diphosphate,C00104,Cytidine 5'-diphosphate,C00112,0.782608695652
UMP,C00105,dUMP,C00365,0.75
Uridine monophosphate,C00105,Thymidine monophosphate,C00364,0.826086956522
Uridine monophosphate,C00105,Thiamine monophosphate,C01081,0.818181818182
Uridine monophosphate,C00105,Inosine monophosphate,C00130,0.809523809524
Uridine monophosphate,C00105,Guanosine monophosphate,C00144,0.782608695652
Uridine monophosphate,C00105,Cytidine 2'-monophosphate,C03104,0.76
Vitamin L1,C00108,Vitamin B1,C00378,0.8
Vitamin L1,C00108,Vitamin A1,C00473,0.8
Vitamin L1,C00108,Vitamin K1,C02059,0.8
Vitamin L1,C00108,Vitamin H,C00120,0.7
Vitamin L1,C00108,Vitamin PP,C00153,0.7
Vitamin L1,C00108,Vitamin B2,C00255,0.7
Vitamin L1,C00108,Vitamin BT,C00318,0.7
2-Aminobenzoate,C00108,4-Aminobenzoate,C00568,0.866666666667
2-Oxobutanoate,C00109,4-Oxobutanoate,C00232,0.857142857143
2-Oxobutanoate,C00109,Isobutanoate,C02632,0.714285714286
2-Oxobutyrate,C00109,2-Hydroxybutyrate,C05984,0.705882352941
alpha-Ketobutyrate,C00109,alpha-Ketosuberate,C16589,0.777777777778
alpha-Ketobutyrate,C00109,alpha-Ketoglutaramate,C00940,0.714285714286
Glycerone phosphate,C00111,Glycerol-3-phosphate,C00093,0.75
Dihydroxyacetone phosphate,C00111,Dihydroxyacetone sulfate,C02543,0.730769230769
CDP,C00112,dCDP,C00705,0.75
CDP,C00112,cDPG,C06189,0.75
CDP,C00112,CDPC,C13753,0.75
Cytidine 5'-diphosphate,C00112,Cytidine-5'-monophosphate,C00055,0.76
Cytidine 5'-diphosphate,C00112,Deoxythymidine 5'-diphosphate,C00363,0.758620689655
Cytidine diphosphate,C00112,Cytidine triphosphate,C00063,0.857142857143
Cytidine diphosphate,C00112,Deoxycytidine triphosphate,C00458,0.730769230769
"1,2,3-Trihydroxypropane",C00116,"1,2,3-Trihydroxybenzene",C01108,0.739130434783
D-Ribose 5-phosphate,C00117,D-Ribose 1-phosphate,C00620,0.85
D-Ribose 5-phosphate,C00117,D-Ribulose 5-phosphate,C00199,0.818181818182
D-Ribose 5-phosphate,C00117,D-Fructose 6-phosphate,C00085,0.727272727273
D-Ribose 5-phosphate,C00117,D-Xylulose 5-phosphate,C00231,0.727272727273
D-Ribose 5-phosphate,C00117,Pyridoxine 5-phosphate,C00627,0.727272727273
Glyceraldehyde 3-phosphate,C00118,DL-Glyceraldehyde 3-phosphate,C00661,0.862068965517
Vitamin H,C00120,Vitamin A,C00473,0.777777777778
Vitamin H,C00120,Vitamin E,C02477,0.777777777778
Vitamin H,C00120,Vitamin U,C04078,0.777777777778
Vitamin H,C00120,Vitamin PP,C00153,0.7
Vitamin H,C00120,Vitamin B2,C00255,0.7
Vitamin H,C00120,Vitamin BT,C00318,0.7
Vitamin H,C00120,Vitamin B1,C00378,0.7
Coenzyme R,C00120,Coenzyme M,C03576,0.8
Coenzyme R,C00120,Coenzyme B,C04628,0.8
Coenzyme R,C00120,Coenzyme Q6,C17568,0.727272727273
Coenzyme R,C00120,Coenzyme Q8,C17569,0.727272727273
L-Leucine,C00123,D-Leucine,C01570,0.777777777778
L-Leucine,C00123,Isoleucine,C16434,0.7
CMP-N-acetylneuraminate,C00128,"N,4-O-Diacetylneuraminate",C04015,0.76
CMP-N-acetylneuraminate,C00128,"N,7-O-Diacetylneuraminate",C04016,0.76
CMP-N-acetylneuraminate,C00128,"N,9-O-Diacetylneuraminate",C04017,0.76
CMP-N-acetylneuraminate,C00128,N-Acetylneuraminate,C00270,0.739130434783
Isopentenyl diphosphate,C00129,2-Isopentenyl diphosphate,C00235,0.88
IMP,C00130,dIMP,C06196,0.75
Inosine monophosphate,C00130,Guanosine monophosphate,C00144,0.869565217391
Inosine monophosphate,C00130,Thiamine monophosphate,C01081,0.772727272727
Inosine monophosphate,C00130,3'-Adenosine monophosphate,C01367,0.769230769231
Inosine 5'-monophosphate,C00130,6-Thioinosine-5'-monophosphate,C04646,0.8
Inosine 5'-monophosphate,C00130,Adenosine-2'-monophosphate,C00946,0.807692307692
Inosine 5'-monophosphate,C00130,Uridine 3'-monophosphate,C01368,0.791666666667
Inosine 5'-phosphate,C00130,Pyridoxine 5'-phosphate,C00627,0.782608695652
Inosine 5'-phosphate,C00130,"Adenosine 3',5'-phosphate",C00575,0.76
Inosine 5'-phosphate,C00130,Ribose 5-phosphate,C00117,0.75
Inosine 5'-phosphate,C00130,Thymidine 5'-phosphate,C00364,0.727272727273
Inosine 5'-phosphate,C00130,Ribose 1-phosphate,C00620,0.7
5'-Inosine monophosphate,C00130,6-Thioguanosine monophosphate,C16619,0.724137931034
2'-Deoxyadenosine 5'-triphosphate,C00131,2'-Deoxyadenosine 5'-diphosphate,C00206,0.909090909091
2'-Deoxyadenosine 5'-triphosphate,C00131,2'-Deoxyadenosine 5'-phosphate,C00360,0.878787878788
2'-Deoxyadenosine 5'-triphosphate,C00131,2'-Deoxyinosine-5'-triphosphate,C01345,0.848484848485
2'-Deoxyadenosine 5'-triphosphate,C00131,Isopentenyladenosine-5'-triphosphate,C16424,0.722222222222
Deoxyadenosine 5'-triphosphate,C00131,Deoxyguanosine 5'-triphosphate,C00286,0.866666666667
"1,4-Butanediamine",C00134,"1,5-Pentanediamine",C01672,0.777777777778
"1,4-Butanediamine",C00134,"1,3-Propanediamine",C00986,0.722222222222
"1,4-Diaminobutane",C00134,"1,4-Diguanidinobutane",C03047,0.714285714286
Tetramethylenediamine,C00134,Tetramethylrosamine,C11622,0.714285714286
L-Histidine,C00135,DL-Histidine,C00768,0.916666666667
Butyryl-CoA,C00136,Isobutyryl-CoA,C00630,0.785714285714
Cyclohexitol,C00137,Cyclohexanol,C00854,0.75
Meat sugar,C00137,Malt sugar,C00208,0.7
2-Acetamido-2-deoxy-D-glucose,C00140,2-Acetamido-2-deoxy-D-galactose,C01132,0.838709677419
2-Acetamido-2-deoxy-D-glucose,C00140,"2-Acetamido-2,6-dideoxy-D-glucose",C15481,0.818181818182
2-Acetamido-2-deoxy-D-glucose,C00140,2-Acetamido-2-deoxy-D-mannose,C00645,0.793103448276
3-Methyl-2-oxobutanoic acid,C00141,(S)-3-Methyl-2-oxopentanoic acid,C00671,0.75
3-Methyl-2-oxobutanoic acid,C00141,3-Hydroxy-3-methyl-2-oxobutanoic acid,C04181,0.72972972973
3-Methyl-2-oxobutanoic acid,C00141,(3R)-3-Methyl-2-oxopentanoic acid,C06008,0.727272727273
3-Methyl-2-oxobutanoate,C00141,4-Methylthio-2-oxobutanoate,C01180,0.777777777778
3-Methyl-2-oxobutanoate,C00141,Ethyl 3-oxobutanoate,C03500,0.739130434783
3-Methyl-2-oxobutanoate,C00141,Benzyl 2-methyl-3-oxobutanoate,C04000,0.7
2-Oxo-3-methylbutanoate,C00141,2-Amino-2-methylbutanoate,C03571,0.8
2-Oxo-3-methylbutanoate,C00141,"2,3-Dihydroxy-3-methylbutanoate",C04039,0.709677419355
2-Oxoisovalerate,C00141,2-Oxovalerate,C06255,0.75
2-Oxoisopentanoate,C00141,5-Aminopentanoate,C00431,0.722222222222
2-Oxoisopentanoate,C00141,3-Oxopentanoate,C02233,0.722222222222
2-Oxoisopentanoate,C00141,5-Oxopentanoate,C03273,0.722222222222
"5,10-Methylenetetrahydrofolate",C00143,"5,10-Methenyltetrahydrofolate",C00445,0.833333333333
"5,10-Methylenetetrahydrofolate",C00143,5-Methyltetrahydrofolate,C00440,0.766666666667
"5,10-Methylenetetrahydrofolate",C00143,"5,10-Methylenetetrahydromethanopterin",C04377,0.702702702703
"5,10-Methylenetetrahydrofolate",C00143,10-Formyltetrahydrofolate,C00234,0.7
GMP,C00144,dGMP,C00362,0.75
GMP,C00144,cGMP,C00942,0.75
Guanosine 5'-phosphate,C00144,Xanthosine 5'-phosphate,C00655,0.826086956522
Guanosine 5'-phosphate,C00144,Adenosine 2'-phosphate,C00946,0.818181818182
Guanosine 5'-phosphate,C00144,Adenosine 3'-phosphate,C01367,0.818181818182
Guanosine 5'-phosphate,C00144,"Adenosine 3',5'-phosphate",C00575,0.76
Guanosine 5'-phosphate,C00144,Pyridoxine 5'-phosphate,C00627,0.739130434783
Guanosine monophosphate,C00144,6-Thioguanosine monophosphate,C16619,0.793103448276
Guanosine 5'-monophosphate,C00144,6-Thioinosine-5'-monophosphate,C04646,0.733333333333
Phenol,C00146,Lophenol,C08825,0.75
Hydroxybenzene,C00146,"1,3-Dihydroxybenzene",C01751,0.7
Phenic acid,C00146,Saphenic acid,C12117,0.846153846154
Phenic acid,C00146,Prephenic acid,C00254,0.785714285714
Phenylic acid,C00146,Phenylformic acid,C00180,0.705882352941
Adenine,C00147,Zygadenine,C10831,0.7
L-Proline,C00148,D-Proline,C00763,0.777777777778
(S)-Malate,C00149,(R)-Malate,C00497,0.8
L-Asparagine,C00152,D-Asparagine,C01905,0.833333333333
L-Asparagine,C00152,Asparagine,C16438,0.75
Nicotinamide,C00153,Isonicotinamide,C02421,0.8
Vitamin PP,C00153,Vitamin B2,C00255,0.7
Vitamin PP,C00153,Vitamin BT,C00318,0.7
Vitamin PP,C00153,Vitamin B1,C00378,0.7
Vitamin PP,C00153,Vitamin A,C00473,0.7
Vitamin PP,C00153,Vitamin K1,C02059,0.7
Palmitoyl-CoA,C00154,3-Oxopalmitoyl-CoA,C05259,0.722222222222
Hexadecanoyl-CoA,C00154,Tetradecanoyl-CoA,C02593,0.705882352941
L-Homocysteine,C00155,Homocysteine,C05330,0.785714285714
L-Homocysteine,C00155,Selenohomocysteine,C05698,0.722222222222
L-Homocysteine,C00155,Thiocysteine,C01962,0.714285714286
4-Hydroxybenzoate,C00156,Benzyl 4-hydroxybenzoate,C14393,0.708333333333
Hydroxybenzoic acid,C00156,3-Hydroxybenzoic acid,C00587,0.857142857143
Hydroxybenzoic acid,C00156,o-Hydroxybenzoic acid,C00805,0.857142857143
Hydroxybenzoic acid,C00156,"2,3-Dihydroxybenzoic acid",C00196,0.76
Hydroxybenzoic acid,C00156,"3,4-Dihydroxybenzoic acid",C00230,0.76
Hydroxybenzoic acid,C00156,"2,5-Dihydroxybenzoic acid",C00628,0.76
4-Hydroxybenzoic acid,C00156,4-Hydroxybutanoic acid,C00989,0.772727272727
4-Hydroxybenzoic acid,C00156,3-Amino-4-hydroxybenzoic acid,C12115,0.724137931034
Citrate,C00158,Isocitrate,C00311,0.7
Phenylpyruvate,C00166,enol-Phenylpyruvate,C02763,0.736842105263
3-Phenyl-2-oxopropanoate,C00166,2-Methyl-3-oxopropanoate,C00349,0.75
3-Phenyl-2-oxopropanoate,C00166,3-Imidazole-2-oxopropanoate,C03762,0.703703703704
UDP-glucuronate,C00167,D-Glucuronate,C00191,0.733333333333
Methylthioadenosine,C00170,2-Methylaminoadenosine,C03218,0.727272727273
Thiomethyladenosine,C00170,1-Methyladenosine,C02494,0.736842105263
Agmatine,C00179,Palmatine,C05315,0.777777777778
Benzenecarboxylic acid,C00180,2-Acetoxybenzenecarboxylic acid,C01405,0.709677419355
D-Xylose,C00181,L-Xylose,C01510,0.75
2-Amino-3-methylbutyric acid,C00183,(R)-2-Amino-3-methylbutyric acid,C06417,0.84375
